type,n,nt,sign,total_in,self_syn,self_share,self_off0,self_off180,self_broad,vel_total,vel_share,vel_hDeltaB,vel_PFNd,vel_PFNv,vel_PFNa,vel_peak_conc,head_total,read_total,read_goal,read_steer,read_inv,dopa_total,dopa_top,ext_share,recip_partner,recip_w,recip_roundtrip_offset
PFGs,18,unclear,0,32900,107,0.003,0.33,0.01,0.66,3207,0.097,3125,42,39,1,1.0,2146,65,34,17,14,310,FB4M:193;FB4L:67;FB1H:38,0.0,hDeltaK,2846,0
PFL1,14,acetylcholine,1,15998,481,0.03,0.0,0.14,0.86,619,0.039,195,7,6,411,0.71,5270,92,9,74,9,208,FB2A:135;FB1H:35;FB4M:21,0.0,PFL3,31,0
PFL2,12,acetylcholine,1,31957,606,0.019,0.07,0.15,0.79,33,0.001,14,4,8,7,0.83,4305,656,4,642,10,339,FB1C:110;FB1H:88;FB5H:83,0.0,PFL3,36,0
PFL3,24,acetylcholine,1,60811,853,0.014,0.07,0.16,0.77,59,0.001,32,9,5,13,0.92,6799,980,28,889,63,888,FB1H:284;FB1C:249;FB5H:242,0.0,hDeltaA,47,4
PFNa,58,acetylcholine,1,38884,14566,0.375,0.14,0.14,0.72,15331,0.394,2,14,749,14566,0.79,8059,118,50,20,48,527,FB2A:420;FB1C:80;FB1H:21,0.0,PFNv,106,0
PFNd,40,acetylcholine,1,48768,8109,0.166,0.11,0.11,0.77,8830,0.181,427,8109,258,36,0.53,6449,1705,51,13,1641,1985,FB4M:977;FB4L:510;FB1H:435,0.0,hDeltaB,427,0
PFNm_a,21,acetylcholine,1,11267,1403,0.125,0.17,0.15,0.68,26,0.002,0,0,18,8,0.78,972,1135,1120,14,1,408,FB1C:372;FB1H:36,0.0,PFNm_b,1320,0
PFNm_b,26,acetylcholine,1,12568,2231,0.178,0.26,0.08,0.66,54,0.004,1,3,20,30,1.0,1106,916,911,5,0,772,FB1C:750;FB1H:20;FB2A:2,0.0,PFNm_a,1320,0
PFNv,20,acetylcholine,1,20680,9048,0.438,0.1,0.16,0.74,9191,0.444,4,33,9048,106,0.84,2645,145,53,13,79,789,FB1H:434;FB4M:310;FB2A:26,0.02,PFNa,106,0
PFR_a,28,unclear,0,42484,387,0.009,0.12,0.09,0.79,10254,0.241,6717,3430,106,1,1.0,1195,4203,606,393,3204,1228,FB4M:735;FB1H:261;FB4L:179,0.0,hDeltaA,2195,2
PFR_b,16,acetylcholine,1,25874,1722,0.067,0.0,0.15,0.85,5894,0.228,5787,83,22,2,1.0,1649,418,56,31,331,615,FB4M:407;FB1H:80;FB5H:70,0.02,PFR_a,579,0
hDeltaA,12,acetylcholine,1,50360,284,0.006,0.0,0.0,1.0,3804,0.076,2216,1587,0,1,1.0,2,7197,135,5328,1734,1353,FB4M:1098;FB1H:93;FB4L:79,0.0,PFR_a,2195,2
hDeltaB,19,acetylcholine,1,46924,882,0.019,0.14,0.01,0.85,25397,0.541,882,20165,4344,6,0.33,11,6244,146,46,6052,5068,FB4M:3391;FB4L:1207;FB1H:459,0.01,PFR_a,763,0
hDeltaC,20,acetylcholine,1,44208,355,0.008,0.15,0.03,0.83,2403,0.054,297,23,780,1303,0.32,2,3544,3439,44,61,372,FB4M:111;FB2A:101;FB1H:71,0.0,hDeltaF,971,6
hDeltaD,8,acetylcholine,1,21258,161,0.008,0.0,0.71,0.29,16,0.001,5,3,1,7,1.0,0,1376,1376,0,0,5,FB1C:3;FB4M:2,0.02,vDeltaA_b,786,0
hDeltaE,8,acetylcholine,1,30389,498,0.016,0.0,0.74,0.26,8,0.0,0,0,1,7,1.0,1,2221,2220,1,0,1,FB1C:1,0.0,vDeltaC,429,0
hDeltaF,8,acetylcholine,1,35910,468,0.013,0.0,0.0,1.0,40,0.001,6,3,5,26,0.67,1,2437,2414,17,6,24,FB1C:8;FB4M:7;FB2A:4,0.0,hDeltaC,971,6
hDeltaG,8,acetylcholine,1,28991,361,0.012,0.0,0.9,0.1,939,0.032,736,165,15,23,0.62,1,3961,3171,762,28,134,FB4M:54;FB5H:40;FB1H:24,0.0,vDeltaE,653,0
hDeltaH,8,acetylcholine,1,29199,172,0.006,0.0,0.9,0.1,1220,0.042,1010,193,8,9,0.83,3,4731,2776,1875,80,438,FB5H:249;FB4M:94;FB1H:71,0.0,PFR_a,619,4
hDeltaI,17,acetylcholine,1,36955,548,0.015,0.02,0.02,0.96,3656,0.099,3575,47,8,26,0.62,13,6372,125,5410,837,817,FB4M:380;FB1H:151;FB1C:127,0.0,hDeltaA,245,2
hDeltaJ,31,acetylcholine,1,37986,440,0.012,0.25,0.0,0.75,6992,0.184,4232,1005,387,1368,0.35,5,6128,5732,120,276,2093,FB1H:1184;FB4M:625;FB2A:117,0.0,PFR_a,584,7
hDeltaK,31,acetylcholine,1,26794,372,0.014,0.56,0.0,0.44,4740,0.177,4672,54,9,5,0.4,65,22,15,2,5,373,FB4M:256;FB1H:44;FB4L:41,0.0,PFGs,2846,0
hDeltaL,11,acetylcholine,1,36765,413,0.011,0.0,0.0,1.0,484,0.013,356,4,53,71,0.53,0,3801,3781,17,3,35,FB4M:13;FB1H:9;FB2A:9,0.0,vDeltaD,844,0
hDeltaM,8,acetylcholine,1,25294,493,0.019,0.0,0.81,0.19,360,0.014,261,7,71,21,1.0,3,6183,1370,3983,830,331,FB5H:158;FB1H:90;FB4M:58,0.0,FC2B,958,3
vDeltaA_a,70,acetylcholine,1,15467,3266,0.211,0.38,0.02,0.61,15,0.001,6,9,0,0,0.67,0,58,35,10,13,149,FB1C:146;FB4L:2;FB2A:1,0.04,hDeltaD,630,4
vDeltaA_b,31,acetylcholine,1,5903,388,0.066,0.37,0.0,0.63,6,0.001,3,2,1,0,1.0,2,53,51,0,2,159,FB1C:157;FB1H:1;FB5H:1,0.0,hDeltaD,786,0
vDeltaB,31,acetylcholine,1,9886,490,0.05,0.35,0.0,0.65,10,0.001,4,0,3,3,1.0,0,82,82,0,0,167,FB1C:164;FB1H:2;FB4L:1,0.0,hDeltaD,475,0
vDeltaC,27,acetylcholine,1,14459,348,0.024,0.39,0.0,0.61,31,0.002,9,0,17,5,1.0,0,124,124,0,0,148,FB1C:146;FB1H:2,0.0,hDeltaL,474,0
vDeltaD,21,acetylcholine,1,14441,83,0.006,0.35,0.0,0.65,61,0.004,26,2,26,7,0.73,1,251,250,0,1,111,FB1C:82;FB1H:19;FB2A:7,0.0,hDeltaL,844,0
vDeltaE,18,acetylcholine,1,14583,102,0.007,0.27,0.0,0.73,192,0.013,57,1,109,25,1.0,0,586,536,31,19,160,FB1H:68;FB1C:55;FB2A:15,0.0,hDeltaG,653,0
vDeltaF,18,acetylcholine,1,14801,71,0.005,0.31,0.0,0.69,56,0.004,22,1,17,16,1.0,4,1256,1011,32,213,257,FB5H:106;FB1H:65;FB1C:60,0.0,hDeltaG,528,5
vDeltaG,18,acetylcholine,1,13403,88,0.007,0.36,0.0,0.64,54,0.004,3,1,2,48,1.0,0,2603,1489,144,970,553,FB5H:353;FB1C:104;FB1H:46,0.0,hDeltaH,587,4
vDeltaH,9,acetylcholine,1,6399,48,0.008,0.48,0.0,0.52,16,0.003,0,0,1,15,1.0,0,1168,813,79,276,532,FB5H:391;FB1C:82;FB2A:34,0.0,vDeltaI_a,156,0
vDeltaI_a,17,acetylcholine,1,11857,708,0.06,0.22,0.0,0.78,57,0.005,22,7,4,24,0.86,2,1521,1396,37,88,999,FB5H:763;FB1C:183;FB1H:29,0.0,vDeltaI_b,628,0
vDeltaI_b,20,acetylcholine,1,11269,831,0.074,0.4,0.0,0.6,106,0.009,42,61,0,3,1.0,8,764,438,174,152,585,FB5H:408;FB1C:148;FB1H:16,0.0,vDeltaI_a,628,0
vDeltaJ,11,acetylcholine,1,5309,28,0.005,0.57,0.0,0.43,10,0.002,5,4,1,0,1.0,9,1001,64,390,547,156,FB1C:76;FB5H:60;FB1H:9,0.0,vDeltaI_b,111,0
vDeltaK,47,acetylcholine,1,16542,305,0.018,0.57,0.0,0.43,263,0.016,246,15,2,0,1.0,19,4878,35,1215,3628,517,FB1C:378;FB4M:75;FB1H:30,0.0,hDeltaA,204,2
vDeltaL,37,acetylcholine,1,12341,224,0.018,0.55,0.0,0.45,2295,0.186,2094,196,3,2,1.0,9,2883,6,186,2691,614,FB1C:337;FB4M:220;FB1H:32,0.0,vDeltaM,139,0
vDeltaM,55,acetylcholine,1,13711,149,0.011,0.57,0.0,0.43,4109,0.3,4009,97,2,1,1.0,3,2554,10,39,2505,665,FB4M:350;FB1C:225;FB4L:51,0.0,vDeltaL,139,0
