tangential,T_nt,T_cells,columnar,T_to_X,col_uniformity,teacher_in,readout,modulator_on_X,T_ext_share,T_context,score
FB5Y_a,glutamate,2,hDeltaC,328,0.18,2405,3483,725,0.14,CB1220:86;SMP405:84;SMP408_b:83;CRE093:72,404.7
FB1E_a,glutamate,5,hDeltaL,657,0.46,484,3798,75,0.12,CB2116:118;CB2398:91;CB4198:67;SIP051:63,403.3
FB5Y_b,glutamate,2,hDeltaC,373,0.19,2405,3483,725,0.12,SMP408_d:129;PLP026:78;SMP408_b:67;SMP405:56,401.2
FB5A,gaba,4,PFL2,757,0.32,4338,646,556,0.04,SMP192:379;CRE086:333;CRE085:282,400.1
FB6J,glutamate,5,hDeltaG,477,0.49,940,3933,247,0.0,,398.1
FB1H,dopamine,2,PFNd,435,0.43,15279,64,2211,0.03,CRE024:225;SMP133:184,395.7
FB4H,glutamate,2,vDeltaK,2935,0.19,282,1250,567,0.2,MBON25-like:207;MBON34:135;PLP161:134;CRE059:130,394.4
FB4Q_c,glutamate,3,FC2A,755,0.56,50,4242,637,0.07,CRE003_b:108;CRE018:82;LHPD5f1:52,393.7
FB5C,glutamate,3,FC2B,627,0.48,89,4326,567,0.08,CRE072:183;OA-VPM3:163;CRE105:143,393.4
FB6G,glutamate,2,hDeltaL,857,0.38,484,3798,75,0.15,SMP352:125;SLP405_c:105;SLP405_b:99;SIP076:81,392.5
FB6A_a,glutamate,2,hDeltaL,528,0.42,484,3798,75,0.16,SIP076:458;SMP347:239;SMP407:219;SMP034:215,391.5
FB1G,acetylcholine,2,FC2C,891,0.33,186,5575,325,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,390.7
FB5B,glutamate,6,PFGs,487,0.5,5353,51,654,0.11,SLP247:207;SIP071:125;M_lvPNm25:107;SMP126:95,387.1
FB3C,gaba,13,PFR_b,666,0.43,7543,87,701,0.06,PLP046:547,385.5
FB4N,glutamate,2,FC2B,661,0.42,89,4326,567,0.1,SMP010:260;SMP117_a:235;SIP064:180;LAL007:161,385.3
FB6J,glutamate,5,hDeltaL,1259,0.61,484,3798,75,0.0,,385.0
FB1H,dopamine,2,hDeltaB,459,0.21,25408,192,5714,0.03,CRE024:225;SMP133:184,383.0
FB1E_a,glutamate,5,FC2C,1066,0.29,186,5575,325,0.12,CB2116:118;CB2398:91;CB4198:67;SIP051:63,381.6
