tangential,T_nt,T_cells,columnar,T_to_X,col_uniformity,teacher_in,readout,modulator_on_X,T_ext_share,T_context,score
FB7A,glutamate,6,hDeltaF,580,0.49,41,2431,38,0.19,SLP405_a:585;SLP405_b:302;SMP352:215;SLP405_c:159,227.2
FB4K,glutamate,4,vDeltaL,470,0.12,2304,192,636,0.13,CRE067:399;CRE027:187;CRE107:177;SMP179:159,226.6
FB6V,glutamate,2,FC2B,367,0.23,89,4326,567,0.07,CRE072:174;CRE105:100;CRE025:83,226.6
FB5O,glutamate,2,PFR_b,371,0.18,7543,87,701,0.08,CRE025:115;SMP376:81;SMP541:69,225.7
FB6G,glutamate,2,hDeltaF,1513,0.43,41,2431,38,0.15,SMP352:125;SLP405_c:105;SLP405_b:99;SIP076:81,225.7
FB6A_c,glutamate,2,hDeltaF,1063,0.53,41,2431,38,0.12,SIP076:505;SMP347:343;SIP005:138;SMP405:127,225.5
FB2B_a,unclear,4,FC1D,566,0.31,2084,161,326,0.01,LHPV5e3:85,223.8
FB1C,dopamine,4,vDeltaL,337,0.18,2304,192,636,0.08,SMP192:346;SIP004:330;AVLP705m:230;CRE067:224,222.6
FB4B,glutamate,2,PFNv,490,0.2,11836,66,1110,0.03,WED153:148;CB2037:132,222.4
FB1G,acetylcholine,2,hDeltaK,701,0.33,4805,17,519,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,222.3
FB6U,glutamate,4,FS2,1031,0.34,1567,86,294,0.02,SIP029:117,221.9
FB5H,dopamine,2,vDeltaG,353,0.22,54,1633,651,0.16,CRE107:419;CRE027:224;SMP238:202;SMP165:201,221.6
FB6W,glutamate,2,FS2,382,0.35,1567,86,294,0.06,SMP541:72;CRE025:66;SMP376:45,221.2
FB2F_a,glutamate,6,vDeltaG,913,0.33,54,1633,651,0.02,LHPV4m1:138,221.1
FB5L,glutamate,2,vDeltaG,984,0.21,54,1633,651,0.1,CRE107:96;SMP184:80;CRE042:70;SMP011_b:60,217.7
FB4C,glutamate,2,hDeltaI,328,0.03,3669,5535,889,0.04,SMP374:281;CRE107:145,217.2
FB2A,dopamine,4,FC1B,561,0.16,4191,94,729,0.09,LHPV6q1:356;LAL203:286;OA-VPM3:212,217.1
FB5A,gaba,4,FC3_a,429,0.29,637,246,406,0.04,SMP192:379;CRE086:333;CRE085:282,217.1
FB5H,dopamine,2,vDeltaI_b,408,0.19,114,612,707,0.16,CRE107:419;CRE027:224;SMP238:202;SMP165:201,217.1
FB2E,glutamate,4,PFL1,590,0.28,5889,83,247,0.03,aMe26:71;WED092:57,215.6
FB6C_a,glutamate,2,hDeltaF,1551,0.4,41,2431,38,0.16,SLP405_c:132;SMP352:112;SMP250:72;SLP340:60,215.1
FB5D,glutamate,3,PFR_b,525,0.13,7543,87,701,0.1,SMP123:213;SMP122:185;SMP124:153;OA-VPM3:125,214.6
FB5A,gaba,4,FC3_c,318,0.32,1249,138,386,0.04,SMP192:379;CRE086:333;CRE085:282,212.9
FB5A,gaba,4,FR1,470,0.46,3396,21,430,0.04,SMP192:379;CRE086:333;CRE085:282,211.0
FB5L,glutamate,2,vDeltaI_b,411,0.23,114,612,707,0.1,CRE107:96;SMP184:80;CRE042:70;SMP011_b:60,210.9
FB5L,glutamate,2,vDeltaF,1407,0.23,60,1043,364,0.1,CRE107:96;SMP184:80;CRE042:70;SMP011_b:60,210.7
FB4G,glutamate,2,vDeltaM,1977,0.09,4112,49,691,0.15,CRE005:257;CRE004:128;CRE023:112;MBON25-like:86,210.5
FB1H,dopamine,2,PFNv,434,0.18,11836,66,1110,0.03,CRE024:225;SMP133:184,210.2
FB4O,glutamate,6,FS2,311,0.24,1567,86,294,0.14,CRE049:299;SMP146:219;MBON22:175;SIP128m:159,208.2
FB6B,glutamate,2,hDeltaF,329,0.62,41,2431,38,0.11,SMP408_d:90;CB2814:88;CB2572:70;SIP067:57,207.5
FB4E_a,glutamate,5,FR1,319,0.32,3396,21,430,0.16,CRE028:301;CL236:90;LAL196:82;SMP376:76,206.7
FB6N,glutamate,2,vDeltaE,1173,0.22,192,567,227,0.08,CRE107:80;SMP184:54;SMP011_b:53;SMP504:44,204.4
FB2F_d,glutamate,4,FC2B,640,0.15,89,4326,567,0.08,SIP003_a:72;LHPD2a4_a:63;CB4198:63;SMP568_d:60,203.9
FB4P_a,glutamate,4,FR1,776,0.3,3396,21,430,0.1,CRE028:275;CRE106:151;SMP122:143;SMP123:138,201.4
FB6A_c,glutamate,2,FS2,672,0.19,1567,86,294,0.12,SIP076:505;SMP347:343;SIP005:138;SMP405:127,199.8
FB3C,gaba,13,FC3_b,1031,0.14,1021,221,455,0.06,PLP046:547,194.8
FB2D,glutamate,6,FC3_c,1090,0.24,1249,138,386,0.0,,194.7
FB2B_a,unclear,4,FC1F,844,0.27,2638,60,447,0.01,LHPV5e3:85,194.6
FB3C,gaba,13,FC3_c,739,0.19,1249,138,386,0.06,PLP046:547,194.4
FB4H,glutamate,2,vDeltaM,852,0.07,4112,49,691,0.2,MBON25-like:207;MBON34:135;PLP161:134;CRE059:130,193.3
FB4H,glutamate,2,vDeltaJ,990,0.37,19,454,211,0.2,MBON25-like:207;MBON34:135;PLP161:134;CRE059:130,192.5
FB6A_b,glutamate,2,hDeltaK,377,0.22,4805,17,519,0.2,SIP005:317;SLP396:299;SMP186:277;SMP347:265,191.5
FB2M_a,glutamate,4,FC1E,493,0.28,814,149,223,0.05,PLP026:107;CB3056:100,188.8
FB2B_a,unclear,4,FR1,439,0.45,3396,21,430,0.01,LHPV5e3:85,186.5
FB2M_b,glutamate,2,FC2B,349,0.19,89,4326,567,0.04,PLP026:48;LHPV5e3:42,186.1
FB5I,glutamate,2,vDeltaF,1065,0.2,60,1043,364,0.1,SMP011_b:126;SMP011_a:109;SLP247:106;SMP504:87,185.7
FB2B_b,glutamate,4,FC1E,682,0.31,814,149,223,0.0,,182.5
FB5S,glutamate,9,hDeltaL,343,0.27,484,3798,75,0.0,,182.1
FB6U,glutamate,4,FC2B,451,0.19,89,4326,567,0.02,SIP029:117,180.0
FB8G,glutamate,6,FS2,544,0.2,1567,86,294,0.08,SMP505:188;SMP095:155;SMP379:114,179.6
FB6H,unclear,2,hDeltaF,311,0.49,41,2431,38,0.12,SMP374:306;SMP095:196;SMP743:186;SMP188:156,177.4
FB2H_b,glutamate,2,FC1D,334,0.17,2084,161,326,0.06,M_ilPNm90:84;SMP091:42,176.8
FB2B_a,unclear,4,FC1E,458,0.31,814,149,223,0.01,LHPV5e3:85,176.4
FB2F_a,glutamate,6,FC1D,433,0.2,2084,161,326,0.02,LHPV4m1:138,175.3
FB1G,acetylcholine,2,FS4A,629,0.48,887,18,122,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,175.1
FB2H_b,glutamate,2,FC1E,336,0.25,814,149,223,0.06,M_ilPNm90:84;SMP091:42,173.2
FB2L,glutamate,4,vDeltaE,405,0.2,192,567,227,0.09,SMP011_b:159;SMP012:70;SMP116:50;LHPV5g2:46,172.8
FB2M_a,glutamate,4,FC1D,485,0.15,2084,161,326,0.05,PLP026:107;CB3056:100,169.2
FB4Y,serotonin,4,vDeltaI_b,398,0.24,114,612,707,0.01,AVLP705m:291,166.0
FB2F_a,glutamate,6,FC1E,571,0.25,814,149,223,0.02,LHPV4m1:138,165.0
FB2F_a,glutamate,6,vDeltaI_a,385,0.21,59,1433,1068,0.02,LHPV4m1:138,162.9
FB7C,glutamate,5,hDeltaF,468,0.57,41,2431,38,0.02,SMP167:67,162.8
FB4Y,serotonin,4,vDeltaI_a,378,0.22,59,1433,1068,0.01,AVLP705m:291,161.8
FB7G,glutamate,4,FS2,715,0.2,1567,86,294,0.03,SMP743:135,161.6
FB1G,acetylcholine,2,FR1,391,0.22,3396,21,430,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,160.1
FB5I,glutamate,2,vDeltaG,371,0.15,54,1633,651,0.1,SMP011_b:126;SMP011_a:109;SLP247:106;SMP504:87,159.9
FB2F_c,glutamate,4,FC2A,350,0.22,50,4242,637,0.0,,156.9
FB7J,glutamate,4,hDeltaF,578,0.57,41,2431,38,0.0,,156.7
FB4Y,serotonin,4,vDeltaL,526,0.09,2304,192,636,0.01,AVLP705m:291,151.3
FB2B_b,glutamate,4,FC1D,440,0.17,2084,161,326,0.0,,150.8
FB8H,glutamate,6,hDeltaD,1859,0.62,16,1376,5,0.36,CB1617:236;CB4022:197;CB4023:157;LHPV5a3:151,150.4
FB6N,glutamate,2,vDeltaF,880,0.15,60,1043,364,0.08,CRE107:80;SMP184:54;SMP011_b:53;SMP504:44,150.0
FB6E,glutamate,2,hDeltaF,543,0.46,41,2431,38,0.03,SMP504:58;SMP186:53,145.4
FB6O,glutamate,2,vDeltaE,660,0.18,192,567,227,0.02,LHPV5g2:63,143.8
FB2D,glutamate,6,FC1E,630,0.2,814,149,223,0.0,,141.8
FB4M,dopamine,4,vDeltaM,350,0.03,4112,49,691,0.19,SMP377:1111;PLP246:660;SIP064:468;CRE059:415,141.1
FB6G,glutamate,2,vDeltaD,689,0.21,62,250,143,0.15,SMP352:125;SLP405_c:105;SLP405_b:99;SIP076:81,138.3
FB6E,glutamate,2,vDeltaE,611,0.16,192,567,227,0.03,SMP504:58;SMP186:53,137.1
FB5L,glutamate,2,vDeltaE,562,0.09,192,567,227,0.1,CRE107:96;SMP184:80;CRE042:70;SMP011_b:60,135.3
FB8E,glutamate,5,FS4A,308,0.27,887,18,122,0.21,BiT:117;FB9B_b:105;SLP268:101;SLP347:92,131.7
FB5AB,acetylcholine,2,vDeltaD,720,0.19,62,250,143,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,129.9
FB5V_c,glutamate,5,hDeltaK,359,0.04,4805,17,519,0.29,LAL137:174;CL129:165;SMP471:154;IB005:142,128.9
FB1D,glutamate,5,FS4A,345,0.11,887,18,122,0.43,CB1617:663;LHPV5a3:260;CB4107:234;CB1178:116,126.1
FB8H,glutamate,6,FS3_d,355,0.4,224,10,59,0.36,CB1617:236;CB4022:197;CB4023:157;LHPV5a3:151,123.9
FB5I,glutamate,2,vDeltaE,583,0.07,192,567,227,0.1,SMP011_b:126;SMP011_a:109;SLP247:106;SMP504:87,122.8
FB2G_b,glutamate,6,FC2B,511,0.04,89,4326,567,0.03,SIP086:110;CB2814:107,121.6
FB2D,glutamate,6,FC3_b,456,0.09,1021,221,455,0.0,,120.6
FB6E,glutamate,2,vDeltaD,1169,0.26,62,250,143,0.03,SMP504:58;SMP186:53,120.4
FB8A,glutamate,2,hDeltaD,653,0.64,16,1376,5,0.3,CB4107:87;LHPV5a3:72;CB1617:58;LHPV5e2:46,120.3
FB2D,glutamate,6,FC3_a,332,0.12,637,246,406,0.0,,117.5
FB5Q,glutamate,4,FS1A_a,356,0.19,115,64,154,0.21,oviIN:261;SMP541:237;SMP376:184;CRE074:173,116.5
FB4Y,serotonin,4,vDeltaM,362,0.09,4112,49,691,0.01,AVLP705m:291,114.7
FB6O,glutamate,2,vDeltaD,1113,0.24,62,250,143,0.02,LHPV5g2:63,112.5
FB4F_a,glutamate,4,vDeltaM,302,0.04,4112,49,691,0.07,CRE004:167;LAL147_a:128;IB005:92,110.6
FB7I,glutamate,5,FC2B,364,0.06,89,4326,567,0.0,,110.1
FB6E,glutamate,2,FC2B,454,0.03,89,4326,567,0.03,SMP504:58;SMP186:53,108.8
FB2F_d,glutamate,4,vDeltaE,337,0.07,192,567,227,0.08,SIP003_a:72;LHPD2a4_a:63;CB4198:63;SMP568_d:60,107.1
FB8G,glutamate,6,FS4A,406,0.29,887,18,122,0.08,SMP505:188;SMP095:155;SMP379:114,106.8
FB2B_a,unclear,4,FC1C_b,670,0.45,61,43,155,0.01,LHPV5e3:85,102.5
FB9C,glutamate,8,hDeltaD,814,0.6,16,1376,5,0.21,FB9B_b:109;CB2208:88;CB3055:70;CB4087:64,99.7
FB5K,glutamate,2,vDeltaF,480,0.03,60,1043,364,0.11,CRE042:321;CRE107:135;CB2550:60,97.0
FB8I,glutamate,6,hDeltaD,667,0.55,16,1376,5,0.24,SMP095:331;ATL004:234;SMP743:142;SMP082:134,97.0
FB2B_b,glutamate,4,FC1C_b,749,0.39,61,43,155,0.0,,93.2
FB7H,glutamate,2,vDeltaD,621,0.22,62,250,143,0.0,,91.9
FB2F_a,glutamate,6,FC1C_b,719,0.32,61,43,155,0.02,LHPV4m1:138,86.5
FB1B,glutamate,4,FS4A,371,0.19,887,18,122,0.09,SMP167:83;CB4023:71;SLP414:65;SLP347:51,86.4
FB1D,glutamate,5,vDeltaA_b,689,0.2,8,51,159,0.43,CB1617:663;LHPV5a3:260;CB4107:234;CB1178:116,84.2
FB9A,glutamate,6,hDeltaD,596,0.46,16,1376,5,0.24,SLP315:91;CB1685:90;CB1838:81;CB4087:78,83.0
FB4Y,serotonin,4,vDeltaJ,403,0.24,19,454,211,0.01,AVLP705m:291,81.3
FB1E_a,glutamate,5,vDeltaD,434,0.08,62,250,143,0.12,CB2116:118;CB2398:91;CB4198:67;SIP051:63,81.1
FB2F_a,glutamate,6,vDeltaF,395,0.05,60,1043,364,0.02,LHPV4m1:138,81.1
FB8B,glutamate,4,hDeltaD,547,0.48,16,1376,5,0.21,MeVP39:307;DNpe053:251;AVLP594:180;aMe8:123,80.5
FB6G,glutamate,2,vDeltaC,474,0.13,31,124,154,0.15,SMP352:125;SLP405_c:105;SLP405_b:99;SIP076:81,78.3
FB1A,glutamate,4,vDeltaD,354,0.1,62,250,143,0.09,SIP006:75;LHPD2d2:68;SMP504:46;LHPV5g2:44,77.0
FB8E,glutamate,5,vDeltaA_a,641,0.23,15,45,149,0.21,BiT:117;FB9B_b:105;SLP268:101;SLP347:92,76.5
FB9C,glutamate,8,FS4A,339,0.07,887,18,122,0.21,FB9B_b:109;CB2208:88;CB3055:70;CB4087:64,75.9
FB6E,glutamate,2,vDeltaC,919,0.19,31,124,154,0.03,SMP504:58;SMP186:53,73.5
FB1G,acetylcholine,2,vDeltaA_a,644,0.31,15,45,149,0.11,SMP192:158;SIP018:157;LHPV10d1:156;CRE056:91,72.4
FB8F_b,glutamate,9,hDeltaD,415,0.4,16,1376,5,0.24,SLP405_a:321;LHAD1d1:154;SLP024:151;SLP149:144,71.4
FB6O,glutamate,2,vDeltaC,430,0.23,31,124,154,0.02,LHPV5g2:63,70.1
FB5K,glutamate,2,vDeltaH,976,0,16,892,596,0.11,CRE042:321;CRE107:135;CB2550:60,69.5
FB5H,dopamine,2,vDeltaH,391,0,16,892,596,0.16,CRE107:419;CRE027:224;SMP238:202;SMP165:201,68.1
FB8F_a,glutamate,7,hDeltaD,539,0.34,16,1376,5,0.24,SLP024:254;SLP441:204;SLP405_c:134;CB1073:100,67.5
FB5AB,acetylcholine,2,vDeltaH,373,0,16,892,596,0.15,CRE103:333;CB1434:230;MBON13:227;LHPV5e1:224,65.2
FB7K,glutamate,4,vDeltaB,948,0.17,10,82,174,0.16,LHPV6f3_b:170;SMP352:84;CB3050:76;CB4139:67,63.5
FB8C,glutamate,4,hDeltaD,1540,0.38,16,1376,5,0.1,DNpe053:186;SMP169:96;AVLP594:83;SMP083:59,62.7
FB2E,glutamate,4,FC1C_b,329,0.2,61,43,155,0.03,aMe26:71;WED092:57,60.6
FB2G_b,glutamate,6,FS1A_c,313,0.3,39,28,145,0.03,SIP086:110;CB2814:107,59.8
FB7H,glutamate,2,vDeltaC,1173,0.13,31,124,154,0.0,,59.7
FB1E_a,glutamate,5,vDeltaC,628,0.05,31,124,154,0.12,CB2116:118;CB2398:91;CB4198:67;SIP051:63,58.6
FB1A,glutamate,4,vDeltaC,441,0.09,31,124,154,0.09,SIP006:75;LHPD2d2:68;SMP504:46;LHPV5g2:44,58.1
FB8E,glutamate,5,hDeltaD,1256,0.23,16,1376,5,0.21,BiT:117;FB9B_b:105;SLP268:101;SLP347:92,58.1
FB7B,unclear,2,vDeltaB,429,0.17,10,82,174,0.17,SMP095:216;SMP505:193;CB4157:148;SMP183:141,57.3
FB7L,glutamate,6,FS3_d,462,0.21,224,10,59,0.12,BiT:184;SMP505:181;AstA1:160;SMP379:156,56.6
FB8G,glutamate,6,hDeltaD,613,0.42,16,1376,5,0.08,SMP505:188;SMP095:155;SMP379:114,55.0
FB1E_a,glutamate,5,vDeltaB,318,0.2,10,82,174,0.12,CB2116:118;CB2398:91;CB4198:67;SIP051:63,53.2
FB2M_a,glutamate,4,FS1A_c,349,0.22,39,28,145,0.05,PLP026:107;CB3056:100,53.2
FB2B_b,glutamate,4,FC1C_a,448,0.28,34,34,119,0.0,,52.8
FB7A,glutamate,6,hDeltaE,3720,0.83,9,2221,1,0.19,SLP405_a:585;SLP405_b:302;SMP352:215;SLP405_c:159,50.9
FB7L,glutamate,6,FS3_b,340,0.16,102,19,60,0.12,BiT:184;SMP505:181;AstA1:160;SMP379:156,50.0
FB2F_a,glutamate,6,vDeltaH,500,0,16,892,596,0.02,LHPV4m1:138,49.0
FB1J,glutamate,2,vDeltaB,349,0.25,10,82,174,0.03,FB9B_a:46;SLP405_a:44,48.2
FB7A,glutamate,6,vDeltaB,433,0.09,10,82,174,0.19,SLP405_a:585;SLP405_b:302;SMP352:215;SLP405_c:159,47.6
FB2B_a,unclear,4,FC1C_a,468,0.19,34,34,119,0.01,LHPV5e3:85,45.3
FB1I,glutamate,2,vDeltaC,612,0.07,31,124,154,0.0,,44.6
FB2F_a,glutamate,6,FC1C_a,579,0.16,34,34,119,0.02,LHPV4m1:138,44.3
FB9A,glutamate,6,vDeltaA_a,1501,0.01,15,45,149,0.24,SLP315:91;CB1685:90;CB1838:81;CB4087:78,42.8
FB8H,glutamate,6,hDeltaE,391,0.64,9,2221,1,0.36,CB1617:236;CB4022:197;CB4023:157;LHPV5a3:151,40.6
FB7J,glutamate,4,hDeltaD,454,0.38,16,1376,5,0.0,,39.1
FB1I,glutamate,2,vDeltaB,728,0.16,10,82,174,0.0,,38.6
FB8B,glutamate,4,hDeltaE,414,0.76,9,2221,1,0.21,MeVP39:307;DNpe053:251;AVLP594:180;aMe8:123,36.7
FB2F_a,glutamate,6,FS1B_a,399,0.14,16,66,108,0.02,LHPV4m1:138,36.5
FB7K,glutamate,4,hDeltaE,1585,0.64,9,2221,1,0.16,LHPV6f3_b:170;SMP352:84;CB3050:76;CB4139:67,34.9
FB7L,glutamate,6,hDeltaE,1366,0.65,9,2221,1,0.12,BiT:184;SMP505:181;AstA1:160;SMP379:156,31.9
FB7B,unclear,2,hDeltaE,565,0.67,9,2221,1,0.17,SMP095:216;SMP505:193;CB4157:148;SMP183:141,31.6
FB8G,glutamate,6,hDeltaE,3349,0.59,9,2221,1,0.08,SMP505:188;SMP095:155;SMP379:114,29.6
FB1J,glutamate,2,vDeltaA_b,562,0.11,8,51,159,0.03,FB9B_a:46;SLP405_a:44,29.1
FB7K,glutamate,4,hDeltaD,333,0.09,16,1376,5,0.16,LHPV6f3_b:170;SMP352:84;CB3050:76;CB4139:67,28.0
FB7E,glutamate,6,hDeltaE,565,0.55,9,2221,1,0.16,ATL004:205;oviIN:205;SIP065:180;CRE074:130,26.7
FB7C,glutamate,5,hDeltaE,869,0.73,9,2221,1,0.02,SMP167:67,24.9
FB7M,glutamate,2,hDeltaE,361,0.76,9,2221,1,0.03,SMP167:30,22.6
FB7J,glutamate,4,hDeltaE,1237,0.65,9,2221,1,0.0,,22.3
FB7I,glutamate,5,hDeltaE,919,0.63,9,2221,1,0.0,,20.9
FB7G,glutamate,4,hDeltaE,817,0.53,9,2221,1,0.03,SMP743:135,19.7
FB2I_a,glutamate,10,FS4C,630,0.37,114,1,112,0.03,ATL013:230;LHPV6f1:143,18.9
FB7D_a,glutamate,4,hDeltaE,676,0.35,9,2221,1,0.0,,13.2
FB7D_b,glutamate,4,hDeltaE,325,0.35,9,2221,1,0.0,,11.8
FB8C,glutamate,4,hDeltaE,702,0.16,9,2221,1,0.1,DNpe053:186;SMP169:96;AVLP594:83;SMP083:59,11.7
FB8E,glutamate,5,hDeltaE,485,0.07,9,2221,1,0.21,BiT:117;FB9B_b:105;SLP268:101;SLP347:92,10.6
FB2I_a,glutamate,10,FS4B,488,0.08,44,0,73,0.03,ATL013:230;LHPV6f1:143,0.0
