pre,post,syn,offset_deg,conc,post_cells,cells_hit_frac,DA,OA,SER,DA_col_uniformity,read_goal,read_steer,best_2hop,best_2hop_syn,readout_offset_deg,post_nt,post_total_in,score
vDeltaM,vDeltaI_b,700,0.9,0.885,20,0.9,585,122,398,0.25,438,174,hDeltaH,1044,359.3,acetylcholine,11269,495.9
vDeltaK,PFL2,679,358.9,0.919,12,1.0,339,217,333,0.53,4,642,PFL3,36,344.9,acetylcholine,31957,488.0
hDeltaB,PFGs,3125,196.8,0.944,18,1.0,310,344,1846,0.32,34,17,hDeltaC,149,14.6,unclear,32900,487.9
vDeltaK,hDeltaI,442,346.6,0.777,17,0.76,817,72,939,0.24,125,5410,PFL3,917,189.7,acetylcholine,36955,484.0
hDeltaG,FC2C,1460,206.4,0.877,47,0.62,279,55,64,0.41,862,4713,PFL3,917,4.4,acetylcholine,47523,481.8
hDeltaJ,PFR_a,584,194.5,0.916,28,0.54,1228,581,131,0.36,606,393,hDeltaA,2666,4.3,unclear,42484,476.8
hDeltaK,PFGs,2846,196.0,0.924,18,1.0,310,344,1846,0.32,34,17,hDeltaC,149,14.6,unclear,32900,474.5
PFNa,FC3_c,1171,355.1,0.851,15,1.0,273,113,18,0.2,104,34,PFR_a,678,357.6,acetylcholine,9745,474.0
vDeltaM,vDeltaL,1106,0.1,0.861,37,0.65,614,22,527,0.16,6,186,hDeltaA,2406,18.4,acetylcholine,12341,470.5
PFNa,FC1A,2914,359.4,0.862,17,1.0,359,42,9,0.29,56,32,hDeltaC,250,354.9,acetylcholine,10899,460.7
PFR_a,hDeltaJ,769,163.9,0.458,31,0.81,2093,377,41,0.56,5732,120,FC2A,3062,195.1,acetylcholine,37986,447.3
PFNa,FC3_b,909,1.1,0.855,20,0.8,329,126,46,0.23,185,36,PFR_a,999,359.1,acetylcholine,10346,432.7
PFR_b,PFGs,1310,360.0,0.903,18,1.0,310,344,1846,0.32,34,17,hDeltaC,149,14.6,unclear,32900,420.9
hDeltaG,vDeltaE,653,202.0,0.869,18,1.0,160,67,16,0.08,536,31,hDeltaL,829,1.8,acetylcholine,14583,414.9
hDeltaG,PFL3,582,204.2,0.909,24,0.62,888,173,488,0.32,28,889,hDeltaA,47,0.0,acetylcholine,60811,409.9
PFNa,FC3_a,553,2.1,0.879,17,0.82,284,122,22,0.2,195,51,PFR_a,999,0.6,acetylcholine,10351,408.1
hDeltaB,hDeltaK,4672,180.2,0.944,31,1.0,373,146,2172,0.46,15,2,hDeltaC,60,157.5,acetylcholine,26794,405.3
PFGs,hDeltaK,4790,164.6,0.922,31,1.0,373,146,2172,0.46,15,2,hDeltaC,60,157.5,acetylcholine,26794,399.4
hDeltaJ,vDeltaF,496,196.9,0.854,18,0.78,257,107,55,0.16,1011,32,hDeltaG,1582,0.7,acetylcholine,14801,398.6
hDeltaH,PFL2,427,204.0,0.905,12,0.83,339,217,333,0.53,4,642,PFL3,36,344.9,acetylcholine,31957,397.4
vDeltaK,PFL3,536,0.1,0.928,24,0.58,888,173,488,0.32,28,889,hDeltaA,47,0.0,acetylcholine,60811,396.3
PFNa,FC1D,2057,358.8,0.868,25,1.0,309,17,4,0.12,133,28,FC1E,149,352.0,acetylcholine,11476,393.7
vDeltaM,vDeltaJ,927,359.1,0.854,11,1.0,156,55,403,0.23,64,390,hDeltaA,454,13.0,acetylcholine,5309,387.8
hDeltaB,hDeltaJ,4232,6.3,0.153,31,1.0,2093,377,41,0.56,5732,120,FC2A,3062,195.1,acetylcholine,37986,384.5
PFR_a,hDeltaB,763,166.5,0.225,19,1.0,5068,646,36,0.36,146,46,hDeltaJ,4232,203.2,acetylcholine,46924,377.7
hDeltaG,vDeltaF,528,204.4,0.863,18,0.67,257,107,55,0.16,1011,32,hDeltaH,1464,0.7,acetylcholine,14801,367.0
hDeltaB,FS2,1413,197.8,0.926,42,0.74,219,75,56,0.27,68,18,hDeltaG,321,12.2,acetylcholine,28869,362.2
hDeltaB,FR1,3168,195.5,0.922,18,1.0,367,63,67,0.57,21,0,PFR_b,52,0.0,acetylcholine,28741,355.9
hDeltaB,hDeltaG,736,353.3,0.453,8,1.0,134,113,31,0.31,3171,762,FC2B,1711,201.6,acetylcholine,28991,340.3
PFR_a,PFR_b,579,1.6,0.455,16,1.0,615,103,104,0.38,56,31,hDeltaH,1261,352.5,acetylcholine,25874,338.5
