bodyId,type,instance,somaSide,nt
168653,vDeltaL,vDeltaL_C7,R,acetylcholine
168680,vDeltaM,vDeltaM_C7,L,acetylcholine
168683,FS4A,FS4A_C8_L,L,acetylcholine
168823,FS4A,FS4A_C2_L,L,acetylcholine
168836,FR2,FR2_C6_L,L,acetylcholine
169061,vDeltaM,vDeltaM_C7,L,acetylcholine
169090,FS4A,FS4A_C8_L,L,acetylcholine
169143,PFNp_b,PFNp_b,R,acetylcholine
169145,FS2,FS2_C4_R,R,acetylcholine
169158,PFNp_d,PFNp_d,L,acetylcholine
169169,vDeltaA_a,vDeltaA_a(AB)_C3,L,acetylcholine
169192,PFNp_b,PFNp_b,L,acetylcholine
169226,FS2,FS2_C4_R,R,acetylcholine
169272,PFNp_b,PFNp_b,L,acetylcholine
169365,FS3_c,FS3_c_C6_L,L,acetylcholine
169508,vDeltaA_b,vDeltaA_b_C3,L,acetylcholine
169667,PFNm_b,PFNm_b_L4_C3,L,acetylcholine
169821,vDeltaL,vDeltaL_C4,R,acetylcholine
169954,vDeltaA_b,vDeltaA_b_C4,R,acetylcholine
169985,vDeltaK,vDeltaK_C7,L,acetylcholine
170133,FS3_a,FS3_a_C7_L,L,acetylcholine
170139,vDeltaA_b,vDeltaA_b_C5,R,acetylcholine
170246,PFNp_b,PFNp_b,L,acetylcholine
170356,vDeltaM,vDeltaM_C5,R,acetylcholine
170385,PFNp_e,PFNp_e,R,acetylcholine
170407,FB4Z_c,FB4Z_c_L,L,glutamate
170458,vDeltaK,vDeltaK_C3,L,acetylcholine
170528,PFNp_b,PFNp_b,L,acetylcholine
170539,FC2A,FC2A_C4_R,R,acetylcholine
170777,vDeltaA_a,vDeltaA_a(AB)_C5,R,acetylcholine
170798,vDeltaL,vDeltaL_C7,L,acetylcholine
170829,FR2,FR2_C4_R,R,acetylcholine
170838,FS4A,FS4A_C2_R,R,acetylcholine
170865,PFNp_a,PFNp_a,R,acetylcholine
170981,vDeltaA_a,vDeltaA_a(AB)_C7,R,acetylcholine
171009,FS2,FS2_C3_R,R,acetylcholine
171053,vDeltaK,vDeltaK_C5,R,acetylcholine
171066,vDeltaB,vDeltaB_C9,R,acetylcholine
171142,PFNp_b,PFNp_b,L,acetylcholine
171227,vDeltaM,vDeltaM_C1,L,acetylcholine
171324,PFNp_b,PFNp_b,L,acetylcholine
171367,vDeltaM,vDeltaM_C7,R,acetylcholine
171389,vDeltaA_a,vDeltaA_a(AB)_C2,L,acetylcholine
171392,vDeltaB,vDeltaB_C0,L,acetylcholine
171455,FS2,FS2_C3_R,R,acetylcholine
171511,vDeltaB,vDeltaB_C1,L,acetylcholine
171554,vDeltaL,vDeltaL_C7,R,acetylcholine
171575,FS1B_a,FS1B_a_C7_L,L,acetylcholine
171579,vDeltaC,vDeltaC_C5,L,acetylcholine
171584,vDeltaA_a,vDeltaA_a(AB)_C4,R,acetylcholine
171585,vDeltaB,vDeltaB_C3,L,acetylcholine
171676,vDeltaL,vDeltaL_C7,R,acetylcholine
