bodyId,type,instance,somaSide,nt
50152,LLPC1,LLPC1_R,R,acetylcholine
50308,LLPC1,LLPC1_L,L,acetylcholine
51006,LLPC1,LLPC1_R,R,acetylcholine
51180,LLPC1,LLPC1_R,R,acetylcholine
51377,LLPC1,LLPC1_R,R,acetylcholine
51997,LLPC1,LLPC1_R,R,acetylcholine
52241,LLPC1,LLPC1_L,L,acetylcholine
52504,LLPC1,LLPC1_L,L,acetylcholine
52621,LLPC1,LLPC1_R,R,acetylcholine
52666,LLPC1,LLPC1_L,L,acetylcholine
52774,LLPC1,LLPC1_R,R,acetylcholine
53285,PAM01,PAM01(y5)_L,L,dopamine
53963,LLPC1,LLPC1_R,R,acetylcholine
55210,PAM08,PAM08(y4)_L,L,dopamine
56302,LLPC1,LLPC1_L,L,acetylcholine
56909,LLPC1,LLPC1_R,R,acetylcholine
57105,LLPC1,LLPC1_R,R,acetylcholine
57270,LLPC1,LLPC1_R,R,acetylcholine
57508,LLPC1,LLPC1_L,L,acetylcholine
58082,LLPC1,LLPC1_L,L,acetylcholine
58611,LLPC1,LLPC1_L,L,acetylcholine
58941,PAM08,PAM08(y4)_L,L,dopamine
59067,LLPC1,LLPC1_R,R,acetylcholine
59745,LLPC1,LLPC1_R,R,acetylcholine
59913,LLPC1,LLPC1_L,L,acetylcholine
60228,LLPC1,LLPC1_L,L,acetylcholine
60273,PAM07,PAM07(y4<y1y2)_L,L,dopamine
60891,LLPC1,LLPC1_R,R,acetylcholine
60930,PAM10,PAM10(B1)_L,L,dopamine
61142,LLPC1,LLPC1_R,R,acetylcholine
61248,LLPC1,LLPC1_R,R,acetylcholine
61360,PAM12,PAM12(y3)_L,L,dopamine
61771,LLPC1,LLPC1_R,R,acetylcholine
62146,LLPC1,LLPC1_L,L,acetylcholine
62218,LLPC1,LLPC1_L,L,acetylcholine
62514,LLPC1,LLPC1_R,R,acetylcholine
62629,LLPC1,LLPC1_L,L,acetylcholine
62731,PAM01,PAM01(y5)_R,R,dopamine
62766,LLPC1,LLPC1_R,R,acetylcholine
63391,PAM01,PAM01(y5)_R,R,dopamine
63999,LLPC1,LLPC1_L,L,acetylcholine
64287,LLPC1,LLPC1_R,R,acetylcholine
65188,LLPC1,LLPC1_R,R,acetylcholine
65451,LLPC1,LLPC1_R,R,acetylcholine
65524,PAM08,PAM08(y4)_L,L,dopamine
65551,LLPC1,LLPC1_R,R,acetylcholine
65559,PAM07,PAM07(y4<y1y2)_R,R,dopamine
65886,PAM08,PAM08(y4)_L,L,dopamine
66129,LLPC1,LLPC1_R,R,acetylcholine
66934,PAM10,PAM10(B1)_L,L,dopamine
67003,LLPC1,LLPC1_R,R,acetylcholine
67367,LLPC1,LLPC1_R,R,acetylcholine
67658,LLPC1,LLPC1_R,R,acetylcholine
68213,LLPC1,LLPC1_R,R,acetylcholine
68284,LLPC1,LLPC1_R,R,acetylcholine
69253,LLPC1,LLPC1_R,R,acetylcholine
69493,LLPC1,LLPC1_R,R,acetylcholine
69722,PAM08,PAM08(y4)_L,L,dopamine
70433,LLPC1,LLPC1_L,L,acetylcholine
70764,aDT4,aDT4_L,L,serotonin
70808,LLPC1,LLPC1_L,L,acetylcholine
71527,LLPC1,LLPC1_R,R,acetylcholine
72213,LLPC1,LLPC1_R,R,acetylcholine
72476,LLPC1,LLPC1_L,L,acetylcholine
72508,LLPC1,LLPC1_R,R,acetylcholine
72601,PAM06,PAM06(B'2m)_L,L,dopamine
73205,LLPC1,LLPC1_L,L,acetylcholine
74011,LLPC1,LLPC1_L,L,acetylcholine
74271,LLPC1,LLPC1_R,R,acetylcholine
74505,LLPC1,LLPC1_R,R,acetylcholine
74649,LLPC1,LLPC1_R,R,acetylcholine
74743,PAM08,PAM08(y4)_L,L,dopamine
74856,PAM01,PAM01(y5)_L,L,dopamine
75743,LLPC1,LLPC1_R,R,acetylcholine
75861,LLPC1,LLPC1_R,R,acetylcholine
75922,PAM08,PAM08(y4)_L,L,dopamine
76362,PAM08,PAM08(y4)_L,L,dopamine
76805,LLPC1,LLPC1_R,R,acetylcholine
77177,LLPC1,LLPC1_R,R,acetylcholine
77225,LLPC1,LLPC1_R,R,acetylcholine
77681,LLPC1,LLPC1_R,R,acetylcholine
79080,LLPC1,LLPC1_R,R,acetylcholine
79913,LLPC1,LLPC1_L,L,acetylcholine
80129,LLPC1,LLPC1_L,L,acetylcholine
80497,LLPC1,LLPC1_R,R,acetylcholine
80590,LLPC1,LLPC1_R,R,acetylcholine
80740,LLPC1,LLPC1_R,R,acetylcholine
80744,PAM01,PAM01(y5)_L,L,dopamine
81580,LLPC1,LLPC1_R,R,acetylcholine
81719,LLPC1,LLPC1_L,L,acetylcholine
81970,LLPC1,LLPC1_L,L,acetylcholine
82140,LLPC1,LLPC1_L,L,acetylcholine
83277,PAM01,PAM01(y5)_L,L,dopamine
83852,PAM06,PAM06(B'2m)_R,R,dopamine
86066,PAM07,PAM07(y4<y1y2)_L,L,dopamine
86156,PAM08,PAM08(y4)_R,R,dopamine
86431,PAM07,PAM07(y4<y1y2)_L,L,dopamine
87177,PAM08,PAM08(y4)_L,L,dopamine
87379,LLPC1,LLPC1_R,R,acetylcholine
87927,LLPC1,LLPC1_L,L,acetylcholine
88268,LLPC1,LLPC1_R,R,acetylcholine
88477,PAM01,PAM01(y5)_L,L,dopamine
88910,LLPC1,LLPC1_L,L,acetylcholine
89662,LLPC1,LLPC1_R,R,acetylcholine
90678,PAM08,PAM08(y4)_L,L,dopamine
90867,PAM01,PAM01(y5)_R,R,dopamine
90902,PAM08,PAM08(y4)_R,R,dopamine
91391,PAM12,PAM12(y3)_L,L,dopamine
91875,PAM12,PAM12(y3)_L,L,dopamine
92324,PAM06,PAM06(B'2m)_R,R,dopamine
93704,PAM01,PAM01(y5)_L,L,dopamine
94250,PAM05,PAM05(B'2p)_L,L,dopamine
94922,PAM05,PAM05(B'2p)_L,L,dopamine
95480,LLPC1,LLPC1_L,L,acetylcholine
95523,PAM08,PAM08(y4)_L,L,dopamine
96497,PAM07,PAM07(y4<y1y2)_R,R,dopamine
96571,PAM12,PAM12(y3)_L,L,dopamine
97200,LLPC1,LLPC1_L,L,acetylcholine
97990,PAM06,PAM06(B'2m)_L,L,dopamine
98094,LLPC1,LLPC1_L,L,acetylcholine
98265,PAM06,PAM06(B'2m)_L,L,dopamine
98554,PAM07,PAM07(y4<y1y2)_L,L,dopamine
99089,PAM01,PAM01(y5)_L,L,dopamine
99333,LLPC1,LLPC1_L,L,acetylcholine
100230,LLPC1,LLPC1_L,L,acetylcholine
100258,PAM01,PAM01(y5)_R,R,dopamine
101124,LLPC1,LLPC1_L,L,acetylcholine
102936,PAM08,PAM08(y4)_R,R,dopamine
103255,PAM08,PAM08(y4)_R,R,dopamine
103433,PAM14,PAM14(B'1m)_R,R,dopamine
104460,PAM12,PAM12(y3)_L,L,dopamine
104713,PAM08,PAM08(y4)_R,R,dopamine
105362,PAM05,PAM05(B'2p)_R,R,dopamine
105365,PAM08,PAM08(y4)_R,R,dopamine
105447,PAM12,PAM12(y3)_L,L,dopamine
107285,PAM08,PAM08(y4)_L,L,dopamine
107986,PAM02,PAM02(B'2a)_L,L,dopamine
108429,PAM04,PAM04(B2)_L,L,dopamine
108445,LLPC1,LLPC1_L,L,acetylcholine
108576,PAM13,PAM13(B'1ap)_R,R,dopamine
109057,LLPC1,LLPC1_L,L,acetylcholine
109624,PAM08,PAM08(y4)_L,L,dopamine
109793,PAM04,PAM04(B2)_L,L,dopamine
109994,LLPC1,LLPC1_L,L,acetylcholine
110653,PAM05,PAM05(B'2p)_R,R,dopamine
111665,PAM12,PAM12(y3)_R,R,dopamine
113001,PAM12,PAM12(y3)_R,R,dopamine
113067,PAM01,PAM01(y5)_R,R,dopamine
114216,PAM01,PAM01(y5)_L,L,dopamine
114522,PAM07,PAM07(y4<y1y2)_R,R,dopamine
114661,PAM11,PAM11(a1)_R,R,dopamine
114681,LLPC1,LLPC1_L,L,acetylcholine
114700,PAM01,PAM01(y5)_R,R,dopamine
115617,PAM04,PAM04(B2)_L,L,dopamine
115868,PAM14,PAM14(B'1m)_R,R,dopamine
116232,LLPC1,LLPC1_L,L,acetylcholine
117782,PAM08,PAM08(y4)_L,L,dopamine
118377,LLPC1,LLPC1_L,L,acetylcholine
119499,PAM08,PAM08(y4)_L,L,dopamine
119763,PAM11,PAM11(a1)_L,L,dopamine
120259,PAM04,PAM04(B2)_R,R,dopamine
120543,LLPC1,LLPC1_L,L,acetylcholine
120768,PAM07,PAM07(y4<y1y2)_R,R,dopamine
122062,PAM08,PAM08(y4)_R,R,dopamine
124918,PAM04,PAM04(B2)_L,L,dopamine
125080,PAM04,PAM04(B2)_L,L,dopamine
126501,PAM06,PAM06(B'2m)_L,L,dopamine
126900,PAM12,PAM12(y3)_L,L,dopamine
127659,PAM02,PAM02(B'2a)_L,L,dopamine
128076,PAM04,PAM04(B2)_R,R,dopamine
