bodyId,type,instance,somaSide,nt
519940,PS326,PS326_R,R,glutamate
519947,PPM1205,PPM1205_L,L,dopamine
520146,SIP106m,SIP106m_L,L,dopamine
520167,LLPC1,LLPC1_L,L,acetylcholine
520182,PPL204,PPL204_R,R,dopamine
520188,AVLP610,AVLP610(hb1416796844)_L,L,dopamine
520343,LLPC1,LLPC1_L,L,acetylcholine
520384,PAM12,PAM12(y3)_R,R,dopamine
520403,PAM10,PAM10(B1)_L,L,dopamine
520616,PAM11,PAM11(a1)_L,L,dopamine
520765,LLPC1,LLPC1_L,L,acetylcholine
521049,LLPC1,LLPC1_L,L,acetylcholine
522365,LLPC1,LLPC1_L,L,acetylcholine
522395,LLPC1,LLPC1_L,L,acetylcholine
522823,PPM1201,PPM1201_L,L,dopamine
523382,PAM08,PAM08(y4)_L,L,dopamine
523553,PAM05,PAM05(B'2p)_L,L,dopamine
523638,PAM01,PAM01(y5)_R,R,dopamine
523791,PAM04,PAM04(B2)_R,R,dopamine
523942,PAM08,PAM08(y4)_R,R,dopamine
524069,PAM08,PAM08(y4)_R,R,dopamine
524503,OA-ASM2,OA-ASM2_L,L,unclear
524515,LLPC1,LLPC1_L,L,acetylcholine
525787,PAM05,PAM05(B'2p)_L,L,dopamine
526156,LLPC1,LLPC1_L,L,acetylcholine
526943,LLPC1,LLPC1_L,L,acetylcholine
527317,LLPC1,LLPC1_L,L,acetylcholine
528100,PAM09,PAM09(B1ped)_L,L,dopamine
529419,PPM1202,PPM1202_R,R,dopamine
529510,LLPC1,LLPC1_L,L,acetylcholine
529512,PPL106,PPL106_R,R,dopamine
529516,PPL106,PPL106_L,L,dopamine
529707,AN07B037_a,AN07B037_a_L,L,acetylcholine
529808,LAL128,LAL128_L,L,dopamine
529811,AVLP476,AVLP476_L,L,dopamine
529868,LLPC1,LLPC1_L,L,acetylcholine
530364,LLPC1,LLPC1_L,L,acetylcholine
530365,LLPC1,LLPC1_L,L,acetylcholine
530366,LLPC1,LLPC1_L,L,acetylcholine
530374,LLPC1,LLPC1_L,L,acetylcholine
530425,LLPC1,LLPC1_L,L,acetylcholine
530998,LLPC1,LLPC1_L,L,acetylcholine
531133,OA-ASM3,OA-ASM3_R,R,unclear
531187,LLPC1,LLPC1_L,L,acetylcholine
531402,LLPC1,LLPC1_L,L,acetylcholine
531619,LLPC1,LLPC1_L,L,acetylcholine
531790,LLPC1,LLPC1_L,L,acetylcholine
532706,LLPC1,LLPC1_L,L,acetylcholine
532715,PAM05,PAM05(B'2p)_L,L,dopamine
533294,PAM01,PAM01(y5)_L,L,dopamine
533983,LLPC1,LLPC1_L,L,acetylcholine
535340,LLPC1,LLPC1_L,L,acetylcholine
536148,LLPC1,LLPC1_L,L,acetylcholine
537150,LLPC1,LLPC1_L,L,acetylcholine
537496,LLPC1,LLPC1_L,L,acetylcholine
537899,LoVC18,LoVC18_R,R,dopamine
539010,LLPC1,LLPC1_L,L,acetylcholine
539243,LLPC1,LLPC1_L,L,acetylcholine
542987,LLPC1,LLPC1_L,L,acetylcholine
