type_pre,type_post,total,offset,weight,share
PFNd,hDeltaB,20165,-3,3769,0.187
PFNd,hDeltaB,20165,-2,3873,0.192
PFNd,hDeltaB,20165,-1,2862,0.142
PFNd,hDeltaB,20165,0,1834,0.091
PFNd,hDeltaB,20165,1,1835,0.091
PFNd,hDeltaB,20165,2,2283,0.113
PFNd,hDeltaB,20165,3,1954,0.097
PFNd,hDeltaB,20165,4,1755,0.087
PFNa,PFNa,13850,-3,1638,0.118
PFNa,PFNa,13850,-2,1922,0.139
PFNa,PFNa,13850,-1,1402,0.101
PFNa,PFNa,13850,0,1890,0.136
PFNa,PFNa,13850,1,1548,0.112
PFNa,PFNa,13850,2,1885,0.136
PFNa,PFNa,13850,3,1599,0.115
PFNa,PFNa,13850,4,1966,0.142
PFNv,PFNv,9048,-3,917,0.101
PFNv,PFNv,9048,-2,1637,0.181
PFNv,PFNv,9048,-1,713,0.079
PFNv,PFNv,9048,0,869,0.096
PFNv,PFNv,9048,1,740,0.082
PFNv,PFNv,9048,2,1680,0.186
PFNv,PFNv,9048,3,1002,0.111
PFNv,PFNv,9048,4,1490,0.165
FR1,FR1,8694,-3,1197,0.138
FR1,FR1,8694,-2,1215,0.14
FR1,FR1,8694,-1,1188,0.137
FR1,FR1,8694,0,237,0.027
FR1,FR1,8694,1,1165,0.134
FR1,FR1,8694,2,1237,0.142
FR1,FR1,8694,3,1259,0.145
FR1,FR1,8694,4,1196,0.138
PFNd,PFNd,8109,-3,1036,0.128
PFNd,PFNd,8109,-2,918,0.113
PFNd,PFNd,8109,-1,1186,0.146
PFNd,PFNd,8109,0,909,0.112
PFNd,PFNd,8109,1,1106,0.136
PFNd,PFNd,8109,2,944,0.116
PFNd,PFNd,8109,3,1090,0.134
PFNd,PFNd,8109,4,920,0.113
hDeltaB,PFR_a,6717,-3,169,0.025
hDeltaB,PFR_a,6717,-2,2,0.0
hDeltaB,PFR_a,6717,0,157,0.023
hDeltaB,PFR_a,6717,1,1380,0.205
hDeltaB,PFR_a,6717,2,1690,0.252
hDeltaB,PFR_a,6717,3,1797,0.268
hDeltaB,PFR_a,6717,4,1522,0.227
hDeltaB,PFR_b,5787,-3,182,0.031
hDeltaB,PFR_b,5787,-2,5,0.001
hDeltaB,PFR_b,5787,-1,3,0.001
hDeltaB,PFR_b,5787,0,230,0.04
hDeltaB,PFR_b,5787,1,1150,0.199
hDeltaB,PFR_b,5787,2,1453,0.251
hDeltaB,PFR_b,5787,3,1423,0.246
hDeltaB,PFR_b,5787,4,1341,0.232
PFGs,hDeltaK,4790,-3,929,0.194
PFGs,hDeltaK,4790,-2,1207,0.252
PFGs,hDeltaK,4790,-1,1025,0.214
PFGs,hDeltaK,4790,0,292,0.061
PFGs,hDeltaK,4790,1,5,0.001
PFGs,hDeltaK,4790,2,1,0.0
PFGs,hDeltaK,4790,3,368,0.077
PFGs,hDeltaK,4790,4,963,0.201
hDeltaB,hDeltaK,4672,-3,474,0.101
hDeltaB,hDeltaK,4672,-2,1718,0.368
hDeltaB,hDeltaK,4672,-1,188,0.04
hDeltaB,hDeltaK,4672,0,30,0.006
hDeltaB,hDeltaK,4672,1,167,0.036
hDeltaB,hDeltaK,4672,2,1514,0.324
hDeltaB,hDeltaK,4672,3,537,0.115
hDeltaB,hDeltaK,4672,4,44,0.009
PFNv,hDeltaB,4344,-3,1,0.0
PFNv,hDeltaB,4344,-1,78,0.018
PFNv,hDeltaB,4344,0,933,0.215
PFNv,hDeltaB,4344,1,1277,0.294
PFNv,hDeltaB,4344,2,1303,0.3
PFNv,hDeltaB,4344,3,664,0.153
PFNv,hDeltaB,4344,4,88,0.02
hDeltaB,hDeltaJ,4232,-3,292,0.069
hDeltaB,hDeltaJ,4232,-2,623,0.147
hDeltaB,hDeltaJ,4232,-1,386,0.091
hDeltaB,hDeltaJ,4232,0,1496,0.353
hDeltaB,hDeltaJ,4232,1,509,0.12
hDeltaB,hDeltaJ,4232,2,626,0.148
hDeltaB,hDeltaJ,4232,3,293,0.069
hDeltaB,hDeltaJ,4232,4,7,0.002
PFNa,FC1B,4078,-2,22,0.005
PFNa,FC1B,4078,-1,779,0.191
PFNa,FC1B,4078,0,2193,0.538
PFNa,FC1B,4078,1,1030,0.253
PFNa,FC1B,4078,2,54,0.013
hDeltaB,vDeltaM,4009,-3,60,0.015
hDeltaB,vDeltaM,4009,-2,3,0.001
hDeltaB,vDeltaM,4009,-1,13,0.003
hDeltaB,vDeltaM,4009,0,162,0.04
hDeltaB,vDeltaM,4009,1,834,0.208
hDeltaB,vDeltaM,4009,2,1096,0.273
hDeltaB,vDeltaM,4009,3,1066,0.266
hDeltaB,vDeltaM,4009,4,775,0.193
hDeltaA,PFL3,3881,-3,133,0.034
hDeltaA,PFL3,3881,-2,8,0.002
hDeltaA,PFL3,3881,-1,1,0.0
hDeltaA,PFL3,3881,0,206,0.053
hDeltaA,PFL3,3881,1,929,0.239
hDeltaA,PFL3,3881,2,855,0.22
hDeltaA,PFL3,3881,3,807,0.208
hDeltaA,PFL3,3881,4,942,0.243
hDeltaB,hDeltaI,3575,-3,97,0.027
hDeltaB,hDeltaI,3575,-2,222,0.062
hDeltaB,hDeltaI,3575,-1,433,0.121
hDeltaB,hDeltaI,3575,0,1720,0.481
hDeltaB,hDeltaI,3575,1,637,0.178
hDeltaB,hDeltaI,3575,2,312,0.087
hDeltaB,hDeltaI,3575,3,145,0.041
hDeltaB,hDeltaI,3575,4,9,0.003
hDeltaI,PFL3,3468,-3,121,0.035
hDeltaI,PFL3,3468,-1,1,0.0
hDeltaI,PFL3,3468,0,118,0.034
hDeltaI,PFL3,3468,1,811,0.234
hDeltaI,PFL3,3468,2,895,0.258
hDeltaI,PFL3,3468,3,839,0.242
hDeltaI,PFL3,3468,4,683,0.197
PFNd,PFR_a,3430,-1,19,0.006
PFNd,PFR_a,3430,0,1810,0.528
PFNd,PFR_a,3430,1,1589,0.463
PFNd,PFR_a,3430,2,12,0.003
vDeltaA_a,hDeltaD,3285,-3,221,0.067
vDeltaA_a,hDeltaD,3285,-2,124,0.038
vDeltaA_a,hDeltaD,3285,-1,670,0.204
vDeltaA_a,hDeltaD,3285,0,676,0.206
vDeltaA_a,hDeltaD,3285,1,238,0.072
vDeltaA_a,hDeltaD,3285,2,75,0.023
vDeltaA_a,hDeltaD,3285,3,608,0.185
vDeltaA_a,hDeltaD,3285,4,673,0.205
vDeltaA_a,vDeltaA_a,3266,-3,52,0.016
vDeltaA_a,vDeltaA_a,3266,-2,214,0.066
vDeltaA_a,vDeltaA_a,3266,-1,729,0.223
vDeltaA_a,vDeltaA_a,3266,0,1228,0.376
vDeltaA_a,vDeltaA_a,3266,1,693,0.212
vDeltaA_a,vDeltaA_a,3266,2,227,0.07
vDeltaA_a,vDeltaA_a,3266,3,70,0.021
vDeltaA_a,vDeltaA_a,3266,4,53,0.016
hDeltaL,FC2C,3187,-3,339,0.106
hDeltaL,FC2C,3187,-2,17,0.005
hDeltaL,FC2C,3187,-1,28,0.009
hDeltaL,FC2C,3187,0,288,0.09
hDeltaL,FC2C,3187,1,496,0.156
hDeltaL,FC2C,3187,2,481,0.151
hDeltaL,FC2C,3187,3,767,0.241
hDeltaL,FC2C,3187,4,771,0.242
hDeltaB,FR1,3168,-3,133,0.042
hDeltaB,FR1,3168,0,138,0.044
hDeltaB,FR1,3168,1,621,0.196
hDeltaB,FR1,3168,2,768,0.242
hDeltaB,FR1,3168,3,705,0.223
hDeltaB,FR1,3168,4,803,0.253
vDeltaK,hDeltaA,3168,-3,183,0.058
vDeltaK,hDeltaA,3168,-2,224,0.071
vDeltaK,hDeltaA,3168,-1,312,0.098
vDeltaK,hDeltaA,3168,0,447,0.141
vDeltaK,hDeltaA,3168,1,700,0.221
vDeltaK,hDeltaA,3168,2,538,0.17
vDeltaK,hDeltaA,3168,3,431,0.136
vDeltaK,hDeltaA,3168,4,333,0.105
hDeltaB,PFGs,3125,-3,56,0.018
hDeltaB,PFGs,3125,-2,1,0.0
hDeltaB,PFGs,3125,0,60,0.019
hDeltaB,PFGs,3125,1,563,0.18
hDeltaB,PFGs,3125,2,779,0.249
hDeltaB,PFGs,3125,3,877,0.281
hDeltaB,PFGs,3125,4,789,0.252
vDeltaB,hDeltaE,3102,-3,200,0.064
vDeltaB,hDeltaE,3102,-2,78,0.025
vDeltaB,hDeltaE,3102,-1,499,0.161
vDeltaB,hDeltaE,3102,0,521,0.168
vDeltaB,hDeltaE,3102,1,159,0.051
vDeltaB,hDeltaE,3102,2,93,0.03
vDeltaB,hDeltaE,3102,3,727,0.234
vDeltaB,hDeltaE,3102,4,825,0.266
hDeltaJ,FC2A,3062,-3,230,0.075
hDeltaJ,FC2A,3062,-2,10,0.003
hDeltaJ,FC2A,3062,-1,21,0.007
hDeltaJ,FC2A,3062,0,244,0.08
hDeltaJ,FC2A,3062,1,608,0.199
hDeltaJ,FC2A,3062,2,628,0.205
hDeltaJ,FC2A,3062,3,696,0.227
hDeltaJ,FC2A,3062,4,625,0.204
vDeltaM,vDeltaK,3058,-3,9,0.003
vDeltaM,vDeltaK,3058,-2,29,0.009
vDeltaM,vDeltaK,3058,-1,418,0.137
vDeltaM,vDeltaK,3058,0,1922,0.629
vDeltaM,vDeltaK,3058,1,614,0.201
vDeltaM,vDeltaK,3058,2,66,0.022
vDeltaD,hDeltaL,2858,-3,344,0.12
vDeltaD,hDeltaL,2858,-2,320,0.112
vDeltaD,hDeltaL,2858,-1,400,0.14
vDeltaD,hDeltaL,2858,0,302,0.106
vDeltaD,hDeltaL,2858,1,441,0.154
vDeltaD,hDeltaL,2858,2,308,0.108
vDeltaD,hDeltaL,2858,3,285,0.1
vDeltaD,hDeltaL,2858,4,458,0.16
hDeltaK,PFGs,2846,-3,216,0.076
hDeltaK,PFGs,2846,-2,1,0.0
hDeltaK,PFGs,2846,-1,1,0.0
hDeltaK,PFGs,2846,0,178,0.063
hDeltaK,PFGs,2846,1,602,0.212
hDeltaK,PFGs,2846,2,660,0.232
hDeltaK,PFGs,2846,3,566,0.199
hDeltaK,PFGs,2846,4,622,0.219
PFNa,FC1A,2823,-2,33,0.012
PFNa,FC1A,2823,-1,589,0.209
PFNa,FC1A,2823,0,1610,0.57
PFNa,FC1A,2823,1,575,0.204
PFNa,FC1A,2823,2,16,0.006
FC2C,PFL3,2700,-2,8,0.003
FC2C,PFL3,2700,-1,394,0.146
FC2C,PFL3,2700,0,1786,0.661
FC2C,PFL3,2700,1,496,0.184
FC2C,PFL3,2700,2,16,0.006
PFR_a,hDeltaA,2666,-3,290,0.109
PFR_a,hDeltaA,2666,-2,340,0.128
PFR_a,hDeltaA,2666,-1,323,0.121
PFR_a,hDeltaA,2666,0,396,0.149
PFR_a,hDeltaA,2666,1,281,0.105
PFR_a,hDeltaA,2666,2,372,0.14
PFR_a,hDeltaA,2666,3,318,0.119
PFR_a,hDeltaA,2666,4,346,0.13
hDeltaJ,FC2B,2573,-3,230,0.089
hDeltaJ,FC2B,2573,-2,9,0.003
hDeltaJ,FC2B,2573,-1,7,0.003
hDeltaJ,FC2B,2573,0,196,0.076
hDeltaJ,FC2B,2573,1,521,0.202
hDeltaJ,FC2B,2573,2,585,0.227
hDeltaJ,FC2B,2573,3,541,0.21
hDeltaJ,FC2B,2573,4,484,0.188
PFNa,FC1F,2542,-2,39,0.015
PFNa,FC1F,2542,-1,635,0.25
PFNa,FC1F,2542,0,1294,0.509
PFNa,FC1F,2542,1,553,0.218
PFNa,FC1F,2542,2,21,0.008
FC2A,PFL3,2512,-2,11,0.004
FC2A,PFL3,2512,-1,459,0.183
FC2A,PFL3,2512,0,1603,0.638
FC2A,PFL3,2512,1,430,0.171
FC2A,PFL3,2512,2,9,0.004
FC2B,PFL3,2478,-2,9,0.004
FC2B,PFL3,2478,-1,431,0.174
FC2B,PFL3,2478,0,1538,0.621
FC2B,PFL3,2478,1,473,0.191
FC2B,PFL3,2478,2,27,0.011
hDeltaH,FC2B,2437,-3,1056,0.433
hDeltaH,FC2B,2437,-2,143,0.059
hDeltaH,FC2B,2437,2,1,0.0
hDeltaH,FC2B,2437,3,151,0.062
hDeltaH,FC2B,2437,4,1086,0.446
hDeltaM,PFL3,2428,-3,1137,0.468
hDeltaM,PFL3,2428,-2,36,0.015
hDeltaM,PFL3,2428,0,1,0.0
hDeltaM,PFL3,2428,1,1,0.0
hDeltaM,PFL3,2428,3,46,0.019
hDeltaM,PFL3,2428,4,1207,0.497
hDeltaC,FC2B,2414,-3,256,0.106
hDeltaC,FC2B,2414,-2,11,0.005
hDeltaC,FC2B,2414,-1,8,0.003
hDeltaC,FC2B,2414,0,225,0.093
hDeltaC,FC2B,2414,1,510,0.211
hDeltaC,FC2B,2414,2,488,0.202
hDeltaC,FC2B,2414,3,416,0.172
hDeltaC,FC2B,2414,4,500,0.207
vDeltaL,hDeltaA,2406,-3,181,0.075
vDeltaL,hDeltaA,2406,-2,188,0.078
vDeltaL,hDeltaA,2406,-1,258,0.107
vDeltaL,hDeltaA,2406,0,227,0.094
vDeltaL,hDeltaA,2406,1,453,0.188
vDeltaL,hDeltaA,2406,2,444,0.185
vDeltaL,hDeltaA,2406,3,338,0.14
vDeltaL,hDeltaA,2406,4,317,0.132
vDeltaE,hDeltaG,2405,-3,138,0.057
vDeltaE,hDeltaG,2405,-2,55,0.023
vDeltaE,hDeltaG,2405,-1,478,0.199
vDeltaE,hDeltaG,2405,0,419,0.174
vDeltaE,hDeltaG,2405,1,83,0.035
vDeltaE,hDeltaG,2405,2,67,0.028
vDeltaE,hDeltaG,2405,3,556,0.231
vDeltaE,hDeltaG,2405,4,609,0.253
vDeltaM,hDeltaA,2250,-3,152,0.068
vDeltaM,hDeltaA,2250,-2,117,0.052
vDeltaM,hDeltaA,2250,-1,188,0.084
vDeltaM,hDeltaA,2250,0,265,0.118
vDeltaM,hDeltaA,2250,1,473,0.21
vDeltaM,hDeltaA,2250,2,412,0.183
vDeltaM,hDeltaA,2250,3,343,0.152
vDeltaM,hDeltaA,2250,4,300,0.133
PFNm_b,PFNm_b,2231,-3,257,0.115
PFNm_b,PFNm_b,2231,-2,230,0.103
PFNm_b,PFNm_b,2231,-1,254,0.114
PFNm_b,PFNm_b,2231,0,584,0.262
PFNm_b,PFNm_b,2231,1,278,0.125
PFNm_b,PFNm_b,2231,2,201,0.09
PFNm_b,PFNm_b,2231,3,246,0.11
PFNm_b,PFNm_b,2231,4,181,0.081
hDeltaF,FC2C,2223,-3,805,0.362
hDeltaF,FC2C,2223,-2,869,0.391
hDeltaF,FC2C,2223,-1,248,0.112
hDeltaF,FC2C,2223,0,6,0.003
hDeltaF,FC2C,2223,1,2,0.001
hDeltaF,FC2C,2223,3,12,0.005
hDeltaF,FC2C,2223,4,281,0.126
hDeltaB,hDeltaA,2216,-3,40,0.018
hDeltaB,hDeltaA,2216,-2,70,0.032
hDeltaB,hDeltaA,2216,-1,244,0.11
hDeltaB,hDeltaA,2216,0,1418,0.64
hDeltaB,hDeltaA,2216,1,317,0.143
hDeltaB,hDeltaA,2216,2,83,0.037
hDeltaB,hDeltaA,2216,3,44,0.02
hDeltaE,FC2C,2207,-3,1085,0.492
hDeltaE,FC2C,2207,-2,78,0.035
hDeltaE,FC2C,2207,3,79,0.036
hDeltaE,FC2C,2207,4,965,0.437
PFR_b,PFR_a,2199,-3,130,0.059
PFR_b,PFR_a,2199,-2,152,0.069
PFR_b,PFR_a,2199,-1,298,0.136
PFR_b,PFR_a,2199,0,956,0.435
PFR_b,PFR_a,2199,1,285,0.13
PFR_b,PFR_a,2199,2,129,0.059
PFR_b,PFR_a,2199,3,135,0.061
PFR_b,PFR_a,2199,4,114,0.052
hDeltaA,PFR_a,2195,-3,101,0.046
hDeltaA,PFR_a,2195,-2,1,0.0
hDeltaA,PFR_a,2195,0,140,0.064
hDeltaA,PFR_a,2195,1,495,0.226
hDeltaA,PFR_a,2195,2,502,0.229
hDeltaA,PFR_a,2195,3,485,0.221
hDeltaA,PFR_a,2195,4,471,0.215
hDeltaB,vDeltaL,2094,-3,53,0.025
hDeltaB,vDeltaL,2094,-1,3,0.001
hDeltaB,vDeltaL,2094,0,73,0.035
hDeltaB,vDeltaL,2094,1,546,0.261
hDeltaB,vDeltaL,2094,2,526,0.251
hDeltaB,vDeltaL,2094,3,427,0.204
hDeltaB,vDeltaL,2094,4,466,0.223
PFNa,FC1D,2038,-2,5,0.002
PFNa,FC1D,2038,-1,464,0.228
PFNa,FC1D,2038,0,1156,0.567
PFNa,FC1D,2038,1,403,0.198
PFNa,FC1D,2038,2,10,0.005
FC2C,PFL2,2013,-2,26,0.013
FC2C,PFL2,2013,-1,331,0.164
FC2C,PFL2,2013,0,1303,0.647
FC2C,PFL2,2013,1,344,0.171
FC2C,PFL2,2013,2,9,0.004
hDeltaI,PFL2,1942,-3,86,0.044
hDeltaI,PFL2,1942,-2,1,0.001
hDeltaI,PFL2,1942,0,48,0.025
hDeltaI,PFL2,1942,1,474,0.244
hDeltaI,PFL2,1942,2,537,0.277
hDeltaI,PFL2,1942,3,427,0.22
hDeltaI,PFL2,1942,4,369,0.19
hDeltaL,FS2,1885,-3,144,0.076
hDeltaL,FS2,1885,-2,4,0.002
hDeltaL,FS2,1885,-1,35,0.019
hDeltaL,FS2,1885,0,247,0.131
hDeltaL,FS2,1885,1,227,0.12
hDeltaL,FS2,1885,2,357,0.189
hDeltaL,FS2,1885,3,473,0.251
hDeltaL,FS2,1885,4,398,0.211
vDeltaA_b,hDeltaD,1848,-3,134,0.073
vDeltaA_b,hDeltaD,1848,-2,55,0.03
vDeltaA_b,hDeltaD,1848,-1,295,0.16
vDeltaA_b,hDeltaD,1848,0,356,0.193
vDeltaA_b,hDeltaD,1848,1,122,0.066
vDeltaA_b,hDeltaD,1848,2,41,0.022
vDeltaA_b,hDeltaD,1848,3,385,0.208
vDeltaA_b,hDeltaD,1848,4,460,0.249
vDeltaG,hDeltaH,1789,-3,30,0.017
vDeltaG,hDeltaH,1789,-2,50,0.028
vDeltaG,hDeltaH,1789,-1,538,0.301
vDeltaG,hDeltaH,1789,0,502,0.281
vDeltaG,hDeltaH,1789,1,90,0.05
vDeltaG,hDeltaH,1789,2,32,0.018
vDeltaG,hDeltaH,1789,3,295,0.165
vDeltaG,hDeltaH,1789,4,252,0.141
vDeltaC,hDeltaL,1759,-3,321,0.182
vDeltaC,hDeltaL,1759,-2,271,0.154
vDeltaC,hDeltaL,1759,-1,400,0.227
vDeltaC,hDeltaL,1759,0,155,0.088
vDeltaC,hDeltaL,1759,1,104,0.059
vDeltaC,hDeltaL,1759,2,61,0.035
vDeltaC,hDeltaL,1759,3,105,0.06
vDeltaC,hDeltaL,1759,4,342,0.194
PFR_b,PFR_b,1722,-3,248,0.144
PFR_b,PFR_b,1722,-2,275,0.16
PFR_b,PFR_b,1722,-1,210,0.122
PFR_b,PFR_b,1722,0,4,0.002
PFR_b,PFR_b,1722,1,242,0.141
PFR_b,PFR_b,1722,2,253,0.147
PFR_b,PFR_b,1722,3,229,0.133
PFR_b,PFR_b,1722,4,261,0.152
hDeltaG,FC2B,1711,-3,696,0.407
hDeltaG,FC2B,1711,-2,113,0.066
hDeltaG,FC2B,1711,1,1,0.001
hDeltaG,FC2B,1711,2,3,0.002
hDeltaG,FC2B,1711,3,88,0.051
hDeltaG,FC2B,1711,4,810,0.473
PFNm_a,PFNm_b,1644,-3,173,0.105
PFNm_a,PFNm_b,1644,-2,143,0.087
PFNm_a,PFNm_b,1644,-1,201,0.122
PFNm_a,PFNm_b,1644,0,397,0.241
PFNm_a,PFNm_b,1644,1,182,0.111
PFNm_a,PFNm_b,1644,2,170,0.103
PFNm_a,PFNm_b,1644,3,162,0.099
PFNm_a,PFNm_b,1644,4,216,0.131
vDeltaA_b,hDeltaE,1628,-3,99,0.061
vDeltaA_b,hDeltaE,1628,-2,27,0.017
vDeltaA_b,hDeltaE,1628,-1,346,0.213
vDeltaA_b,hDeltaE,1628,0,385,0.236
vDeltaA_b,hDeltaE,1628,1,116,0.071
vDeltaA_b,hDeltaE,1628,2,34,0.021
vDeltaA_b,hDeltaE,1628,3,288,0.177
vDeltaA_b,hDeltaE,1628,4,333,0.205
hDeltaC,vDeltaE,1604,-3,72,0.045
hDeltaC,vDeltaE,1604,-2,20,0.012
hDeltaC,vDeltaE,1604,-1,1,0.001
hDeltaC,vDeltaE,1604,0,110,0.069
hDeltaC,vDeltaE,1604,1,375,0.234
hDeltaC,vDeltaE,1604,2,421,0.262
hDeltaC,vDeltaE,1604,3,345,0.215
hDeltaC,vDeltaE,1604,4,260,0.162
PFNd,hDeltaA,1587,-3,288,0.181
PFNd,hDeltaA,1587,-2,543,0.342
PFNd,hDeltaA,1587,-1,353,0.222
PFNd,hDeltaA,1587,0,216,0.136
PFNd,hDeltaA,1587,1,2,0.001
PFNd,hDeltaA,1587,2,3,0.002
PFNd,hDeltaA,1587,3,1,0.001
PFNd,hDeltaA,1587,4,181,0.114
vDeltaF,hDeltaG,1582,-3,55,0.035
vDeltaF,hDeltaG,1582,-2,31,0.02
vDeltaF,hDeltaG,1582,-1,432,0.273
vDeltaF,hDeltaG,1582,0,442,0.279
vDeltaF,hDeltaG,1582,1,133,0.084
vDeltaF,hDeltaG,1582,2,26,0.016
vDeltaF,hDeltaG,1582,3,228,0.144
vDeltaF,hDeltaG,1582,4,235,0.149
hDeltaC,hDeltaF,1578,-3,256,0.162
hDeltaC,hDeltaF,1578,-2,87,0.055
hDeltaC,hDeltaF,1578,-1,187,0.119
hDeltaC,hDeltaF,1578,0,333,0.211
hDeltaC,hDeltaF,1578,1,123,0.078
hDeltaC,hDeltaF,1578,2,307,0.195
hDeltaC,hDeltaF,1578,3,189,0.12
hDeltaC,hDeltaF,1578,4,96,0.061
hDeltaM,PFL2,1555,-3,762,0.49
hDeltaM,PFL2,1555,-2,16,0.01
hDeltaM,PFL2,1555,3,9,0.006
hDeltaM,PFL2,1555,4,768,0.494
vDeltaF,hDeltaH,1464,-3,130,0.089
vDeltaF,hDeltaH,1464,-2,27,0.018
vDeltaF,hDeltaH,1464,-1,160,0.109
vDeltaF,hDeltaH,1464,0,216,0.148
vDeltaF,hDeltaH,1464,1,76,0.052
vDeltaF,hDeltaH,1464,2,69,0.047
vDeltaF,hDeltaH,1464,3,374,0.255
vDeltaF,hDeltaH,1464,4,412,0.281
hDeltaG,FC2C,1460,-3,740,0.507
hDeltaG,FC2C,1460,-2,82,0.056
hDeltaG,FC2C,1460,3,51,0.035
hDeltaG,FC2C,1460,4,587,0.402
hDeltaH,PFL3,1448,-3,737,0.509
hDeltaH,PFL3,1448,-2,18,0.012
hDeltaH,PFL3,1448,0,1,0.001
hDeltaH,PFL3,1448,1,6,0.004
hDeltaH,PFL3,1448,3,35,0.024
hDeltaH,PFL3,1448,4,651,0.45
hDeltaA,PFL2,1447,-3,54,0.037
hDeltaA,PFL2,1447,-2,4,0.003
hDeltaA,PFL2,1447,0,47,0.032
hDeltaA,PFL2,1447,1,302,0.209
hDeltaA,PFL2,1447,2,312,0.216
hDeltaA,PFL2,1447,3,395,0.273
hDeltaA,PFL2,1447,4,333,0.23
hDeltaB,FS2,1413,-3,47,0.033
hDeltaB,FS2,1413,0,47,0.033
hDeltaB,FS2,1413,1,283,0.2
hDeltaB,FS2,1413,2,283,0.2
hDeltaB,FS2,1413,3,384,0.272
hDeltaB,FS2,1413,4,369,0.261
PFNm_a,PFNm_a,1403,-3,135,0.096
PFNm_a,PFNm_a,1403,-2,213,0.152
PFNm_a,PFNm_a,1403,-1,152,0.108
PFNm_a,PFNm_a,1403,0,244,0.174
PFNm_a,PFNm_a,1403,1,141,0.1
PFNm_a,PFNm_a,1403,2,178,0.127
PFNm_a,PFNm_a,1403,3,130,0.093
PFNm_a,PFNm_a,1403,4,210,0.15
hDeltaA,hDeltaI,1388,-3,61,0.044
hDeltaA,hDeltaI,1388,-2,460,0.331
hDeltaA,hDeltaI,1388,-1,165,0.119
hDeltaA,hDeltaI,1388,0,60,0.043
hDeltaA,hDeltaI,1388,1,73,0.053
hDeltaA,hDeltaI,1388,2,483,0.348
hDeltaA,hDeltaI,1388,3,79,0.057
hDeltaA,hDeltaI,1388,4,7,0.005
hDeltaD,FC2C,1372,-3,662,0.483
hDeltaD,FC2C,1372,-2,33,0.024
hDeltaD,FC2C,1372,3,21,0.015
hDeltaD,FC2C,1372,4,656,0.478
FC1D,PFL1,1349,-3,1,0.001
FC1D,PFL1,1349,-2,14,0.01
FC1D,PFL1,1349,-1,302,0.224
FC1D,PFL1,1349,0,754,0.559
FC1D,PFL1,1349,1,267,0.198
FC1D,PFL1,1349,2,11,0.008
PFNa,hDeltaJ,1338,-3,13,0.01
PFNa,hDeltaJ,1338,-2,8,0.006
PFNa,hDeltaJ,1338,-1,27,0.02
PFNa,hDeltaJ,1338,0,233,0.174
PFNa,hDeltaJ,1338,1,373,0.279
PFNa,hDeltaJ,1338,2,360,0.269
PFNa,hDeltaJ,1338,3,295,0.22
PFNa,hDeltaJ,1338,4,29,0.022
PFNm_b,PFNm_a,1320,-3,126,0.095
PFNm_b,PFNm_a,1320,-2,170,0.129
PFNm_b,PFNm_a,1320,-1,138,0.105
PFNm_b,PFNm_a,1320,0,288,0.218
PFNm_b,PFNm_a,1320,1,163,0.123
PFNm_b,PFNm_a,1320,2,118,0.089
PFNm_b,PFNm_a,1320,3,136,0.103
PFNm_b,PFNm_a,1320,4,181,0.137
PFR_b,PFGs,1310,-2,12,0.009
PFR_b,PFGs,1310,-1,181,0.138
PFR_b,PFGs,1310,0,923,0.705
PFR_b,PFGs,1310,1,187,0.143
PFR_b,PFGs,1310,2,7,0.005
PFNa,hDeltaC,1275,-1,37,0.029
PFNa,hDeltaC,1275,0,280,0.22
PFNa,hDeltaC,1275,1,319,0.25
PFNa,hDeltaC,1275,2,312,0.245
PFNa,hDeltaC,1275,3,301,0.236
PFNa,hDeltaC,1275,4,26,0.02
hDeltaC,vDeltaD,1262,-3,99,0.078
hDeltaC,vDeltaD,1262,-2,11,0.009
hDeltaC,vDeltaD,1262,-1,5,0.004
hDeltaC,vDeltaD,1262,0,87,0.069
hDeltaC,vDeltaD,1262,1,280,0.222
hDeltaC,vDeltaD,1262,2,292,0.231
hDeltaC,vDeltaD,1262,3,237,0.188
hDeltaC,vDeltaD,1262,4,251,0.199
PFR_b,hDeltaH,1261,-3,8,0.006
PFR_b,hDeltaH,1261,-2,1,0.001
PFR_b,hDeltaH,1261,-1,301,0.239
PFR_b,hDeltaH,1261,0,338,0.268
PFR_b,hDeltaH,1261,1,4,0.003
PFR_b,hDeltaH,1261,2,6,0.005
PFR_b,hDeltaH,1261,3,295,0.234
PFR_b,hDeltaH,1261,4,308,0.244
FC3_a,PFR_a,1261,-2,1,0.001
FC3_a,PFR_a,1261,-1,150,0.119
FC3_a,PFR_a,1261,0,975,0.773
FC3_a,PFR_a,1261,1,135,0.107
vDeltaI_a,hDeltaH,1250,-2,50,0.04
vDeltaI_a,hDeltaH,1250,-1,481,0.385
vDeltaI_a,hDeltaH,1250,0,543,0.434
vDeltaI_a,hDeltaH,1250,1,129,0.103
vDeltaI_a,hDeltaH,1250,2,11,0.009
vDeltaI_a,hDeltaH,1250,3,19,0.015
vDeltaI_a,hDeltaH,1250,4,17,0.014
hDeltaG,FS2,1241,-3,562,0.453
hDeltaG,FS2,1241,-2,37,0.03
hDeltaG,FS2,1241,1,3,0.002
hDeltaG,FS2,1241,3,69,0.056
hDeltaG,FS2,1241,4,570,0.459
FC2B,PFL2,1230,-2,8,0.007
FC2B,PFL2,1230,-1,209,0.17
FC2B,PFL2,1230,0,773,0.628
FC2B,PFL2,1230,1,228,0.185
FC2B,PFL2,1230,2,12,0.01
