post,pre,syn,share,pre_superclass,pre_nt,pre_n,hb_syn,hb_share
FB4X,LHPD5f1,227,0.026,cb_intrinsic,glutamate,2,87,0.011
FB5C,OA-VPM3,163,0.026,cb_intrinsic,octopamine,2,131,0.028
FB5G_c,SIP065,77,0.026,cb_intrinsic,glutamate,2,0,
FB5P,LAL129,90,0.026,cb_intrinsic,acetylcholine,2,21,0.008
FB5V_a,LAL129,186,0.026,cb_intrinsic,acetylcholine,2,0,
FB5V_a,LAL192,182,0.026,cb_intrinsic,acetylcholine,2,0,
FB5V_c,LAL129,128,0.026,cb_intrinsic,acetylcholine,2,0,
FB5Y_a,CB1220,86,0.026,cb_intrinsic,glutamate,9,0,
FB6A_a,SMP407,219,0.026,cb_intrinsic,acetylcholine,2,0,
FB6A_b,SMP215,171,0.026,cb_intrinsic,glutamate,8,0,
FB6H,SMP743,186,0.026,cb_intrinsic,acetylcholine,4,0,0.0
FB6S,SMP399_b,110,0.026,cb_intrinsic,acetylcholine,4,0,0.0
FB6X,LAL137,65,0.026,cb_intrinsic,acetylcholine,2,65,0.027
FB6Z,CB4077,80,0.026,cb_intrinsic,acetylcholine,10,0,0.0
FB7K,SMP352,84,0.026,cb_intrinsic,acetylcholine,12,35,0.012
FB8G,SMP095,155,0.026,cb_intrinsic,glutamate,4,105,0.017
FB9A,CB1595,72,0.026,cb_intrinsic,acetylcholine,9,0,0.0
FB9A,CB1178,71,0.026,cb_intrinsic,glutamate,21,0,0.0
IbSpsP,LAL190,432,0.026,cb_intrinsic,acetylcholine,2,81,0.005
LCNOp,CRE041,172,0.026,cb_intrinsic,gaba,2,210,0.035
LNOa,LAL133_a,134,0.026,cb_intrinsic,glutamate,2,0,0.0
vDeltaA_a,FB9B_d,408,0.026,cb_intrinsic,glutamate,4,358,0.022
ER1_c,WED016,76,0.025,cb_intrinsic,acetylcholine,2,0,
ER1_c,LAL203,75,0.025,cb_intrinsic,acetylcholine,4,0,
ExR2,mALD4,280,0.025,cb_intrinsic,gaba,2,142,0.017
ExR3,LHPV5l1,381,0.025,cb_intrinsic,acetylcholine,2,306,0.018
FB1C,SIP004,330,0.025,cb_intrinsic,acetylcholine,2,120,0.014
FB2C,SMP180,122,0.025,cb_intrinsic,acetylcholine,2,51,0.006
FB4A_a,CRE025,102,0.025,cb_intrinsic,glutamate,2,0,
FB4I,CRE044,61,0.025,cb_intrinsic,gaba,8,155,0.049
FB5B,SIP071,125,0.025,cb_intrinsic,acetylcholine,6,93,0.02
FB5E,SMP376,101,0.025,cb_intrinsic,glutamate,2,66,0.014
FB5G_c,SMP541,74,0.025,cb_intrinsic,glutamate,2,0,
FB5O,SMP376,81,0.025,cb_intrinsic,glutamate,2,94,0.023
FB5P,LAL137,87,0.025,cb_intrinsic,acetylcholine,2,44,0.016
FB5Q,CRE074,173,0.025,cb_intrinsic,glutamate,2,102,0.019
FB5T,CRE075,51,0.025,cb_intrinsic,glutamate,2,27,0.016
FB5V_a,CRE059,178,0.025,cb_intrinsic,acetylcholine,4,0,
FB5V_c,LAL001,121,0.025,cb_intrinsic,glutamate,2,0,
FB5Y_a,SMP405,84,0.025,cb_intrinsic,acetylcholine,4,0,
FB5Y_a,SMP408_b,83,0.025,cb_intrinsic,acetylcholine,6,0,
FB5Z,LAL137,93,0.025,cb_intrinsic,acetylcholine,2,91,0.025
FB6A_a,SMP034,215,0.025,cb_intrinsic,glutamate,4,0,
FB6C_a,SLP340,60,0.025,cb_intrinsic,glutamate,2,28,0.014
FB6F,SMP249,91,0.025,cb_intrinsic,glutamate,2,61,0.018
FB6F,CB2814,91,0.025,cb_intrinsic,glutamate,10,0,0.0
FB6M,LAL166,163,0.025,cb_intrinsic,acetylcholine,2,44,0.012
FB6W,SMP541,72,0.025,cb_intrinsic,glutamate,2,39,0.012
FB6Z,PRW009,77,0.025,cb_intrinsic,acetylcholine,6,0,0.0
FB8F_b,LHAD1d1,154,0.025,cb_intrinsic,acetylcholine,8,54,0.013
FB8F_b,SLP024,151,0.025,cb_intrinsic,glutamate,21,0,0.0
FB8H,SMP095,114,0.025,cb_intrinsic,glutamate,4,74,0.018
FB8H,AstA1,113,0.025,cb_intrinsic,gaba,2,91,0.022
FB8I,LHPV5e2,134,0.025,cb_intrinsic,acetylcholine,2,53,0.018
FB8I,SMP082,134,0.025,cb_intrinsic,glutamate,4,45,0.015
FB9C,CB4087,64,0.025,cb_intrinsic,acetylcholine,11,0,
LCNOpm,LAL145,430,0.025,cb_intrinsic,acetylcholine,4,194,0.022
LNO2,LAL123,479,0.025,cb_intrinsic,unclear,2,6,0.001
PFR_b,LAL002,640,0.025,cb_intrinsic,glutamate,2,201,0.007
ER1_c,CB1599,73,0.024,cb_intrinsic,acetylcholine,3,0,
ER1_c,LAL047,72,0.024,cb_intrinsic,gaba,2,0,
ER3a_c,LAL203,103,0.024,cb_intrinsic,acetylcholine,4,11,0.003
ExR4,LAL184,489,0.024,cb_intrinsic,acetylcholine,2,219,0.018
FB1B,CB4023,71,0.024,cb_intrinsic,acetylcholine,9,0,0.0
FB2M_a,PLP026,107,0.024,cb_intrinsic,gaba,8,0,
FB4C,SMP374,281,0.024,cb_intrinsic,glutamate,4,141,0.013
FB4D_a,CRE066,63,0.024,cb_intrinsic,acetylcholine,4,0,
FB4E_b,CL236,78,0.024,cb_intrinsic,acetylcholine,2,0,
FB4F_a,LAL147_a,128,0.024,cb_intrinsic,glutamate,4,0,0.0
FB4F_b,CRE070,58,0.024,cb_intrinsic,acetylcholine,2,15,0.005
FB5H,SMP238,202,0.024,cb_intrinsic,acetylcholine,2,63,0.008
FB5H,SMP165,201,0.024,cb_intrinsic,glutamate,2,4,0.001
FB5L,SMP184,80,0.024,cb_intrinsic,acetylcholine,2,83,0.017
FB5Q,SMP185,166,0.024,cb_intrinsic,acetylcholine,2,124,0.022
FB5Q,PLP246,162,0.024,cb_intrinsic,acetylcholine,2,88,0.016
FB5Y_b,PLP026,78,0.024,cb_intrinsic,gaba,8,0,
FB6B,CB2572,70,0.024,cb_intrinsic,acetylcholine,9,0,0.0
FB6G,SIP076,81,0.024,cb_intrinsic,acetylcholine,20,9,0.003
FB6M,PLP101,158,0.024,cb_intrinsic,acetylcholine,7,18,0.005
FB6S,SIP019,102,0.024,cb_intrinsic,acetylcholine,2,15,0.006
FB6T,LHPD2d2,85,0.024,cb_intrinsic,glutamate,2,27,0.009
FB8F_b,SLP149,144,0.024,cb_intrinsic,acetylcholine,2,99,0.024
FB9C,FB9B_a,60,0.024,cb_intrinsic,glutamate,4,0,
FC3_b,FB5V_b,251,0.024,cb_intrinsic,glutamate,6,0,
FS4C,SLP414,158,0.024,cb_intrinsic,glutamate,11,56,0.01
IbSpsP,PLP231,404,0.024,cb_intrinsic,acetylcholine,4,306,0.021
LCNOp,DNpe027,162,0.024,descending_neuron,acetylcholine,2,0,0.0
LNO2,LAL203,458,0.024,cb_intrinsic,acetylcholine,4,205,0.018
hDeltaD,FB9B_d,506,0.024,cb_intrinsic,glutamate,4,392,0.021
ER4d,TuBu08,1305,0.023,cb_intrinsic,acetylcholine,21,1000,0.021
FB2K,LAL175,173,0.023,cb_intrinsic,acetylcholine,4,60,0.011
FB4K,CRE027,187,0.023,cb_intrinsic,glutamate,4,42,0.006
FB4L,LAL139,218,0.023,cb_intrinsic,gaba,2,52,0.01
FB4M,SIP064,468,0.023,cb_intrinsic,acetylcholine,2,119,0.009
FB4Q_c,CRE018,82,0.023,cb_intrinsic,acetylcholine,8,0,
FB5C,CRE105,143,0.023,cb_intrinsic,acetylcholine,2,65,0.014
FB5V_a,LAL001,163,0.023,cb_intrinsic,glutamate,2,0,
FB5V_c,CRE007,110,0.023,cb_intrinsic,glutamate,2,0,
FB5Z,SMP185,85,0.023,cb_intrinsic,acetylcholine,2,47,0.013
FB5Z,CRE105,84,0.023,cb_intrinsic,acetylcholine,2,45,0.012
FB6A_a,SMP250,193,0.023,cb_intrinsic,glutamate,2,0,
FB6C_a,CB2754,56,0.023,cb_intrinsic,acetylcholine,4,0,0.0
FB6T,MBON06,83,0.023,cb_intrinsic,glutamate,2,43,0.015
FB7C,SMP167,67,0.023,cb_intrinsic,unclear,12,31,0.014
FB7K,CB3050,76,0.023,cb_intrinsic,acetylcholine,7,0,0.0
FB7L,BiT,184,0.023,cb_intrinsic,acetylcholine,2,0,0.0
FB7L,SMP505,181,0.023,cb_intrinsic,acetylcholine,2,56,0.009
IbSpsP,CL339,380,0.023,cb_intrinsic,acetylcholine,2,0,0.0
LCNOpm,LAL052,395,0.023,cb_intrinsic,glutamate,2,167,0.019
LNO1,LAL176,251,0.023,cb_intrinsic,acetylcholine,2,77,0.012
SpsP,AN06B039,82,0.023,ascending_neuron,gaba,7,0,0.0
SpsP,Nod3,81,0.023,visual_projection,acetylcholine,2,0,0.0
ER1_a,WED016,208,0.022,cb_intrinsic,acetylcholine,2,86,0.01
ER1_b,CB1339,255,0.022,cb_intrinsic,acetylcholine,10,0,0.0
ER3a_c,SMP183,94,0.022,cb_intrinsic,acetylcholine,2,26,0.008
ExR1,TuBu07,1224,0.022,cb_intrinsic,acetylcholine,21,396,0.01
ExR3,SMP192,336,0.022,cb_intrinsic,acetylcholine,2,221,0.013
ExR3,PLP032,325,0.022,cb_intrinsic,acetylcholine,2,116,0.007
FB1B,SLP414,65,0.022,cb_intrinsic,glutamate,11,93,0.026
FB1G,SMP192,158,0.022,cb_intrinsic,acetylcholine,2,93,0.016
FB1G,SIP018,157,0.022,cb_intrinsic,glutamate,2,58,0.01
FB1G,LHPV10d1,156,0.022,cb_intrinsic,acetylcholine,2,119,0.021
FB2F_d,SIP003_a,72,0.022,cb_intrinsic,acetylcholine,8,0,
FB2M_a,CB3056,100,0.022,cb_intrinsic,glutamate,6,0,
FB4D_c,CRE066,57,0.022,cb_intrinsic,acetylcholine,4,0,
FB4H,MBON34,135,0.022,cb_intrinsic,glutamate,2,104,0.015
FB4H,PLP161,134,0.022,cb_intrinsic,acetylcholine,4,53,0.008
FB4H,CRE059,130,0.022,cb_intrinsic,acetylcholine,4,142,0.021
FB4K,CRE107,177,0.022,cb_intrinsic,glutamate,2,129,0.019
FB4L,WED009,215,0.022,cb_intrinsic,acetylcholine,6,48,0.01
FB4Q_a,CRE005,57,0.022,cb_intrinsic,acetylcholine,4,33,0.01
FB4X,CRE049,198,0.022,cb_intrinsic,acetylcholine,2,78,0.009
FB5D,SMP124,153,0.022,cb_intrinsic,glutamate,4,73,0.014
FB5G_a,SMP566,107,0.022,cb_intrinsic,acetylcholine,6,0,
FB5V_a,CL129,160,0.022,cb_intrinsic,acetylcholine,2,0,
FB5V_a,PPL108,158,0.022,cb_intrinsic,dopamine,2,0,
FB5V_c,LAL123,107,0.022,cb_intrinsic,unclear,2,0,
FB6C_a,SLP405_a,52,0.022,cb_intrinsic,acetylcholine,13,6,0.003
FB6H,SMP188,156,0.022,cb_intrinsic,acetylcholine,2,90,0.014
FB6W,CRE025,66,0.022,cb_intrinsic,glutamate,2,43,0.014
FB6Z,SLP031,66,0.022,cb_intrinsic,acetylcholine,2,16,0.006
FB7F,SLP024,58,0.022,cb_intrinsic,glutamate,21,0,0.0
ER3a_c,LHPV6q1,90,0.021,cb_intrinsic,unclear,2,38,0.012
ExR3,WED184,312,0.021,cb_intrinsic,gaba,2,0,0.0
ExR3,LAL190,309,0.021,cb_intrinsic,acetylcholine,2,39,0.002
FB1E_a,CB4198,67,0.021,cb_intrinsic,glutamate,4,0,0.0
FB2A,OA-VPM3,212,0.021,cb_intrinsic,octopamine,2,329,0.043
FB2K,CB2784,158,0.021,cb_intrinsic,gaba,8,0,0.0
FB4E_a,CL236,90,0.021,cb_intrinsic,acetylcholine,2,0,
FB4F_b,CRE004,51,0.021,cb_intrinsic,acetylcholine,2,33,0.011
FB4G,CRE004,128,0.021,cb_intrinsic,acetylcholine,2,49,0.007
FB4H,CRE042,128,0.021,cb_intrinsic,gaba,2,142,0.021
FB4M,CRE059,415,0.021,cb_intrinsic,acetylcholine,4,213,0.016
FB4N,SMP010,260,0.021,cb_intrinsic,glutamate,2,165,0.014
FB4O,MBON22,175,0.021,cb_intrinsic,acetylcholine,2,115,0.021
FB4P_b,MBON21,96,0.021,cb_intrinsic,acetylcholine,2,358,0.031
FB4P_c,CRE059,77,0.021,cb_intrinsic,acetylcholine,4,0,
FB5AA,CRE105,102,0.021,cb_intrinsic,acetylcholine,2,64,0.014
FB5B,M_lvPNm25,107,0.021,cb_intrinsic,acetylcholine,4,58,0.012
FB5G_c,SMP376,61,0.021,cb_intrinsic,glutamate,2,0,
FB5L,CRE042,70,0.021,cb_intrinsic,gaba,2,125,0.025
FB5O,SMP541,69,0.021,cb_intrinsic,glutamate,2,80,0.02
FB5V_a,LAL137,151,0.021,cb_intrinsic,acetylcholine,2,0,
FB5V_c,CRE006,103,0.021,cb_intrinsic,glutamate,2,0,
FB5V_c,LAL101,101,0.021,cb_intrinsic,gaba,2,0,
FB5Y_a,CRE093,72,0.021,cb_intrinsic,acetylcholine,4,0,
FB5Y_a,PLP026,71,0.021,cb_intrinsic,gaba,8,0,
FB6F,SMP184,76,0.021,cb_intrinsic,acetylcholine,2,50,0.015
FB6M,WED006,141,0.021,cb_intrinsic,gaba,2,31,0.009
FB6R,SMP136,63,0.021,cb_intrinsic,glutamate,2,35,0.014
FB6V,CRE105,100,0.021,cb_intrinsic,acetylcholine,2,73,0.017
FB7A,SLP405_c,159,0.021,cb_intrinsic,acetylcholine,6,48,0.009
FB7F,SIP046,54,0.021,cb_intrinsic,glutamate,2,48,0.047
FB8F_a,CB1073,100,0.021,cb_intrinsic,acetylcholine,6,0,0.0
FB8F_b,CB2298,129,0.021,cb_intrinsic,glutamate,5,0,0.0
FB8F_b,CB4122,128,0.021,cb_intrinsic,glutamate,10,0,0.0
FB8I,SLP372,111,0.021,cb_intrinsic,acetylcholine,4,39,0.013
FB9A,CB1333,56,0.021,cb_intrinsic,acetylcholine,10,0,0.0
FS1A_c,SMP371_b,206,0.021,cb_intrinsic,glutamate,2,0,
IbSpsP,CB4106,351,0.021,cb_intrinsic,acetylcholine,6,0,0.0
LNO1,LAL177,233,0.021,cb_intrinsic,acetylcholine,2,58,0.009
ER1_a,LAL047,194,0.02,cb_intrinsic,gaba,2,84,0.01
ExR3,SIP076,300,0.02,cb_intrinsic,acetylcholine,20,96,0.006
FB1E_a,SIP051,63,0.02,cb_intrinsic,acetylcholine,2,50,0.023
FB2C,SMP012,97,0.02,cb_intrinsic,glutamate,4,90,0.011
FB2F_a,LHPV4m1,138,0.02,cb_intrinsic,acetylcholine,2,51,0.009
FB2I_a,ATL013,230,0.02,cb_intrinsic,acetylcholine,4,170,0.014
FB2L,SMP012,70,0.02,cb_intrinsic,glutamate,4,21,0.008
FB4F_c,CRE004,149,0.02,cb_intrinsic,acetylcholine,2,0,
FB4H,SMP184,120,0.02,cb_intrinsic,acetylcholine,2,104,0.015
FB4K,SMP179,159,0.02,cb_intrinsic,acetylcholine,2,5,0.001
FB4P_b,SMP006,90,0.02,cb_intrinsic,acetylcholine,9,79,0.007
FB4P_c,SMP152,76,0.02,cb_intrinsic,acetylcholine,2,0,
FB4R,CRE049,135,0.02,cb_intrinsic,acetylcholine,2,30,0.007
FB4X,CRE107,176,0.02,cb_intrinsic,glutamate,2,198,0.024
FB5F,PLP246,71,0.02,cb_intrinsic,acetylcholine,2,54,0.017
FB5G_a,CB3614,96,0.02,cb_intrinsic,acetylcholine,4,0,
FB5H,LAL110,169,0.02,cb_intrinsic,acetylcholine,10,77,0.01
FB5N,PPL102,110,0.02,cb_intrinsic,dopamine,2,68,0.02
FB5Q,SMP151,136,0.02,cb_intrinsic,gaba,4,121,0.022
FB5V_a,IB005,140,0.02,cb_intrinsic,gaba,2,0,
FB5X,oviIN,191,0.02,cb_intrinsic,gaba,2,221,0.024
FB5Y_a,SMP136,66,0.02,cb_intrinsic,glutamate,2,0,
FB5Y_b,SMP408_b,67,0.02,cb_intrinsic,acetylcholine,6,0,
FB6B,SIP067,57,0.02,cb_intrinsic,acetylcholine,2,56,0.011
FB6D,PRW009,126,0.02,cb_intrinsic,acetylcholine,6,0,0.0
FB6M,SIP019,131,0.02,cb_intrinsic,acetylcholine,2,17,0.005
FB6S,LHPD2d1,86,0.02,cb_intrinsic,glutamate,2,24,0.009
FB6S,CRE083,85,0.02,cb_intrinsic,acetylcholine,6,63,0.023
FB6T,SLP075,71,0.02,cb_intrinsic,glutamate,2,14,0.005
FB7A,SLP347,147,0.02,cb_intrinsic,glutamate,4,19,0.003
FB7E,CRE074,130,0.02,cb_intrinsic,glutamate,2,57,0.01
FB7F,SIP026,51,0.02,cb_intrinsic,glutamate,2,2,0.002
FB7K,CB4139,67,0.02,cb_intrinsic,acetylcholine,5,0,0.0
FB7K,LHPV5e2,66,0.02,cb_intrinsic,acetylcholine,2,30,0.01
FB7L,AstA1,160,0.02,cb_intrinsic,gaba,2,81,0.014
FB8B,MeVP31,87,0.02,visual_projection,acetylcholine,2,0,0.0
FB8C,SMP169,96,0.02,cb_intrinsic,acetylcholine,2,76,0.015
FB8F_a,MBON23,96,0.02,cb_intrinsic,acetylcholine,2,42,0.01
FB8F_a,SIP026,95,0.02,cb_intrinsic,glutamate,2,33,0.008
FB8I,SMP535,104,0.02,cb_intrinsic,glutamate,4,13,0.004
FC3_a,FB5V_b,205,0.02,cb_intrinsic,glutamate,6,0,
LCNOpm,SMP184,352,0.02,cb_intrinsic,acetylcholine,2,132,0.015
hDeltaD,FB9B_b,430,0.02,cb_intrinsic,glutamate,4,229,0.012
ExR1,TuBu01,1046,0.019,cb_intrinsic,acetylcholine,10,486,0.013
ExR3,WED009,281,0.019,cb_intrinsic,acetylcholine,6,121,0.007
FB1E_a,SIP029,61,0.019,cb_intrinsic,acetylcholine,2,24,0.011
FB2E,aMe26,71,0.019,visual_projection,acetylcholine,6,33,0.008
FB2F_d,CB4198,63,0.019,cb_intrinsic,glutamate,4,0,
FB2F_d,LHPD2a4_a,63,0.019,cb_intrinsic,acetylcholine,8,0,
FB2K,LAL075,142,0.019,cb_intrinsic,glutamate,2,67,0.012
FB4E_a,LAL196,82,0.019,cb_intrinsic,acetylcholine,6,0,
FB4G,CRE023,112,0.019,cb_intrinsic,glutamate,2,115,0.016
FB4H,AN19B019,113,0.019,ascending_neuron,acetylcholine,2,0,0.0
FB4H,CL303,112,0.019,cb_intrinsic,acetylcholine,2,62,0.009
FB4J,CRE070,50,0.019,cb_intrinsic,acetylcholine,2,52,0.016
FB4K,CRE060,152,0.019,cb_intrinsic,acetylcholine,2,63,0.009
FB4L,PLP037,179,0.019,cb_intrinsic,glutamate,9,27,0.005
FB4L,LAL205,178,0.019,cb_intrinsic,gaba,2,0,0.0
FB4M,AN19B019,385,0.019,ascending_neuron,acetylcholine,2,0,0.0
FB4N,SMP117_a,235,0.019,cb_intrinsic,glutamate,2,124,0.011
FB4O,SIP128m,159,0.019,cb_intrinsic,acetylcholine,5,0,0.0
FB4O,MBON29,159,0.019,cb_intrinsic,acetylcholine,2,58,0.011
FB5AB,CB1434,230,0.019,cb_intrinsic,glutamate,6,0,0.0
FB5AB,MBON13,227,0.019,cb_intrinsic,acetylcholine,2,136,0.015
FB5B,SMP126,95,0.019,cb_intrinsic,glutamate,2,41,0.009
FB5G_a,CB1897,93,0.019,cb_intrinsic,acetylcholine,8,0,
FB5J,LHPD2c7,52,0.019,cb_intrinsic,glutamate,4,12,0.004
FB5P,AN19B019,66,0.019,ascending_neuron,acetylcholine,2,0,0.0
FB5V_a,LAL147_b,137,0.019,cb_intrinsic,glutamate,2,0,
FB5V_c,CRE028,94,0.019,cb_intrinsic,glutamate,6,0,
FB5W_a,SMP376,80,0.019,cb_intrinsic,glutamate,2,0,
FB6A_a,SLP340,158,0.019,cb_intrinsic,glutamate,2,0,
FB6C_b,CB2754,161,0.019,cb_intrinsic,acetylcholine,4,0,0.0
FB6F,LHPV6m1,69,0.019,cb_intrinsic,glutamate,2,34,0.01
FB6F,SMP272,69,0.019,cb_intrinsic,acetylcholine,2,48,0.014
FB6M,CB1322,126,0.019,cb_intrinsic,acetylcholine,10,0,0.0
FB6O,LHPV5g2,63,0.019,cb_intrinsic,acetylcholine,6,17,0.005
FB6R,SMP377,57,0.019,cb_intrinsic,acetylcholine,15,2,0.001
FB6T,CB2398,67,0.019,cb_intrinsic,acetylcholine,5,0,0.0
FB6T,LHAD1d1,67,0.019,cb_intrinsic,acetylcholine,8,36,0.013
FB6T,SLP024,66,0.019,cb_intrinsic,glutamate,21,0,0.0
FB6Z,SMP352,58,0.019,cb_intrinsic,acetylcholine,12,16,0.006
FB7K,SLP405_a,61,0.019,cb_intrinsic,acetylcholine,13,2,0.001
FB7L,SMP379,156,0.019,cb_intrinsic,acetylcholine,2,42,0.007
FB7L,CB3541,153,0.019,cb_intrinsic,acetylcholine,4,0,0.0
FB8G,SMP379,114,0.019,cb_intrinsic,acetylcholine,2,62,0.01
FB8I,SMP505,99,0.019,cb_intrinsic,acetylcholine,2,92,0.031
LNO2,PLP078,363,0.019,cb_intrinsic,glutamate,2,184,0.016
SpsP,WED075,68,0.019,cb_intrinsic,gaba,2,0,0.0
ER1_a,CB1599,171,0.018,cb_intrinsic,acetylcholine,3,0,0.0
ER1_c,WED181,54,0.018,cb_intrinsic,acetylcholine,2,0,
FB1D,M_vPNml53,69,0.018,cb_intrinsic,gaba,12,45,0.016
FB2A,LHPV5g1_a,181,0.018,cb_intrinsic,acetylcholine,5,76,0.01
FB2F_b,CB1220,53,0.018,cb_intrinsic,glutamate,9,0,0.0
FB2F_d,SMP568_d,60,0.018,cb_intrinsic,acetylcholine,3,0,
FB4E_b,SMP109,57,0.018,cb_intrinsic,acetylcholine,2,0,
FB4H,CB1287,108,0.018,cb_intrinsic,glutamate,2,0,0.0
FB4H,CRE004,106,0.018,cb_intrinsic,acetylcholine,2,58,0.009
FB4L,MeTu4c,174,0.018,visual_projection,acetylcholine,87,0,0.0
FB4L,LPT31,173,0.018,visual_projection,acetylcholine,8,0,0.0
FB4O,SMP152,148,0.018,cb_intrinsic,acetylcholine,2,47,0.009
FB4P_a,CRE106,151,0.018,cb_intrinsic,acetylcholine,4,116,0.011
FB4X,CRE071,161,0.018,cb_intrinsic,acetylcholine,2,48,0.006
FB5AB,LHPV5e1,224,0.018,cb_intrinsic,acetylcholine,2,156,0.017
FB5D,OA-VPM3,125,0.018,cb_intrinsic,octopamine,2,149,0.029
FB5E,CRE025,73,0.018,cb_intrinsic,glutamate,2,30,0.007
FB5F,SMP185,65,0.018,cb_intrinsic,acetylcholine,2,54,0.017
FB5F,mALD1,62,0.018,cb_intrinsic,gaba,2,32,0.01
FB5G_a,SMP188,86,0.018,cb_intrinsic,acetylcholine,2,0,
FB5G_c,SMP151,53,0.018,cb_intrinsic,gaba,4,0,
FB5G_c,SMP566,53,0.018,cb_intrinsic,acetylcholine,6,0,
FB5L,SMP011_b,60,0.018,cb_intrinsic,glutamate,2,0,0.0
FB5R,FB5V_b,55,0.018,cb_intrinsic,glutamate,6,0,0.0
FB5Y_a,SMP399_b,60,0.018,cb_intrinsic,acetylcholine,4,0,
FB5Z,SMP376,66,0.018,cb_intrinsic,glutamate,2,56,0.015
FB6F,CB3541,65,0.018,cb_intrinsic,acetylcholine,4,0,0.0
FB6I,SLP405_b,64,0.018,cb_intrinsic,acetylcholine,11,3,0.001
FB6K,SMP347,98,0.018,cb_intrinsic,acetylcholine,12,52,0.009
FB6M,WED153,119,0.018,cb_intrinsic,acetylcholine,6,25,0.007
FB6N,SMP184,54,0.018,cb_intrinsic,acetylcholine,2,80,0.02
FB6N,SMP011_b,53,0.018,cb_intrinsic,glutamate,2,0,0.0
FB6S,SMP125,77,0.018,cb_intrinsic,glutamate,2,36,0.013
FB6T,CB4122,65,0.018,cb_intrinsic,glutamate,10,0,0.0
FB7K,CB1884,60,0.018,cb_intrinsic,glutamate,7,0,0.0
FB7K,SLP268,58,0.018,cb_intrinsic,glutamate,11,36,0.012
FB7L,CB4022,146,0.018,cb_intrinsic,acetylcholine,4,0,0.0
FB7L,PRW002,146,0.018,cb_intrinsic,glutamate,2,0,0.0
FB7L,CB4157,142,0.018,cb_intrinsic,glutamate,6,0,0.0
FB8F_b,SLP273,106,0.018,cb_intrinsic,acetylcholine,2,39,0.009
FR2,FB5V_b,94,0.018,cb_intrinsic,glutamate,6,0,0.0
LNO1,LAL109,198,0.018,cb_intrinsic,gaba,4,41,0.006
LNO2,LAL168,355,0.018,cb_intrinsic,acetylcholine,2,151,0.013
LNO2,LAL124,352,0.018,cb_intrinsic,glutamate,2,226,0.02
LNO2,LAL143,351,0.018,cb_intrinsic,gaba,2,143,0.013
vDeltaA_a,FB9B_a,279,0.018,cb_intrinsic,glutamate,4,224,0.014
FB1B,SLP347,51,0.017,cb_intrinsic,glutamate,4,11,0.003
FB1C,AVLP705m,230,0.017,cb_intrinsic,acetylcholine,9,0,0.0
FB1C,CRE067,224,0.017,cb_intrinsic,acetylcholine,6,42,0.005
FB1H,CRE024,225,0.017,cb_intrinsic,acetylcholine,2,356,0.022
FB2G_b,SIP086,110,0.017,cb_intrinsic,glutamate,2,57,0.015
FB2G_b,CB2814,107,0.017,cb_intrinsic,glutamate,10,0,0.0
FB3A,PS196_b,195,0.017,cb_intrinsic,acetylcholine,2,0,0.0
FB3A,PS263,193,0.017,cb_intrinsic,acetylcholine,4,83,0.01
FB4E_a,SMP376,76,0.017,cb_intrinsic,glutamate,2,0,
FB4E_b,AVLP562,53,0.017,cb_intrinsic,acetylcholine,2,0,
FB4E_b,CRE022,53,0.017,cb_intrinsic,glutamate,2,0,
FB4F_a,IB005,92,0.017,cb_intrinsic,gaba,2,75,0.005
FB4M,WED184,343,0.017,cb_intrinsic,gaba,2,0,0.0
FB4M,WED009,340,0.017,cb_intrinsic,acetylcholine,6,23,0.002
FB4P_a,SMP122,143,0.017,cb_intrinsic,glutamate,3,108,0.01
FB4P_b,PLP162,80,0.017,cb_intrinsic,acetylcholine,4,64,0.005
FB4R,CRE070,114,0.017,cb_intrinsic,acetylcholine,2,22,0.005
FB5AA,OA-VPM3,82,0.017,cb_intrinsic,octopamine,2,150,0.034
FB5AB,SMP568_d,214,0.017,cb_intrinsic,acetylcholine,3,90,0.01
FB5AB,SIP029,206,0.017,cb_intrinsic,acetylcholine,2,176,0.019
FB5F,CRE076,59,0.017,cb_intrinsic,acetylcholine,2,44,0.014
FB5H,LAL154,144,0.017,cb_intrinsic,acetylcholine,2,108,0.014
FB5I,SMP011_b,126,0.017,cb_intrinsic,glutamate,2,0,0.0
FB5N,SMP381_b,96,0.017,cb_intrinsic,acetylcholine,4,0,0.0
FB5P,CRE076,61,0.017,cb_intrinsic,acetylcholine,2,41,0.015
FB5P,SMP577,59,0.017,cb_intrinsic,acetylcholine,2,32,0.012
FB5Q,SMP189,115,0.017,cb_intrinsic,acetylcholine,2,67,0.012
FB5V_a,LAL191,124,0.017,cb_intrinsic,acetylcholine,2,0,
FB5V_c,LAL196,81,0.017,cb_intrinsic,acetylcholine,6,0,
FB5Y_b,CRE093,56,0.017,cb_intrinsic,acetylcholine,4,0,
FB5Y_b,SMP405,56,0.017,cb_intrinsic,acetylcholine,4,0,
FB6A_b,SMP350,112,0.017,cb_intrinsic,acetylcholine,7,0,
FB6G,SLP405_a,59,0.017,cb_intrinsic,acetylcholine,13,5,0.002
FB6I,CB4077,61,0.017,cb_intrinsic,acetylcholine,10,0,0.0
FB6S,CB2937,74,0.017,cb_intrinsic,glutamate,5,0,0.0
FB6S,CB1841,72,0.017,cb_intrinsic,acetylcholine,4,0,0.0
FB6S,SMP399_a,71,0.017,cb_intrinsic,acetylcholine,2,0,0.0
