tangential,columnar,syn,conc,peak_col_deg,n_tangential_cells,tangential_nt,columns
FB6I,FC2C,412,0.2,23,2,glutamate,0:109;45:51;90:50;135:55;180:29;225:43;270:35;315:40
FB6Y,FC2C,316,0.2,348,2,glutamate,0:64;45:45;90:33;135:31;180:23;225:25;270:53;315:42
FB8G,hDeltaD,613,0.19,336,6,glutamate,0:83;45:103;90:62;135:47;180:50;225:63;270:93;315:112
FB5AB,vDeltaH,373,0.19,199,2,acetylcholine,0:46;103:86;154:29;206:132;309:80
FB2G_b,hDeltaA,836,0.19,280,6,glutamate,0:86;30:49;60:44;90:42;120:54;150:51;180:72;210:63;240:102;270:91;300:87;330:95
FB6C_a,PFGs,504,0.19,5,2,glutamate,0:142;45:58;90:55;135:52;180:42;225:59;270:53;315:43
FB5O,FC2B,545,0.19,353,2,glutamate,0:103;45:80;90:57;135:54;180:45;225:52;270:65;315:89
FB5N,FC2B,782,0.19,11,4,glutamate,0:160;45:122;90:79;135:101;180:51;225:87;270:65;315:117
FB2M_a,FC2B,842,0.19,344,4,glutamate,0:175;45:106;90:83;135:98;180:40;225:112;270:101;315:127
FB8H,FC2C,844,0.19,351,6,glutamate,0:238;45:80;90:104;135:59;180:86;225:94;270:106;315:77
FB1C,PFNm_b,750,0.19,325,4,dopamine,0:194;45:27;90:89;135:99;180:17;225:120;270:100;315:104
FB7A,FC2C,517,0.19,17,6,glutamate,0:98;45:104;90:65;135:37;180:47;225:54;270:63;315:49
FB4O,FS2,311,0.19,21,6,glutamate,0:54;45:71;90:21;135:45;180:17;225:37;270:29;315:37
FB5Y_b,FC2C,392,0.19,316,2,glutamate,0:96;45:30;90:34;135:26;180:53;225:42;270:58;315:53
PFNp_b,PFNm_b,1180,0.19,305,136,acetylcholine,0:338;45:25;90:122;135:144;180:19;225:252;270:178;315:102
FB4R,hDeltaJ,329,0.19,143,6,glutamate,0:14;30:20;60:31;90:27;120:33;150:41;180:59;210:17;240:12;270:26;300:17;330:32
IbSpsP,PFNm_b,1261,0.18,344,31,acetylcholine,0:394;45:35;90:186;135:130;180:51;225:205;270:130;315:130
FB5E,FC2A,427,0.18,344,2,glutamate,0:101;45:49;90:41;135:43;180:31;225:59;270:43;315:60
FB6A_c,FS2,672,0.18,42,2,glutamate,0:72;45:159;90:85;135:91;180:40;225:71;270:66;315:88
FB2J_a,FC2A,468,0.18,350,2,glutamate,0:114;45:47;90:55;135:51;180:27;225:59;270:56;315:59
FB6D,PFGs,512,0.18,358,2,glutamate,0:123;45:62;90:53;135:50;180:51;225:55;270:44;315:74
FB6W,FS2,382,0.18,4,2,glutamate,0:66;45:63;90:40;135:45;180:28;225:37;270:41;315:62
FB5N,FC2A,446,0.18,314,4,glutamate,0:86;45:54;90:36;135:35;180:39;225:72;270:60;315:64
