tangential,columnar,syn,conc,peak_col_deg,n_tangential_cells,tangential_nt,columns
FB5A,hDeltaM,1611,0.11,349,4,gaba,0:219;45:240;90:185;135:179;180:149;225:174;270:210;315:255
FB3A,PFNd,5765,0.11,162,4,glutamate,0:568;45:633;90:774;135:866;180:859;225:831;270:613;315:621
FB5K,vDeltaG,1547,0.11,193,2,glutamate,0:266;45:83;90:194;135:247;180:212;225:207;270:274;315:64
FB6V,hDeltaL,695,0.11,119,2,glutamate,0:47;30:70;60:37;90:67;120:69;150:78;180:88;210:69;270:37;300:77;330:56
FB4H,vDeltaI_b,1386,0.11,178,2,glutamate,0:289;90:234;135:174;180:273;225:143;270:197;315:76
PFNp_c,hDeltaJ,1705,0.11,162,40,acetylcholine,0:102;30:114;60:147;90:153;120:128;150:223;180:199;210:101;240:135;270:157;300:152;330:94
FB5C,hDeltaH,501,0.11,52,3,glutamate,0:92;45:77;90:62;135:50;180:79;225:54;270:30;315:57
FB2F_d,hDeltaH,458,0.11,288,4,glutamate,0:84;45:42;90:36;135:40;180:70;225:72;270:41;315:73
FB8H,hDeltaF,327,0.11,329,6,glutamate,0:49;60:72;120:35;180:42;240:58;300:71
FB6A_b,hDeltaG,327,0.11,220,2,glutamate,0:39;45:26;90:35;135:50;180:32;225:68;270:35;315:42
FB4L,hDeltaB,1207,0.11,131,4,dopamine,0:76;30:63;60:174;90:132;120:60;150:128;180:155;210:50;240:119;270:112;300:66;330:72
FB2G_b,PFL3,1286,0.11,181,6,glutamate,0:155;45:96;90:221;135:116;180:256;225:141;270:205;315:96
Delta7,PFR_b,1429,0.11,23,42,glutamate,0:212;45:224;90:190;135:143;180:174;225:131;270:160;315:195
FB5I,hDeltaJ,532,0.11,151,2,glutamate,0:38;30:40;60:49;90:41;120:32;150:68;180:82;210:27;240:41;270:41;300:29;330:44
FB5H,vDeltaI_b,408,0.11,215,2,dopamine,0:88;90:68;135:33;180:79;225:56;270:58;315:26
FB2F_b,hDeltaJ,695,0.11,145,3,glutamate,0:56;30:51;60:51;90:47;120:71;150:95;180:76;210:53;240:34;270:65;300:37;330:59
PFNp_e,PFL3,451,0.11,210,23,acetylcholine,0:83;45:13;90:64;135:41;180:96;225:54;270:61;315:39
FB5A,FC3_b,521,0.11,317,4,gaba,0:73;45:51;90:73;135:55;180:37;225:74;270:74;315:84
FB2L,FC2B,558,0.11,12,4,glutamate,0:102;45:68;90:70;135:81;180:32;225:72;270:59;315:74
FB2M_a,FC1E,493,0.11,344,4,glutamate,0:86;45:51;90:69;135:44;180:56;225:47;270:66;315:74
FB1E_a,vDeltaC,628,0.11,176,5,glutamate,0:161;45:10;90:69;135:62;180:187;225:46;270:56;315:37
FB1E_a,vDeltaD,434,0.11,249,5,glutamate,0:71;45:13;90:54;135:57;180:69;225:30;270:92;315:48
FB6U,FC2C,503,0.11,317,4,glutamate,0:95;45:53;90:43;135:64;180:52;225:50;270:88;315:58
LPsP,PFNd,314,0.11,99,2,acetylcholine,0:36;45:42;90:46;135:50;180:42;225:29;270:31;315:38
FB2D,hDeltaJ,746,0.11,192,6,glutamate,0:61;30:41;60:50;90:51;120:57;150:77;180:107;210:69;240:50;270:58;300:58;330:67
FB2A,FC1A,309,0.11,294,4,dopamine,0:48;45:27;90:34;135:30;180:37;225:43;270:40;315:50
FB7C,FC2C,368,0.11,12,5,glutamate,0:62;45:55;90:55;135:33;180:31;225:45;270:52;315:35
Delta7,PFL1,4732,0.1,175,42,glutamate,0:576;45:335;90:760;135:707;180:599;225:662;270:724;315:369
FB5N,hDeltaM,1357,0.1,16,4,glutamate,0:218;45:220;90:148;135:159;180:130;225:177;270:129;315:176
IbSpsP,PFNv,958,0.1,331,31,acetylcholine,0:234;45:58;90:159;135:38;180:162;225:56;270:197;315:54
FB6A_c,PFGs,952,0.1,353,2,glutamate,0:194;45:111;90:109;135:101;180:98;225:120;270:107;315:112
FB2J_c,hDeltaM,513,0.1,353,2,glutamate,0:65;45:83;90:65;135:44;180:55;225:59;270:65;315:77
FB1G,hDeltaC,782,0.1,260,2,acetylcholine,0:76;30:26;60:68;90:62;120:30;150:61;180:103;210:52;240:78;270:79;300:48;330:99
PEN_b(PEN2),hDeltaK,1462,0.1,188,22,acetylcholine,0:114;30:72;60:75;90:147;120:126;150:138;180:178;210:130;240:107;270:139;300:84;330:152
FB1E_a,hDeltaL,657,0.1,103,5,glutamate,0:51;30:43;60:50;90:49;120:80;150:75;180:80;210:50;270:37;300:62;330:80
FB2G_b,PFL2,1113,0.1,286,6,glutamate,0:210;45:76;90:130;135:89;180:177;225:119;270:181;315:131
FB4D_c,hDeltaJ,1129,0.1,159,2,glutamate,0:93;30:91;60:103;90:65;120:66;150:144;180:173;210:82;240:70;270:82;300:73;330:87
FB2M_b,FC2A,603,0.1,353,2,glutamate,0:144;45:58;90:59;135:80;180:59;225:73;270:71;315:59
FB4F_b,hDeltaI,553,0.1,290,2,glutamate,0:42;30:54;60:21;90:57;120:48;150:26;180:29;210:48;240:64;270:63;300:50;330:51
FB1G,FC3_a,556,0.1,334,2,acetylcholine,0:71;45:111;90:39;135:62;180:40;225:89;270:74;315:70
FB5I,vDeltaE,583,0.1,154,2,glutamate,0:92;45:23;90:136;135:46;180:116;225:28;270:133;315:9
FB4O,hDeltaJ,1236,0.1,104,6,glutamate,0:80;30:140;60:127;90:96;120:83;150:148;180:150;210:83;240:63;270:93;300:61;330:112
FB1G,PFR_a,699,0.1,221,2,acetylcholine,0:108;45:53;90:77;135:86;180:100;225:117;270:96;315:62
FB5AA,FC2B,481,0.1,331,2,glutamate,0:70;45:59;90:53;135:52;180:48;225:66;270:46;315:87
PFNp_a,hDeltaI,456,0.1,231,64,acetylcholine,0:11;30:68;60:5;90:64;120:34;150:28;180:16;210:45;240:86;270:36;300:42;330:21
FB4A_a,hDeltaJ,1854,0.1,158,6,glutamate,0:139;30:121;60:154;90:177;120:136;150:206;180:239;210:136;240:112;270:187;300:126;330:121
FB2G_b,FC2C,1412,0.1,347,6,glutamate,0:324;45:129;90:164;135:131;180:187;225:164;270:143;315:170
FB5H,vDeltaG,353,0.1,173,2,dopamine,0:63;45:13;90:58;135:56;180:41;225:52;270:56;315:14
FB4X,hDeltaA,301,0.1,235,2,glutamate,0:31;30:14;60:23;90:24;120:21;150:19;180:38;210:20;240:36;270:32;300:26;330:17
FB4Q_c,hDeltaJ,725,0.1,128,3,glutamate,0:83;30:46;60:68;90:65;120:52;150:92;180:84;210:50;240:42;270:64;300:43;330:36
FB4E_b,PFR_b,362,0.1,223,4,glutamate,0:37;45:35;90:41;135:45;180:45;225:72;270:30;315:57
FB2M_a,PFL3,528,0.1,173,4,glutamate,0:70;45:41;90:73;135:66;180:108;225:46;270:76;315:48
FB1E_a,FC2C,1066,0.1,350,5,glutamate,0:160;45:123;90:167;135:75;180:132;225:109;270:126;315:174
FB2I_b,FC1A,357,0.1,312,2,glutamate,0:62;45:36;90:36;135:40;180:34;225:55;270:40;315:54
FB6V,FC2B,367,0.1,311,2,glutamate,0:45;45:48;90:31;135:44;180:38;225:54;270:33;315:74
FB2B_a,FC1C_b,670,0.1,47,4,unclear,0:137;45:72;90:83;135:103;180:72;225:76;270:48;315:79
FB2M_a,PFL2,334,0.1,125,4,glutamate,0:31;45:42;90:70;135:25;180:60;225:26;270:56;315:24
FB2D,FC3_a,332,0.1,273,6,glutamate,0:26;45:78;90:19;135:18;180:41;225:67;270:52;315:31
PFNp_e,vDeltaK,441,0.1,37,23,acetylcholine,0:115;45:40;90:70;135:39;180:67;225:27;270:75;315:8
FB4M,PFR_a,735,0.1,249,4,dopamine,0:102;45:81;90:46;135:105;180:91;225:122;270:96;315:92
PFNp_c,vDeltaK,344,0.1,57,40,acetylcholine,0:85;45:10;90:82;135:29;180:45;225:27;270:49;315:17
FB1H,PFNd,435,0.1,177,2,dopamine,0:36;45:51;90:64;135:59;180:48;225:83;270:50;315:44
FB2B_b,FC1D,440,0.1,338,4,glutamate,0:47;45:66;90:60;135:43;180:27;225:73;270:46;315:78
FB1C,PFNm_a,372,0.1,52,4,dopamine,0:81;45:46;90:57;135:23;180:78;225:17;270:47;315:23
PFNp_c,FC2C,503,0.1,299,40,acetylcholine,0:80;45:59;90:41;135:43;180:88;225:48;270:68;315:76
FB2K,PFL3,385,0.1,199,9,glutamate,0:59;45:23;90:58;135:33;180:88;225:24;270:79;315:21
FB4K,vDeltaK,424,0.1,59,4,glutamate,0:81;45:44;90:81;135:51;180:38;225:40;270:72;315:17
FB4B,hDeltaB,5373,0.09,148,2,glutamate,0:326;30:334;60:708;90:546;120:284;150:519;180:692;210:294;240:532;270:536;300:321;330:281
FB4N,hDeltaI,1640,0.09,189,2,glutamate,0:135;30:90;60:43;90:284;120:101;150:157;180:116;210:120;240:231;270:149;300:105;330:109
IbSpsP,PFNd,2215,0.09,124,31,acetylcholine,0:263;45:260;90:306;135:373;180:276;225:262;270:236;315:239
FB4C,hDeltaB,1135,0.09,115,2,glutamate,0:80;30:63;60:168;90:110;120:40;150:136;180:158;210:32;240:105;270:90;300:54;330:99
FB4M,hDeltaB,3391,0.09,146,4,dopamine,0:190;30:180;60:476;90:362;120:179;150:332;180:385;210:193;240:350;270:344;300:205;330:195
FB4H,vDeltaI_a,1059,0.09,29,2,glutamate,0:244;45:183;90:90;135:82;180:168;225:149;270:86;315:57
IbSpsP,PFNm_a,841,0.09,57,31,acetylcholine,0:198;45:110;90:98;135:44;180:217;225:39;270:79;315:56
FB7B,hDeltaE,565,0.09,235,2,unclear,0:57;45:69;90:56;135:63;180:84;225:82;270:81;315:73
FB5I,vDeltaF,1065,0.09,326,2,glutamate,0:316;45:81;90:93;135:69;180:192;225:139;270:108;315:67
FB4X,hDeltaJ,1651,0.09,135,2,glutamate,0:122;30:148;60:115;90:172;120:121;150:177;180:213;210:114;240:96;270:137;300:111;330:125
FB5AB,vDeltaD,720,0.09,120,2,acetylcholine,0:127;45:46;90:149;135:79;180:110;225:64;270:117;315:28
FB5W_a,FC2A,1539,0.09,343,6,glutamate,0:275;45:217;90:151;135:171;180:149;225:211;270:194;315:171
FB5G_a,PFL3,1176,0.09,196,4,glutamate,0:208;45:77;90:141;135:118;180:255;225:137;270:145;315:95
FB1E_a,hDeltaF,474,0.09,185,5,glutamate,0:65;60:68;120:94;180:81;240:95;300:71
Delta7,PFGs,1443,0.09,322,42,glutamate,0:288;45:122;90:168;135:126;180:224;225:121;270:212;315:182
Delta7,PFR_a,1109,0.09,225,42,glutamate,0:203;45:82;90:102;135:126;180:205;225:145;270:159;315:87
FB7E,hDeltaE,565,0.09,233,6,glutamate,0:83;45:57;90:50;135:63;180:91;225:89;270:71;315:61
FB3A,hDeltaB,883,0.09,144,4,glutamate,0:66;30:40;60:124;90:88;120:49;150:86;180:114;210:34;240:97;270:95;300:37;330:53
FB6O,vDeltaC,430,0.09,44,2,glutamate,0:133;45:22;90:61;135:44;180:72;225:42;270:39;315:17
FB4H,vDeltaM,852,0.09,197,2,glutamate,0:158;45:55;90:111;135:77;180:183;225:95;270:128;315:45
FB5G_b,PFL3,391,0.09,232,2,glutamate,0:70;45:20;90:55;135:32;180:75;225:40;270:69;315:30
FB4X,FC2A,435,0.09,80,2,glutamate,0:72;45:59;90:51;135:66;180:59;225:49;270:31;315:48
LPsP,PFR_b,331,0.09,96,2,acetylcholine,0:34;45:53;90:51;135:40;180:46;225:37;270:34;315:36
FB6V,FS2,502,0.09,31,2,glutamate,0:64;45:66;90:67;135:84;180:29;225:60;270:51;315:81
FB6R,hDeltaL,422,0.09,40,4,glutamate,0:46;30:37;60:26;90:40;120:33;150:39;180:45;210:38;270:25;300:40;330:53
FB6W,FR1,362,0.09,330,2,glutamate,0:69;45:27;90:45;135:43;180:41;225:38;270:46;315:53
FB4O,hDeltaH,475,0.09,106,6,glutamate,0:77;45:52;90:69;135:74;180:65;225:46;270:59;315:33
FB3C,FC3_a,1352,0.09,292,13,gaba,0:175;45:252;90:72;135:154;180:101;225:274;270:186;315:138
FB2F_a,vDeltaI_a,385,0.09,195,6,glutamate,0:55;45:40;90:52;135:31;180:71;225:60;270:52;315:24
FB1D,vDeltaA_b,689,0.09,264,5,glutamate,0:173;45:48;90:60;135:36;180:154;225:91;270:84;315:43
FB4P_a,PFR_a,606,0.09,193,4,glutamate,0:63;45:68;90:51;135:114;180:69;225:95;270:75;315:71
FB1A,vDeltaD,354,0.09,250,4,glutamate,0:50;45:19;90:55;135:33;180:51;225:42;270:62;315:42
FB2M_a,FC1D,485,0.09,10,4,glutamate,0:65;45:46;90:69;135:74;180:35;225:62;270:28;315:106
FB6A_b,hDeltaK,377,0.09,193,2,glutamate,0:44;30:10;60:22;90:36;120:33;150:31;180:45;210:36;240:43;270:13;300:31;330:33
FB5AA,FS2,374,0.09,31,2,glutamate,0:58;45:46;90:35;135:73;180:29;225:40;270:25;315:68
FB3C,FS2,947,0.09,65,13,gaba,0:138;45:136;90:115;135:163;180:67;225:140;270:72;315:116
FB1C,vDeltaL,337,0.09,201,4,dopamine,0:65;45:24;90:37;135:39;180:62;225:45;270:49;315:16
FB4C,PFNd,4366,0.08,163,2,glutamate,0:491;45:466;90:618;135:581;180:636;225:617;270:493;315:464
FB6G,hDeltaL,857,0.08,289,2,glutamate,0:78;30:71;60:50;90:50;120:68;150:71;180:58;210:132;270:102;300:79;330:98
FB2M_b,hDeltaM,545,0.08,357,2,glutamate,0:75;45:53;90:93;135:56;180:49;225:66;270:60;315:93
FB8E,hDeltaD,1256,0.08,45,5,glutamate,0:114;45:287;90:216;135:75;180:67;225:254;270:168;315:75
FB4X,hDeltaH,751,0.08,123,2,glutamate,0:60;45:117;90:110;135:89;180:110;225:97;270:72;315:96
FB5E,hDeltaH,539,0.08,334,2,glutamate,0:74;45:94;90:42;135:52;180:72;225:62;270:69;315:74
FB6C_a,hDeltaL,697,0.08,318,2,glutamate,0:71;30:48;60:55;90:39;120:46;150:60;180:47;210:105;270:67;300:57;330:102
FB7D_a,hDeltaE,676,0.08,255,4,glutamate,0:71;45:89;90:78;135:72;180:52;225:149;270:80;315:85
FB5G_a,hDeltaM,1112,0.08,351,4,glutamate,0:164;45:136;90:160;135:114;180:101;225:137;270:146;315:154
FB5AB,vDeltaE,1103,0.08,54,2,acetylcholine,0:281;45:64;90:183;135:131;180:167;225:60;270:175;315:42
FB6M,PFGs,1061,0.08,347,4,glutamate,0:219;45:102;90:130;135:118;180:110;225:138;270:120;315:124
ExR5,PFL3,1458,0.08,175,4,glutamate,0:204;45:117;90:218;135:163;180:277;225:132;270:232;315:115
FB4J,hDeltaI,758,0.08,194,2,glutamate,0:41;30:68;60:22;90:121;120:63;150:52;180:47;210:66;240:104;270:78;300:54;330:42
FB2G_b,hDeltaM,607,0.08,268,6,glutamate,0:62;45:65;90:75;135:68;180:65;225:86;270:95;315:91
FB6E,vDeltaC,919,0.08,15,2,glutamate,0:287;45:37;90:122;135:97;180:149;225:67;270:127;315:33
FB2B_b,PFL1,1123,0.08,206,4,glutamate,0:163;45:68;90:175;135:141;180:140;225:164;270:183;315:89
FB2F_a,FC2A,744,0.08,22,6,glutamate,0:164;45:79;90:88;135:97;180:83;225:82;270:83;315:68
FB4A_b,hDeltaJ,990,0.08,137,2,glutamate,0:63;30:65;60:121;90:75;120:65;150:117;180:126;210:63;240:57;270:86;300:77;330:75
FB2D,FC1D,1994,0.08,346,6,glutamate,0:232;45:242;90:290;135:238;180:160;225:225;270:273;315:334
FB5G_c,PFL3,692,0.08,196,2,glutamate,0:105;45:57;90:92;135:68;180:136;225:75;270:101;315:58
FB1G,FC2C,891,0.08,8,2,acetylcholine,0:155;45:110;90:127;135:82;180:108;225:95;270:117;315:97
FB8F_a,hDeltaD,539,0.08,325,7,glutamate,0:69;45:79;90:83;135:36;180:48;225:69;270:107;315:48
FB5J,hDeltaJ,672,0.08,160,2,glutamate,0:47;30:47;60:66;90:63;120:44;150:69;180:79;210:47;240:58;270:69;300:37;330:46
FB4K,PFGs,736,0.08,13,4,glutamate,0:159;45:77;90:86;135:91;180:84;225:85;270:77;315:77
FB7K,vDeltaB,948,0.08,23,4,glutamate,0:218;45:58;90:184;135:87;180:96;225:105;270:143;315:57
FB4E_c,PFR_b,393,0.08,138,2,glutamate,0:43;45:50;90:53;135:53;180:66;225:41;270:45;315:42
FB5D,FC2B,345,0.08,324,3,glutamate,0:35;45:50;90:38;135:42;180:29;225:48;270:41;315:62
FB5G_a,PFL2,460,0.08,260,4,glutamate,0:90;45:39;90:40;135:45;180:91;225:33;270:91;315:31
FB2M_b,PFL3,482,0.08,194,2,glutamate,0:73;45:29;90:77;135:48;180:87;225:53;270:73;315:42
FB5W_a,hDeltaA,475,0.08,161,6,glutamate,0:43;30:30;60:31;90:39;120:49;150:47;180:52;210:37;240:42;270:41;300:17;330:47
FB2F_a,FC1C_b,719,0.08,95,6,glutamate,0:135;45:72;90:89;135:125;180:76;225:110;270:40;315:72
EPG,PFNv,450,0.08,134,46,acetylcholine,0:63;45:34;90:99;135:30;180:92;225:25;270:82;315:25
FB2B_a,FR1,439,0.08,319,4,unclear,0:97;45:32;90:37;135:67;180:38;225:71;270:37;315:60
FB2F_a,FC1E,571,0.08,316,6,glutamate,0:92;45:62;90:85;135:54;180:48;225:63;270:126;315:41
PFNp_e,vDeltaM,707,0.08,208,23,acetylcholine,0:161;45:39;90:72;135:73;180:145;225:96;270:84;315:37
FB5D,PFL3,327,0.08,251,3,glutamate,0:47;45:25;90:35;135:38;180:58;225:26;270:55;315:43
FB4R,PFR_a,471,0.08,129,6,glutamate,0:40;45:88;90:37;135:94;180:35;225:85;270:41;315:51
PFNp_b,FC2A,1595,0.08,352,136,acetylcholine,0:275;45:230;90:125;135:217;180:168;225:206;270:161;315:213
FB1B,FC2C,304,0.08,171,4,glutamate,0:40;45:42;90:47;135:16;180:55;225:52;270:37;315:15
FB4M,vDeltaM,350,0.08,261,4,dopamine,0:64;45:37;90:35;135:28;180:51;225:61;270:47;315:27
LCNOpm,PFNm_a,2056,0.07,16,2,glutamate,0:494;45:199;90:282;135:121;180:417;225:126;270:293;315:124
FB8C,hDeltaD,1540,0.07,7,4,glutamate,0:184;45:305;90:195;135:132;180:117;225:260;270:212;315:135
FB6D,hDeltaC,1716,0.07,157,2,glutamate,0:116;30:66;60:185;90:168;120:94;150:187;180:211;210:114;240:152;270:136;300:63;330:224
FB7K,hDeltaE,1585,0.07,315,4,glutamate,0:223;45:232;90:148;135:155;180:208;225:196;270:214;315:209
FB6W,hDeltaG,916,0.07,288,2,glutamate,0:122;45:103;90:111;135:95;180:103;225:126;270:137;315:119
FB5K,vDeltaI_a,1461,0.07,305,2,glutamate,0:330;45:152;90:149;135:90;180:257;225:173;270:218;315:92
FB4X,hDeltaM,712,0.07,294,2,glutamate,0:82;45:108;90:59;135:78;180:90;225:97;270:91;315:107
Delta7,PFNd,4470,0.07,134,42,glutamate,0:536;45:488;90:607;135:681;180:623;225:537;270:445;315:553
FB6C_b,hDeltaC,2032,0.07,192,6,glutamate,0:189;30:86;60:153;90:219;120:79;150:246;180:225;210:148;240:203;270:182;300:91;330:211
FB7L,hDeltaE,1366,0.07,307,6,glutamate,0:171;45:197;90:144;135:140;180:152;225:174;270:215;315:173
FB5G_c,hDeltaM,557,0.07,3,2,glutamate,0:73;45:70;90:85;135:59;180:55;225:62;270:76;315:77
FB7A,hDeltaF,580,0.07,296,6,glutamate,0:95;60:116;120:65;180:80;240:134;300:90
FB6O,vDeltaE,660,0.07,20,2,glutamate,0:165;45:45;90:57;135:120;180:86;225:38;270:89;315:60
FB5F,hDeltaM,425,0.07,3,2,glutamate,0:70;45:54;90:48;135:56;180:46;225:40;270:59;315:52
FB7H,vDeltaC,1173,0.07,226,2,glutamate,0:288;45:34;90:143;135:106;180:255;225:103;270:199;315:45
FB4D_b,hDeltaJ,1107,0.07,178,2,glutamate,0:95;30:59;60:92;90:92;120:62;150:144;180:127;210:83;240:78;270:101;300:75;330:99
FB5H,vDeltaI_a,763,0.07,18,2,dopamine,0:180;45:111;90:72;135:60;180:125;225:94;270:81;315:40
FB5W_a,hDeltaM,717,0.07,312,6,glutamate,0:86;45:100;90:76;135:75;180:84;225:95;270:89;315:112
FB2B_a,FC1F,844,0.07,12,4,unclear,0:54;45:198;90:83;135:84;180:81;225:121;270:91;315:132
FB6C_b,PFGs,1597,0.07,351,6,glutamate,0:285;45:201;90:151;135:218;180:152;225:227;270:160;315:203
FB4P_c,PFL3,772,0.07,182,2,glutamate,0:93;45:49;90:127;135:96;180:132;225:64;270:125;315:86
FB2B_a,FC1B,1269,0.07,13,4,unclear,0:188;45:203;90:117;135:183;180:105;225:182;270:121;315:170
FB6H,hDeltaF,311,0.07,22,2,unclear,0:39;60:77;120:45;180:38;240:52;300:60
FB6D,hDeltaL,370,0.07,114,2,glutamate,0:39;30:26;60:13;90:27;120:44;150:56;180:30;210:33;270:25;300:42;330:35
FB2F_b,FC2B,1135,0.07,19,3,glutamate,0:144;45:136;90:157;135:172;180:81;225:138;270:111;315:196
FB8H,hDeltaE,391,0.07,345,6,glutamate,0:66;45:43;90:44;135:49;180:45;225:42;270:48;315:54
FB5D,PFR_b,525,0.07,149,3,glutamate,0:27;45:75;90:77;135:65;180:85;225:53;270:63;315:80
FB1G,hDeltaK,701,0.07,98,2,acetylcholine,0:67;30:59;60:56;90:84;120:50;150:60;180:79;210:34;240:66;270:59;300:28;330:59
FB5A,PFL2,757,0.07,210,4,gaba,0:123;45:57;90:95;135:77;180:158;225:50;270:140;315:57
FB4O,hDeltaI,967,0.07,169,6,glutamate,0:84;30:81;60:29;90:114;120:78;150:113;180:79;210:80;240:100;270:64;300:74;330:71
FB4J,hDeltaJ,606,0.07,131,2,glutamate,0:43;30:58;60:41;90:53;120:41;150:96;180:54;210:37;240:34;270:54;300:50;330:45
FB2M_b,PFL2,334,0.07,258,2,glutamate,0:64;45:16;90:49;135:21;180:64;225:37;270:48;315:35
FB5V_c,hDeltaA,703,0.07,266,5,glutamate,0:51;30:64;60:62;90:52;120:32;150:61;180:59;210:55;240:82;270:76;300:51;330:58
PFNp_a,PFL2,1081,0.07,216,64,acetylcholine,0:198;45:75;90:113;135:130;180:203;225:113;270:164;315:85
FB4E_a,PFR_b,732,0.07,113,5,glutamate,0:46;45:117;90:104;135:109;180:85;225:90;270:74;315:107
FB5C,FC2B,627,0.07,315,3,glutamate,0:101;45:72;90:59;135:88;180:57;225:86;270:83;315:81
PFNp_c,FC2B,561,0.07,52,40,acetylcholine,0:54;45:72;90:81;135:85;180:63;225:48;270:49;315:109
FB1J,vDeltaA_b,562,0.07,167,2,glutamate,0:146;45:29;90:73;135:46;180:122;225:82;270:50;315:14
FB2B_b,FC1C_b,749,0.07,60,4,glutamate,0:144;45:64;90:97;135:119;180:86;225:90;270:51;315:98
FB4K,hDeltaJ,1030,0.07,136,4,glutamate,0:54;30:91;60:96;90:103;120:86;150:108;180:102;210:57;240:85;270:105;300:79;330:64
FB8F_b,hDeltaD,415,0.07,290,9,glutamate,0:72;45:38;90:29;135:60;180:60;225:46;270:46;315:64
FB4F_a,PFL3,584,0.07,203,4,glutamate,0:77;45:49;90:61;135:91;180:91;225:62;270:81;315:72
FB8G,FS4A,406,0.07,12,6,glutamate,0:68;45:57;90:39;135:43;180:69;225:32;270:41;315:57
FB4X,PFL3,301,0.07,222,2,glutamate,0:58;45:26;90:26;135:30;180:68;225:25;270:47;315:21
FB2B_a,FC1D,566,0.07,34,4,unclear,0:61;45:80;90:83;135:77;180:50;225:60;270:64;315:91
FB3C,FC3_b,1031,0.07,284,13,gaba,0:88;45:104;90:178;135:112;180:31;225:221;270:124;315:173
PFNp_a,vDeltaM,1034,0.07,252,64,acetylcholine,0:184;45:89;90:95;135:130;180:138;225:164;270:126;315:108
FB3C,PFR_b,666,0.07,343,13,gaba,0:108;45:72;90:79;135:75;180:83;225:70;270:74;315:105
FB4Y,PFL2,327,0.07,162,4,serotonin,0:65;45:25;90:42;135:36;180:67;225:33;270:44;315:15
FB4Y,vDeltaI_a,378,0.07,36,4,serotonin,0:87;45:58;90:39;135:30;180:59;225:51;270:41;315:13
FB3C,PFGs,651,0.07,23,13,gaba,0:128;45:78;90:74;135:86;180:66;225:90;270:59;315:70
FB5V_a,hDeltaK,645,0.07,159,6,glutamate,0:58;30:48;60:40;90:52;120:53;150:74;180:66;210:59;240:54;270:44;300:25;330:72
PFNp_b,FC2B,838,0.07,16,136,acetylcholine,0:88;45:126;90:80;135:152;180:48;225:119;270:61;315:164
FB4Y,vDeltaM,362,0.07,261,4,serotonin,0:65;45:24;90:47;135:37;180:47;225:54;270:52;315:36
PFNp_b,FC2C,383,0.07,281,136,acetylcholine,0:62;45:62;90:24;135:45;180:33;225:79;270:50;315:28
FB6F,hDeltaL,2764,0.06,48,2,glutamate,0:276;30:243;60:217;90:208;120:242;150:258;180:275;210:270;270:249;300:222;330:304
FB6Z,hDeltaL,1249,0.06,334,2,glutamate,0:129;30:106;60:82;90:77;120:89;150:112;180:112;210:161;270:118;300:94;330:169
Delta7,PFL2,3269,0.06,349,42,glutamate,0:646;45:292;90:480;135:248;180:524;225:264;270:478;315:337
FB5Q,hDeltaM,1256,0.06,327,4,glutamate,0:165;45:161;90:144;135:155;180:129;225:151;270:173;315:178
FB7I,hDeltaL,2130,0.06,54,5,glutamate,0:230;30:161;60:174;90:139;120:210;150:213;180:203;210:207;270:186;300:179;330:228
FB6A_a,hDeltaC,1468,0.06,211,2,glutamate,0:125;30:61;60:120;90:128;120:80;150:186;180:143;210:86;240:147;270:155;300:66;330:171
FB6F,hDeltaF,584,0.06,345,2,glutamate,0:106;60:121;120:79;180:68;240:132;300:78
FB4F_a,hDeltaI,1536,0.06,212,4,glutamate,0:113;30:122;60:62;90:201;120:135;150:122;180:91;210:111;240:212;270:166;300:108;330:93
FB6C_b,hDeltaG,590,0.06,204,6,glutamate,0:87;45:59;90:62;135:93;180:45;225:138;270:42;315:64
FB4K,hDeltaH,943,0.06,12,4,glutamate,0:160;45:123;90:128;135:90;180:115;225:112;270:120;315:95
FB2G_b,hDeltaI,1856,0.06,220,6,glutamate,0:126;30:121;60:54;90:305;120:141;150:125;180:102;210:168;240:253;270:151;300:169;330:141
FB6O,vDeltaD,1113,0.06,176,2,glutamate,0:214;45:57;90:169;135:135;180:194;225:102;270:191;315:51
FB1G,hDeltaJ,1122,0.06,183,2,acetylcholine,0:106;30:70;60:93;90:96;120:64;150:112;180:133;210:105;240:90;270:95;300:59;330:99
FB6G,hDeltaC,597,0.06,130,2,glutamate,0:65;30:39;60:40;90:51;120:23;150:109;180:56;210:34;240:47;270:37;300:27;330:69
FB4P_b,hDeltaI,649,0.06,222,3,glutamate,0:41;30:53;60:20;90:65;120:49;150:70;180:63;210:43;240:62;270:60;300:46;330:77
FB5A,hDeltaG,759,0.06,145,4,gaba,0:91;45:91;90:95;135:113;180:96;225:113;270:70;315:90
FB4D_a,hDeltaJ,1228,0.06,130,2,glutamate,0:97;30:90;60:115;90:115;120:100;150:123;180:134;210:85;240:74;270:118;300:96;330:81
FB4N,FC2B,661,0.06,351,2,glutamate,0:94;45:76;90:80;135:92;180:57;225:87;270:67;315:108
FB6V,FR1,372,0.06,341,2,glutamate,0:84;45:31;90:39;135:50;180:44;225:41;270:52;315:31
FB5Q,PFL3,1300,0.06,255,4,glutamate,0:242;45:98;90:132;135:142;180:232;225:125;270:204;315:125
FB4Y,hDeltaI,937,0.06,249,4,serotonin,0:75;30:58;60:40;90:125;120:50;150:86;180:57;210:88;240:103;270:89;300:71;330:95
FB6Y,hDeltaL,346,0.06,37,2,glutamate,0:43;30:22;60:30;90:22;120:25;150:36;180:46;210:23;270:32;300:27;330:40
