body_pre,body_post,weight
522973,10969,142
12506,18744,142
454614,13434,142
12506,19189,142
522993,514184,142
13434,454614,141
30206,10324,141
11512,13892,141
17816,18437,141
22086,31627,141
14482,16440,141
12506,18779,141
37751,20520,141
513033,20715,141
529127,30122,141
515760,17402,140
30234,22086,140
454614,515760,140
520812,12506,140
17402,13395,140
17820,33293,140
10099,18779,140
100809,10969,140
13434,515760,140
32675,532800,140
513464,45427,139
14308,13985,139
25939,21932,139
513517,34188,139
14881,30807,139
53043,513702,139
23090,518830,139
521634,512362,139
14482,515760,139
20026,10324,139
13985,17402,139
518220,102209,139
27109,32451,139
527297,10324,139
521535,10324,139
22086,532800,139
17171,10324,138
12506,76194,138
81159,17419,138
522991,11326,138
14727,14552,138
17816,43881,138
13434,12797,138
59969,530071,138
520817,15176,137
515464,23090,137
17078,10324,137
556502,27191,137
512717,12706,137
26913,515192,137
454614,519347,137
20520,16214,137
12506,512927,137
515675,29713,137
521535,11886,136
515760,14482,136
11340,11326,136
14284,11886,136
520817,39813,136
516944,12656,136
516944,10324,136
518220,44152,136
16360,10099,136
521534,12656,136
17402,16440,136
11516,45282,136
11605,11433,136
14881,39813,136
519508,533944,136
14482,12797,136
13316,13033,136
13217,10099,135
15713,511778,135
23325,30310,135
14308,12797,135
39798,11886,135
12506,521814,135
513284,46073,135
24399,15325,135
12506,18504,135
12797,13395,135
14881,26417,135
12674,45151,135
14507,12506,135
515130,519346,135
26443,520817,135
35461,13417,134
20007,520817,134
518220,81432,134
27460,17820,134
521812,12506,134
519508,30122,134
32718,521635,134
12506,12358,134
14284,10324,134
13985,12797,134
12083,524876,133
515687,30805,133
10099,76194,133
11197,24387,133
44909,11886,133
14308,519347,133
13418,30122,133
513283,15616,133
56327,13033,133
513702,57384,133
521534,11886,133
11516,57600,133
77311,29537,133
59969,513266,132
513033,10099,132
10969,529385,132
519144,22084,132
10969,21932,132
13418,24387,132
513217,29493,132
16440,17402,132
17816,44256,132
19100,531755,132
515687,71779,132
13217,22084,131
521409,20715,131
520817,18932,131
12797,13434,131
24399,28254,131
556502,25773,131
13395,519347,131
521535,12656,131
524596,29836,131
104985,13101,131
520817,24382,131
88342,10099,131
513517,10099,131
16440,13434,131
34226,34924,130
39798,10324,130
513379,11886,130
14308,17402,130
12248,529127,130
513520,12506,130
10969,20233,130
13434,14308,130
15674,52846,129
43127,515192,129
35461,42739,129
11307,523807,129
11516,35013,129
24399,26287,129
10099,514045,129
14308,16440,129
521534,10324,129
12656,20715,129
10969,39813,129
10099,58834,129
10969,22240,129
18633,10324,129
12506,20715,129
17991,23159,129
515760,13395,129
17874,14729,129
31756,515192,129
12506,46764,129
34924,28146,129
81159,516110,129
17016,27191,129
16440,12797,129
12059,11886,129
98874,23090,128
521409,10099,128
11987,12506,128
12797,515760,128
16315,28418,128
521528,10324,128
533946,25808,128
22923,519351,128
10099,511778,128
556502,26287,128
27213,10537,128
26739,32718,128
27213,42739,128
22086,19564,128
10099,14552,128
10537,12083,128
518220,544687,128
13434,13985,127
513217,28559,127
14881,529385,127
517012,26439,127
27213,13417,127
11886,14871,127
16440,454614,127
81159,10969,127
53618,45134,127
454614,16440,127
515687,52798,127
28248,27106,127
12104,518194,127
23281,10324,127
26739,32675,127
31656,16214,127
22086,59108,127
512716,12706,127
35129,18221,127
13985,16440,126
519140,517763,126
518220,123127,126
18065,26439,126
11516,75724,126
14482,13395,126
22835,512362,126
519508,24387,126
11605,10324,126
524073,10099,126
