pre,post,male_syn,female_syn,male_share,female_share,log2_ratio
ExR2,ExR1,632,718,0.0115,0.0186,-0.68
FB6M,PFGs,1061,758,0.0322,0.0201,0.67
vDeltaF,FB5K,516,498,0.1099,0.0688,0.67
PFNp,LCNOpm,4224,3434,0.2408,0.384,-0.67
IbSpsP,,30464,134,0.0002,0.0,0.67
WEDPN16,ER1,672,285,0.028,0.0175,0.67
PFR,hDeltaI,447,581,0.0121,0.0193,-0.67
FB4M,FB4C,395,581,0.0333,0.0529,-0.67
FB1H,PFNp,722,1038,0.0104,0.0167,-0.67
FB2A,FC1A,309,454,0.0284,0.045,-0.66
vDeltaA,FB8I,489,435,0.0919,0.1456,-0.66
FB4Y,FB4Z,501,960,0.0363,0.0575,-0.66
FB1H,FC2B,213,500,0.005,0.0081,-0.66
ER6,PEN_b,2223,1186,0.0516,0.0325,0.66
PFNp,vDeltaA,484,336,0.0226,0.0143,0.66
vDeltaB,FB7H,564,1011,0.1834,0.2896,-0.66
ER4m,ER2,5901,7547,0.0852,0.1346,-0.66
TuBu10,ExR1,521,231,0.0095,0.006,0.65
SMP238,ExR1,471,209,0.0086,0.0054,0.65
FB2B,FB2B,337,459,0.0211,0.0332,-0.65
FB4M,FB4D,289,517,0.0385,0.0605,-0.65
FB4K,hDeltaJ,1030,466,0.0271,0.0172,0.65
PFR,FC2A,224,402,0.007,0.011,-0.65
FB7M,hDeltaE,361,402,0.0119,0.0187,-0.65
FB5C,FR1,801,566,0.0279,0.0177,0.65
FB6R,hDeltaL,422,535,0.0115,0.0181,-0.65
FB3C,FB4D,560,406,0.0746,0.0475,0.65
LAL034,LCNOpm,506,164,0.0288,0.0183,0.65
OA-VPM3,FC3,361,409,0.0119,0.0187,-0.64
hDeltaI,hDeltaI,548,283,0.0148,0.0094,0.64
FS1A,SMP081,317,595,0.0133,0.0208,-0.64
FB7L,FS3,1264,919,0.0511,0.0327,0.64
hDeltaD,FC2C,1372,1856,0.0289,0.0451,-0.64
FB4M,hDeltaK,256,410,0.0096,0.015,-0.64
OA-VPM3,PFGs,342,614,0.0104,0.0163,-0.64
FB4K,FC2A,1078,781,0.0335,0.0214,0.64
PFR,hDeltaJ,944,1051,0.0249,0.0388,-0.64
PFL2,LAL073,1190,892,0.0628,0.0979,-0.64
FC2C,oviIN,682,287,0.0125,0.008,0.64
TuBu09,ER2,1276,660,0.0184,0.0118,0.64
FC3,FB5U,630,347,0.1334,0.0857,0.64
FB2A,FB2B,648,872,0.0406,0.0631,-0.64
TuBu06,ER5,1734,777,0.0674,0.0434,0.63
FB3C,FS1A,667,588,0.0262,0.0168,0.63
FB2M,PFL2,668,448,0.0209,0.0134,0.63
FB5N,PFL3,547,363,0.009,0.0057,0.63
FB2F,FC3,638,713,0.021,0.0325,-0.63
FB4O,hDeltaM,899,453,0.0355,0.0229,0.63
FB4N,FC2C,664,369,0.014,0.009,0.63
FB2L,FC2B,558,525,0.0132,0.0085,0.62
FB2K,FB1G,451,233,0.0629,0.0407,0.62
hDeltaB,hDeltaL,356,444,0.0097,0.015,-0.62
ExR3,,7583,751,0.0,0.0002,-0.62
hDeltaF,hDeltaC,971,427,0.022,0.0142,0.62
FB5U,hDeltaH,1399,801,0.0479,0.0311,0.62
Delta7,LPsP,5528,5574,0.4408,0.6787,-0.62
PFL1,,31638,186,0.0002,0.0,0.62
FB5A,,20929,20,0.0001,0.0,0.62
PEN_a,ExR7,269,620,0.0392,0.0604,-0.62
FB5C,hDeltaH,501,286,0.0172,0.0111,0.62
PFR,hDeltaA,2931,3557,0.0582,0.0895,-0.62
FB2F,vDeltaD,406,585,0.0281,0.0433,-0.62
FB1D,FB1E,582,607,0.1164,0.1785,-0.62
FB1D,FB1B,407,324,0.1367,0.0892,0.62
PFL3,VES005,701,187,0.0455,0.0297,0.61
FB4A,hDeltaI,363,454,0.0098,0.0151,-0.61
ExR5,FB4P,447,384,0.0267,0.0174,0.61
FB6E,FC2C,674,379,0.0142,0.0092,0.61
vDeltaB,FB7L,645,728,0.0804,0.1229,-0.61
FB2F,vDeltaH,505,571,0.0789,0.0517,0.61
PFNd,LNO2,3542,3151,0.1837,0.2803,-0.61
PFGs,hDeltaK,4790,7453,0.1788,0.2727,-0.61
FB5A,FS1A,243,512,0.0095,0.0146,-0.61
hDeltaG,FB6L,285,1107,0.1256,0.1914,-0.61
FB2G,,19840,12,0.0001,0.0,0.61
vDeltaK,hDeltaI,442,550,0.012,0.0183,-0.61
ExR5,,22627,57,0.0001,0.0,0.6
EL,ER3m,844,965,0.0374,0.0569,-0.6
FB5Z,FB6L,166,643,0.0731,0.1111,-0.6
FS4B,SLP414,847,2120,0.1754,0.2662,-0.6
FC1A,FB2I,491,351,0.0374,0.0246,0.6
FB5D,PFR,929,620,0.0136,0.0089,0.6
EPG,PFNa,816,1142,0.021,0.0319,-0.6
CRE028,FB4E,546,369,0.0593,0.0391,0.6
PFNm,,18923,2,0.0001,0.0,0.6
vDeltaA,FB8A,327,892,0.2319,0.3512,-0.6
ER5,EPG,3222,4033,0.0157,0.0238,-0.6
PFR,PFR,4887,3291,0.0715,0.0472,0.6
FB2C,FS1A,230,481,0.009,0.0137,-0.6
FB5C,hDeltaG,1018,546,0.0351,0.0232,0.6
TuBu01,ExR1,1046,486,0.0191,0.0126,0.6
FB8F,FB6C,660,640,0.0617,0.0933,-0.6
FB5Y,FC2B,425,945,0.01,0.0152,-0.59
FS4A,SMP297,1127,824,0.1508,0.2277,-0.59
hDeltaG,,18765,3,0.0001,0.0,0.59
TuBu05,ER3p,786,437,0.0412,0.0273,0.59
FB2H,FC3,379,414,0.0124,0.0189,-0.59
FB4P,FB4O,508,509,0.062,0.0937,-0.59
,ExR1,1055,1126,0.0193,0.0291,-0.59
hDeltaL,,21228,44,0.0001,0.0,0.59
SMP471,FB5V,456,333,0.0246,0.0162,0.59
ExR5,PFL2,668,461,0.0209,0.0138,0.59
ER3w,ER2,1723,924,0.0249,0.0165,0.59
FB2J,FB2D,1129,688,0.0603,0.0401,0.59
PFNm,FB1C,683,682,0.0514,0.0773,-0.59
hDeltaA,FS1B,245,524,0.0218,0.0328,-0.59
FB1E,hDeltaL,666,355,0.0181,0.012,0.58
hDeltaB,FB4B,2835,3120,0.2773,0.4157,-0.58
hDeltaJ,hDeltaC,408,419,0.0092,0.0139,-0.58
Delta7,PFL2,3269,5107,0.1023,0.1532,-0.58
FB2H,FB2B,326,423,0.0204,0.0306,-0.58
hDeltaJ,FS1A,514,1058,0.0202,0.0302,-0.58
LPsP,,19226,19,0.0001,0.0,0.58
FB6C,FB6J,379,530,0.0763,0.051,0.58
GLNO,GLNO,400,133,0.042,0.028,0.58
FB5V,FB5V,250,414,0.0135,0.0202,-0.58
PEN_b,GLNO,1099,817,0.1153,0.1721,-0.58
FB5AB,vDeltaD,720,451,0.0499,0.0334,0.58
FB7D,FB7I,481,298,0.0626,0.0419,0.58
FB5P,FB5U,635,365,0.1345,0.0902,0.58
Delta7,PFR,2538,3860,0.0371,0.0554,-0.57
ExR7,LAL013,1247,294,0.2126,0.1429,0.57
ExR7,,22762,80,0.0001,0.0,0.57
PEN_a,,18582,13,0.0001,0.0,0.57
PFL1,FB2B,1060,616,0.0664,0.0446,0.57
FB1D,vDeltaB,218,460,0.0221,0.0328,-0.57
FB2B,FB2H,333,497,0.0855,0.127,-0.57
IbSpsP,PFNd,2215,3048,0.0454,0.0675,-0.57
hDeltaH,,17679,1,0.0001,0.0,0.57
FB5M,hDeltaA,422,222,0.0084,0.0056,0.57
PFR,FB4Z,352,632,0.0255,0.0379,-0.57
PFNp,vDeltaF,772,711,0.0522,0.0774,-0.57
FB8H,FS3,539,910,0.0218,0.0324,-0.57
PFL3,PS018,486,336,0.0246,0.0366,-0.57
FB2J,FB2F,677,399,0.0469,0.0316,0.56
FB4H,vDeltaM,852,1049,0.0621,0.0919,-0.56
hDeltaL,FB6L,351,605,0.1546,0.1046,0.56
FC1A,FB2A,528,270,0.0527,0.0356,0.56
vDeltaC,hDeltaL,1759,2089,0.0478,0.0707,-0.56
FB7A,PFGs,599,462,0.0182,0.0123,0.56
ER4d,ER2,1886,1032,0.0272,0.0184,0.56
ExR4,ExR4,1155,1024,0.0563,0.0831,-0.56
vDeltaI,hDeltaH,2294,1373,0.0786,0.0532,0.56
ExR3,hDeltaK,2092,3148,0.0781,0.1152,-0.56
PEN_b,,17412,2,0.0001,0.0,0.56
EPG,PFL2,1036,1596,0.0324,0.0479,-0.56
ER2,ER3w,3029,2303,0.0817,0.1204,-0.56
PFL1,LAL086,939,592,0.4215,0.2863,0.56
,FB4G,292,512,0.0487,0.0717,-0.56
EPG,ER4d,2598,1502,0.0456,0.0309,0.56
FC1C,,12532,852,0.0001,0.0002,-0.56
TuBu10,ER2,1298,711,0.0188,0.0127,0.56
LNO1,PFNv,3989,2619,0.1929,0.1312,0.56
FS3,FB5G,347,493,0.0384,0.0566,-0.56
FB9A,vDeltaA,1569,1175,0.0734,0.0499,0.55
hDeltaJ,vDeltaE,220,427,0.0151,0.0222,-0.55
hDeltaM,FC2B,958,951,0.0226,0.0153,0.55
FB2A,PFNa,420,570,0.0108,0.0159,-0.55
FB5Y,hDeltaG,419,501,0.0145,0.0213,-0.55
LPsP,PFL3,395,607,0.0065,0.0096,-0.55
FB4O,hDeltaH,475,285,0.0163,0.011,0.55
FB2F,FS1B,592,574,0.0526,0.0359,0.55
FB4F,vDeltaM,764,434,0.0557,0.038,0.55
SA1,vDeltaA,984,1586,0.046,0.0674,-0.55
TuBu01,ER4m,1514,596,0.0541,0.037,0.55
FB2A,FC1F,298,508,0.031,0.0453,-0.54
LAL138,ER1,575,266,0.024,0.0164,0.54
FB8B,hDeltaE,414,428,0.0136,0.02,-0.54
LPsP,PEN_a,2583,2871,0.0597,0.087,-0.54
FB4Y,hDeltaA,1539,1773,0.0306,0.0446,-0.54
vDeltaA,FB9B,814,610,0.1725,0.2512,-0.54
vDeltaD,FB6O,521,364,0.1557,0.1068,0.54
PFL3,AOTU019,1996,888,0.0318,0.0464,-0.54
hDeltaI,,16663,1,0.0001,0.0,0.54
FB6F,hDeltaG,1096,611,0.0378,0.0259,0.54
FB2B,FR1,514,833,0.0179,0.0261,-0.54
GLNO,ExR8,435,337,0.0762,0.0525,0.54
FC1F,FB2D,439,586,0.0235,0.0341,-0.54
FB4O,PFR,1791,1255,0.0262,0.018,0.54
PFNv,,16514,2,0.0001,0.0,0.54
FB5V,FC3,661,692,0.0217,0.0316,-0.54
FB4P,FS1A,243,486,0.0095,0.0139,-0.53
EPG,PFR,306,458,0.0045,0.0066,-0.53
OA-VPM3,PFR,491,731,0.0072,0.0105,-0.53
FC1B,FB2A,730,800,0.0729,0.1056,-0.53
FB5K,vDeltaF,480,432,0.0324,0.047,-0.53
FB6U,FC2B,451,960,0.0106,0.0155,-0.53
PFR,Delta7,422,555,0.0082,0.0119,-0.53
EPG,PFNd,1979,2653,0.0406,0.0587,-0.53
ExR4,PEG,703,451,0.0336,0.0232,0.53
PFR,FC2B,362,770,0.0085,0.0124,-0.53
PEG,PEN_b,2238,1309,0.0519,0.0359,0.53
Delta7,PFNa,7243,9619,0.1863,0.2689,-0.53
FB5AB,vDeltaF,1359,584,0.0918,0.0636,0.53
hDeltaH,vDeltaG,587,315,0.0438,0.0303,0.53
Delta7,PFNm,1855,2510,0.0778,0.1123,-0.53
FB4F,FB4Y,346,452,0.0147,0.0213,-0.53
vDeltaA,SA3,508,505,0.1426,0.2057,-0.53
SA3,SA1,303,405,0.0707,0.102,-0.53
FB4O,FB4P,781,713,0.0467,0.0324,0.53
FB4M,PFNv,310,433,0.015,0.0217,-0.53
ExR1,ER3w,489,174,0.0132,0.0091,0.53
FB9B,FS4A,403,276,0.0286,0.0198,0.52
FB8F,FB7L,416,442,0.0519,0.0746,-0.52
FB5X,FS1B,260,532,0.0231,0.0333,-0.52
vDeltaC,FB7I,621,826,0.0808,0.1162,-0.52
FB5M,hDeltaI,581,327,0.0157,0.0109,0.52
LNO1,FB4B,497,524,0.0486,0.0698,-0.52
hDeltaJ,FB1H,1236,1105,0.0959,0.0668,0.52
ER3d,EL,2599,1874,0.0348,0.0242,0.52
vDeltaC,FB7H,543,430,0.1766,0.1232,0.52
FB4O,PFL3,1195,864,0.0197,0.0137,0.52
FB4X,PFL3,301,453,0.0049,0.0072,-0.52
FB5H,vDeltaH,391,965,0.0611,0.0873,-0.51
FB2D,,15930,6,0.0001,0.0,0.51
hDeltaB,FB4F,893,692,0.0587,0.0411,0.51
FB4O,hDeltaI,967,550,0.0262,0.0183,0.51
PFGs,FB6A,4000,5886,0.1613,0.2297,-0.51
FB4Y,vDeltaJ,403,561,0.0759,0.1081,-0.51
EPG,ER1,1725,1664,0.0719,0.1024,-0.51
PFL2,LAL090,590,696,0.1102,0.1568,-0.51
hDeltaB,FB1H,241,441,0.0187,0.0266,-0.51
hDeltaF,FB6M,437,341,0.0665,0.0944,-0.51
FC1D,FR2,455,563,0.0849,0.0598,0.5
FB2L,vDeltaE,405,375,0.0278,0.0195,0.5
FB6D,FB6A,596,433,0.024,0.0169,0.5
PFR,hDeltaB,904,1112,0.0193,0.0274,-0.5
vDeltaG,FB5K,704,766,0.15,0.1058,0.5
FB4O,FB4Q,854,643,0.0988,0.0697,0.5
FB8I,hDeltaD,667,407,0.0314,0.0221,0.5
hDeltaB,FB4K,417,251,0.0523,0.0369,0.5
ExR8,,11517,751,0.0001,0.0002,-0.5
LAL076,FC2C,473,287,0.01,0.007,0.5
FC1A,FC1D,649,388,0.0566,0.0399,0.5
PFNm,FC2B,381,792,0.009,0.0128,-0.5
PFNp,PFNm,6016,3994,0.2524,0.1787,0.5
IbSpsP,Delta7,675,864,0.0131,0.0185,-0.5
hDeltaM,,15639,11,0.0001,0.0,0.5
vDeltaC,hDeltaE,1112,1108,0.0366,0.0517,-0.5
FB2F,FB2F,760,936,0.0527,0.0742,-0.49
FB6U,FC2C,503,307,0.0106,0.0075,0.49
ER3w,EPG,18115,10598,0.0881,0.0626,0.49
FC2C,PFL2,2013,1492,0.063,0.0447,0.49
hDeltaH,FR1,602,944,0.0209,0.0295,-0.49
hDeltaJ,,14744,0,0.0001,0.0,0.49
FB2F,FC1D,696,419,0.0606,0.0431,0.49
FB6G,hDeltaF,1513,678,0.0421,0.03,0.49
PEN_b,ER2,3097,1785,0.0447,0.0318,0.49
FB2F,hDeltaH,1444,909,0.0495,0.0352,0.49
hDeltaM,hDeltaM,493,274,0.0195,0.0139,0.49
FC2C,hDeltaM,665,370,0.0263,0.0187,0.49
Delta7,PFL3,5617,8177,0.0924,0.1294,-0.49
PFNv,hDeltaB,4344,2686,0.0926,0.0661,0.48
FB6C,hDeltaC,2114,1027,0.0478,0.0341,0.48
TuBu06,ExR1,779,391,0.0142,0.0101,0.48
PFL3,LAL194,414,287,0.0602,0.0842,-0.48
FB5AB,vDeltaG,1002,556,0.0748,0.0535,0.48
FS1A,CRE040,425,546,0.0183,0.0256,-0.48
vDeltaM,vDeltaJ,927,649,0.1746,0.1251,0.48
SMP147,LCNOpm,702,256,0.04,0.0286,0.48
hDeltaB,FB3A,778,762,0.0667,0.0931,-0.48
FB1E,,14556,3,0.0001,0.0,0.48
FB6Z,FC2C,545,336,0.0115,0.0082,0.48
ExR3,ER2,450,512,0.0065,0.0091,-0.48
vDeltaH,FB5K,302,649,0.0643,0.0897,-0.48
FB2M,,14373,1,0.0001,0.0,0.48
FB5O,FR1,413,642,0.0144,0.0201,-0.48
FB6F,FB6J,153,446,0.0308,0.0429,-0.48
LAL112,LCNOpm,806,295,0.0459,0.033,0.48
PFR,FB4Y,612,396,0.026,0.0186,0.48
ExR5,FB2A,761,414,0.076,0.0546,0.47
FS1A,,29062,1304,0.0002,0.0003,-0.47
FC1F,FC3,917,919,0.0301,0.0419,-0.47
FB2I,,15605,25,0.0001,0.0,0.47
,FB4Y,680,441,0.0289,0.0208,0.47
FC2C,FS1B,745,762,0.0662,0.0477,0.47
FB6E,vDeltaE,611,579,0.0419,0.0302,0.47
ER2,ER3d,1395,1309,0.0188,0.0261,-0.47
FB2C,FC2A,527,830,0.0164,0.0228,-0.47
ExR3,PFGs,1823,2892,0.0554,0.0768,-0.47
hDeltaF,,14946,16,0.0001,0.0,0.47
FC2C,FS1A,1584,1569,0.0622,0.0449,0.47
FB2I,FB2F,638,772,0.0442,0.0612,-0.47
FB6A,OA-VPM3,567,567,0.0294,0.0408,-0.47
FB6D,hDeltaC,1716,843,0.0388,0.028,0.47
FB2K,FB2G,1112,559,0.1337,0.0966,0.47
PFNp,vDeltaM,2132,1283,0.1555,0.1124,0.47
FB5W,hDeltaA,628,688,0.0125,0.0173,-0.47
PFNd,,14045,2,0.0001,0.0,0.47
FB4Y,FB5M,211,425,0.0945,0.1307,-0.47
vDeltaE,FS2,459,573,0.0159,0.022,-0.47
FB1G,FS2,414,517,0.0143,0.0199,-0.47
FB4Y,vDeltaM,362,416,0.0264,0.0365,-0.46
FB7E,FS2,722,471,0.025,0.0181,0.46
hDeltaL,hDeltaL,413,459,0.0112,0.0155,-0.46
PFR,FB4P,1262,2291,0.0755,0.104,-0.46
FB2C,FC2B,288,584,0.0068,0.0094,-0.46
hDeltaD,vDeltaA,1416,1133,0.0663,0.0481,0.46
LAL101,FB5V,427,342,0.023,0.0167,0.46
LNO1,FB4C,1112,748,0.0937,0.0681,0.46
ER2,ExR1,701,682,0.0128,0.0176,-0.46
FS2,FB6J,325,495,0.0655,0.0476,0.46
FB6A,hDeltaC,6117,3035,0.1384,0.1009,0.46
FB1G,FC1B,872,597,0.0612,0.0446,0.45
vDeltaC,vDeltaC,348,535,0.0241,0.0331,-0.45
FB6A,FB6D,753,530,0.1216,0.0887,0.45
VES041,PFL2,467,354,0.0146,0.0106,0.45
FB2L,FB2F,407,259,0.0282,0.0205,0.45
FC3,FB3C,1310,610,0.1436,0.1049,0.45
ER4m,ExR4,696,305,0.0339,0.0247,0.45
vDeltaB,vDeltaB,490,950,0.0496,0.0678,-0.45
PEN_b,FB4Y,530,655,0.0225,0.0308,-0.45
PFNv,LNO1,2764,2198,0.2523,0.3443,-0.45
PEG,EL,569,428,0.0076,0.0055,0.45
FB3A,PFNd,5765,3911,0.1182,0.0866,0.45
FB3A,FB4M,576,520,0.0288,0.0393,-0.45
FB2B,,14132,17,0.0001,0.0,0.44
hDeltaE,,17701,80,0.0001,0.0,0.44
ExR1,ER2,630,372,0.0091,0.0066,0.44
PFL3,DNa02,736,275,0.0149,0.0203,-0.44
vDeltaL,vDeltaK,557,774,0.0337,0.0459,-0.44
vDeltaB,FB7B,496,541,0.096,0.1305,-0.44
hDeltaH,FB5U,1429,901,0.3026,0.2226,0.44
FB8E,FS4A,308,414,0.0219,0.0297,-0.44
vDeltaM,hDeltaA,2250,1306,0.0447,0.0329,0.44
vDeltaE,FB5Y,336,407,0.0506,0.0687,-0.44
FB4P,FB4E,355,495,0.0386,0.0524,-0.44
FB2J,FC3,580,307,0.0191,0.014,0.44
FB2D,FC1E,630,882,0.0666,0.0903,-0.44
FB2G,PFL3,1330,1018,0.0219,0.0161,0.44
ExR5,PFL3,1458,1117,0.024,0.0177,0.44
FB9B,vDeltaA,921,749,0.0431,0.0318,0.44
PFNm,hDeltaC,450,225,0.0102,0.0075,0.44
FB4F,,15208,43,0.0001,0.0,0.43
PEN_a,PEN_b,3179,1989,0.0738,0.0546,0.43
PEN_b,hDeltaK,1462,1103,0.0546,0.0404,0.43
FC1E,FB2B,568,664,0.0356,0.0481,-0.43
FB4E,hDeltaJ,442,232,0.0116,0.0086,0.43
FB1G,vDeltaA,894,1330,0.0418,0.0565,-0.43
PFNd,FB4L,570,401,0.0594,0.0802,-0.43
FB2J,FB2H,404,301,0.1038,0.0769,0.43
ER5,ER3a,823,700,0.0278,0.0376,-0.43
FC1B,FB2D,677,838,0.0362,0.0488,-0.43
PFNa,LNOa,2642,2092,0.5153,0.6941,-0.43
PFL2,PFL2,606,468,0.019,0.014,0.43
FB2D,hDeltaC,562,517,0.0127,0.0172,-0.43
FB1A,vDeltaD,354,447,0.0245,0.0331,-0.43
,FB4D,281,431,0.0375,0.0505,-0.43
FB4H,vDeltaJ,990,719,0.1865,0.1386,0.43
FC2B,FS1A,1332,2461,0.0523,0.0703,-0.43
vDeltaB,hDeltaE,3102,2945,0.1021,0.1373,-0.43
PFNd,FB4D,591,500,0.0788,0.0585,0.43
FB5AB,FC2B,1083,1176,0.0256,0.019,0.43
FB5P,hDeltaH,730,479,0.025,0.0186,0.43
FB5D,hDeltaH,704,462,0.0241,0.0179,0.42
hDeltaC,vDeltaF,1092,505,0.0738,0.055,0.42
EPG,ER2,4903,2957,0.0708,0.0528,0.42
FC3,hDeltaJ,1593,845,0.0419,0.0312,0.42
FC1B,hDeltaC,665,609,0.015,0.0202,-0.42
FB4D,hDeltaI,904,986,0.0245,0.0328,-0.42
LAL184,ExR4,489,219,0.0238,0.0178,0.42
FB5A,FR1,470,701,0.0164,0.0219,-0.42
FB4K,hDeltaA,2754,1625,0.0547,0.0409,0.42
hDeltaJ,FB4Q,930,743,0.1076,0.0805,0.42
FB4O,FB4O,823,409,0.1005,0.0753,0.42
FB2B,FB2A,519,524,0.0518,0.0692,-0.41
FB5V,FB4Y,1137,1369,0.0483,0.0644,-0.41
FB8B,vDeltaB,243,460,0.0246,0.0328,-0.41
FB5L,FB5AB,777,770,0.0634,0.0845,-0.41
FB5B,FB5I,720,586,0.0961,0.0721,0.41
FB6N,FB5AB,504,499,0.0411,0.0548,-0.41
FC3,FB2F,1332,874,0.0923,0.0693,0.41
FB5P,FB5S,484,611,0.0566,0.0753,-0.41
PFR,hDeltaH,1880,2211,0.0644,0.0857,-0.41
vDeltaC,FB7L,418,411,0.0521,0.0694,-0.41
FB4P,,18489,116,0.0001,0.0,0.41
EPG,LPsP,2088,1819,0.1665,0.2215,-0.41
PEN_a,ExR2,1995,2030,0.1803,0.2397,-0.41
EPG,ExR2,633,644,0.0572,0.0761,-0.41
ER4m,ExR2,700,403,0.0633,0.0476,0.41
PFR,FC3,514,493,0.0169,0.0225,-0.41
hDeltaE,FC2C,2207,2538,0.0464,0.0617,-0.41
FB4R,hDeltaB,3647,2378,0.0777,0.0585,0.41
vDeltaA,,12251,6,0.0001,0.0,0.41
PFNv,Delta7,455,548,0.0088,0.0117,-0.41
ExR8,PS047,1233,502,0.0373,0.0495,-0.41
hDeltaJ,FR2,374,872,0.0698,0.0926,-0.41
FB3C,FC3,3122,1695,0.1026,0.0773,0.41
PFNp,vDeltaC,682,575,0.0472,0.0355,0.41
FC1F,FC1C,600,1013,0.0415,0.055,-0.41
FB3A,PFR,388,529,0.0057,0.0076,-0.41
ER2,ER4d,2908,1869,0.051,0.0385,0.41
FB5X,FC2A,1179,1006,0.0367,0.0276,0.41
vDeltaL,FB4G,448,402,0.0747,0.0563,0.41
PFR,FB4O,968,851,0.1182,0.1566,-0.4
CRE005,FB4G,257,405,0.0428,0.0568,-0.4
FB2E,PFL1,590,888,0.0369,0.0489,-0.4
LPsP,PFR,392,533,0.0057,0.0076,-0.4
ER1,ER1,6163,5518,0.2568,0.3395,-0.4
ExR7,ExR7,555,628,0.0808,0.0611,0.4
LPsP,PFNp,1189,1418,0.0172,0.0227,-0.4
FB7B,hDeltaE,565,528,0.0186,0.0246,-0.4
hDeltaB,PFGs,3125,2707,0.095,0.0719,0.4
hDeltaC,,11651,0,0.0001,0.0,0.4
TuBu07,ER3w,1699,664,0.0458,0.0347,0.4
hDeltaE,PFGs,640,554,0.0195,0.0147,0.4
hDeltaD,,17830,114,0.0001,0.0,0.4
EPG,ExR8,913,1353,0.16,0.2106,-0.4
FB4Q,,11958,8,0.0001,0.0,0.4
FB5O,PFR,464,627,0.0068,0.009,-0.4
Delta7,PFNp,6570,7779,0.0949,0.1248,-0.39
SLP024,FB8F,405,231,0.0373,0.0284,0.39
FC2B,hDeltaM,1073,1100,0.0424,0.0557,-0.39
FB5Y,FC2C,677,445,0.0142,0.0108,0.39
FB6E,hDeltaF,543,260,0.0151,0.0115,0.39
FB4C,PFNd,4366,3084,0.0895,0.0683,0.39
FB3C,,11791,9,0.0001,0.0,0.39
AOTU046,ExR1,3608,1943,0.0658,0.0502,0.39
vDeltaB,FB8G,933,1290,0.1575,0.2062,-0.39
FB4P,PFL2,620,848,0.0194,0.0254,-0.39
hDeltaM,FB5A,888,913,0.0365,0.0478,-0.39
FB2J,,11317,2,0.0001,0.0,0.39
FB5Y,hDeltaM,792,810,0.0313,0.041,-0.39
FB2D,FC3,1878,1034,0.0617,0.0472,0.39
ExR2,,3819,387,0.0,0.0001,-0.39
FB5L,vDeltaF,1407,1142,0.0951,0.1243,-0.39
oviIN,FC2C,418,275,0.0088,0.0067,0.39
,FB2I,426,606,0.0324,0.0424,-0.39
FB4Q,FR2,195,448,0.0364,0.0476,-0.39
FB1G,hDeltaC,782,697,0.0177,0.0232,-0.39
PEN_a,PEN_a,5446,3177,0.1258,0.0963,0.38
FB2G,FC2B,1194,1335,0.0282,0.0215,0.38
ExR5,EL,1903,1508,0.0254,0.0195,0.38
hDeltaD,ExR1,1456,787,0.0266,0.0203,0.38
FB4X,PFR,658,512,0.0096,0.0073,0.38
vDeltaK,FB4P,301,518,0.018,0.0235,-0.38
vDeltaG,FC2B,835,935,0.0197,0.0151,0.38
FB1H,,5931,448,0.0,0.0001,-0.38
FB5H,vDeltaI,1171,958,0.0506,0.066,-0.38
LNO1,LNO2,1750,1329,0.0908,0.1182,-0.38
PEN_a,ER4m,700,309,0.025,0.0192,0.38
TuBu09,ExR1,685,370,0.0125,0.0096,0.38
LAL203,LNO2,458,205,0.0238,0.0182,0.38
FB1G,hDeltaK,701,549,0.0262,0.0201,0.38
PFL3,CRE041,910,493,0.0483,0.0371,0.38
PFNp,vDeltaJ,577,732,0.1087,0.1411,-0.38
SpsP,,11108,5,0.0001,0.0,0.38
ExR3,ER3d,5677,4969,0.0764,0.0991,-0.37
FB2E,FB2E,367,543,0.0989,0.1283,-0.37
EPGt,Delta7,594,412,0.0115,0.0088,0.37
FB4P,hDeltaM,785,473,0.031,0.0239,0.37
PFNp,PFL3,3833,3078,0.063,0.0487,0.37
ER5,,11233,10,0.0001,0.0,0.37
FB2M,hDeltaA,1004,611,0.0199,0.0154,0.37
PFL2,LAL076,1346,1753,0.229,0.2958,-0.37
ExR7,FB4Y,1252,874,0.0532,0.0411,0.37
hDeltaJ,vDeltaF,496,398,0.0335,0.0433,-0.37
FB5V,PFR,1024,1352,0.015,0.0194,-0.37
FC2A,FB5W,920,916,0.1735,0.1344,0.37
CRE107,FB5H,419,495,0.0503,0.065,-0.37
FB2H,FB2D,435,309,0.0232,0.018,0.37
FC2B,FB5Q,504,527,0.0742,0.0956,-0.37
,FB4N,404,488,0.0329,0.0424,-0.36
FB6K,hDeltaC,492,433,0.0111,0.0144,-0.36
FC1A,FB2D,966,1142,0.0516,0.0665,-0.36
FB4N,,10668,4,0.0001,0.0,0.36
ER3d,,11577,21,0.0001,0.0,0.36
SA3,vDeltaA,1461,2071,0.0684,0.088,-0.36
FB2J,FB2B,502,337,0.0314,0.0244,0.36
FB4N,hDeltaJ,973,538,0.0256,0.0199,0.36
FB4X,FR2,222,502,0.0414,0.0533,-0.36
FB4O,,12819,45,0.0001,0.0,0.36
hDeltaE,vDeltaC,429,373,0.0297,0.023,0.36
CRE059,FB4M,415,213,0.0207,0.0161,0.36
PFL3,LAL076,823,646,0.14,0.109,0.36
ExR1,ER3a,1186,960,0.0401,0.0515,-0.36
FB4Y,vDeltaK,1376,1803,0.0832,0.1068,-0.36
ER1,EL,3599,4788,0.0481,0.0618,-0.36
vDeltaI,FR1,640,554,0.0223,0.0173,0.36
