type_pre,side_pre,type_post,offset_wedges,weight
PEN_a(PEN1),L,PEN_b(PEN2),-5,89
PEN_a(PEN1),L,PEN_b(PEN2),-4,124
PEN_a(PEN1),L,PEN_b(PEN2),-3,12
PEN_a(PEN1),L,PEN_b(PEN2),-2,89
PEN_a(PEN1),L,PEN_b(PEN2),0,199
PEN_a(PEN1),L,PEN_b(PEN2),2,96
PEN_a(PEN1),L,PEN_b(PEN2),4,144
PEN_a(PEN1),L,PEN_b(PEN2),6,71
PEN_a(PEN1),L,PEN_b(PEN2),8,111
PEN_a(PEN1),L,EPG,-7,15
PEN_a(PEN1),L,EPG,-6,100
PEN_a(PEN1),L,EPG,-5,405
PEN_a(PEN1),L,EPG,-4,997
PEN_a(PEN1),L,EPG,-3,1841
PEN_a(PEN1),L,EPG,-2,1834
PEN_a(PEN1),L,EPG,-1,1092
PEN_a(PEN1),L,EPG,0,263
PEN_a(PEN1),L,EPG,1,63
PEN_a(PEN1),L,EPG,2,6
PEN_a(PEN1),L,EPG,4,1
PEN_a(PEN1),L,PEN_a(PEN1),-7,23
PEN_a(PEN1),L,PEN_a(PEN1),-6,176
PEN_a(PEN1),L,PEN_a(PEN1),-5,130
PEN_a(PEN1),L,PEN_a(PEN1),-4,205
PEN_a(PEN1),L,PEN_a(PEN1),-3,26
PEN_a(PEN1),L,PEN_a(PEN1),-2,206
PEN_a(PEN1),L,PEN_a(PEN1),-1,1
PEN_a(PEN1),L,PEN_a(PEN1),0,64
PEN_a(PEN1),L,PEN_a(PEN1),2,194
PEN_a(PEN1),L,PEN_a(PEN1),4,219
PEN_a(PEN1),L,PEN_a(PEN1),6,176
PEN_a(PEN1),L,PEN_a(PEN1),7,1
PEN_a(PEN1),L,PEN_a(PEN1),8,195
PEN_a(PEN1),L,PEG,-4,7
PEN_a(PEN1),L,PEG,-3,7
PEN_a(PEN1),L,PEG,-2,17
PEN_a(PEN1),L,PEG,-1,7
PEN_a(PEN1),L,PEG,0,2
PEN_a(PEN1),L,Delta7,-7,1
PEN_a(PEN1),L,Delta7,-1,1
PEN_a(PEN1),L,Delta7,0,3
PEN_a(PEN1),L,Delta7,4,2
PEN_a(PEN1),L,Delta7,6,2
PEN_a(PEN1),R,EPG,-2,4
PEN_a(PEN1),R,EPG,-1,56
PEN_a(PEN1),R,EPG,0,367
PEN_a(PEN1),R,EPG,1,1068
PEN_a(PEN1),R,EPG,2,2005
PEN_a(PEN1),R,EPG,3,1919
PEN_a(PEN1),R,EPG,4,1120
PEN_a(PEN1),R,EPG,5,270
PEN_a(PEN1),R,EPG,6,53
PEN_a(PEN1),R,EPG,7,7
PEN_a(PEN1),R,PEN_a(PEN1),-6,167
PEN_a(PEN1),R,PEN_a(PEN1),-4,197
PEN_a(PEN1),R,PEN_a(PEN1),-2,187
PEN_a(PEN1),R,PEN_a(PEN1),0,75
PEN_a(PEN1),R,PEN_a(PEN1),2,198
PEN_a(PEN1),R,PEN_a(PEN1),3,21
PEN_a(PEN1),R,PEN_a(PEN1),4,194
PEN_a(PEN1),R,PEN_a(PEN1),5,135
PEN_a(PEN1),R,PEN_a(PEN1),6,171
PEN_a(PEN1),R,PEN_a(PEN1),7,25
PEN_a(PEN1),R,PEN_a(PEN1),8,191
PEN_a(PEN1),R,PEN_b(PEN2),-6,83
PEN_a(PEN1),R,PEN_b(PEN2),-4,99
PEN_a(PEN1),R,PEN_b(PEN2),-2,83
