body_pre,body_post,weight,type_pre,type_post
10539,20715,126,EPG,EL
16440,14308,126,ER4m,ER4m
513702,541855,126,hDeltaB,hDeltaK
17816,31786,125,hDeltaB,PFR_b
14308,515760,125,ER4m,ER4m
14482,14308,125,ER4m,ER4m
17801,519351,125,hDeltaA,PFL3
520581,51159,125,EPG,EL
523786,51159,125,EPG,EL
523806,512319,124,PEG,ER6
513520,46764,124,EPG,EL
17402,515760,124,ER4m,ER4m
515760,454614,124,ER4m,ER4m
16440,14482,124,ER4m,ER4m
19825,523806,124,EPG,PEG
512793,17419,124,PEG,ER6
519328,51555,124,EPG,EL
41849,27109,124,PFNd,hDeltaB
22086,24153,123,hDeltaB,hDeltaK
515295,31656,123,PFNd,hDeltaB
515192,30181,122,hDeltaB,PFR_b
49869,45134,122,ER3p_b,ER3p_b
31756,22086,122,PFNd,hDeltaB
17820,30653,122,hDeltaB,PFGs
22086,88014,122,hDeltaB,PFR_a
14308,14482,122,ER4m,ER4m
42264,21664,122,ER3d_e,ER3d_e
38334,19602,121,PFNd,hDeltaB
519347,16440,121,ER4m,ER4m
14482,17402,121,ER4m,ER4m
13395,14482,121,ER4m,ER4m
17402,14482,121,ER4m,ER4m
519347,17402,120,ER4m,ER4m
13985,515760,120,ER4m,ER4m
513283,513284,120,PEN_a(PEN1),EPG
513463,58834,120,EPG,EL
15616,525062,120,EPG,PEG
13985,14482,120,ER4m,ER4m
27213,524876,120,PFNd,hDeltaB
524654,29648,119,PFGs,hDeltaK
54776,22086,119,PFNd,hDeltaB
517418,32675,119,PFNd,hDeltaB
19602,19367,119,hDeltaB,PFGs
519347,14308,118,ER4m,ER4m
16360,511778,118,EPG,EL
524073,39413,118,EPG,PEG
13434,16440,118,ER4m,ER4m
29493,23090,118,PFNv,hDeltaB
38334,23090,117,PFNd,hDeltaB
11512,521637,117,hDeltaB,PFR_a
13395,16440,117,ER4m,ER4m
17816,17801,117,hDeltaB,hDeltaA
16440,13395,117,ER4m,ER4m
19825,46764,117,EPG,EL
12797,13985,116,ER4m,ER4m
29261,17816,116,PFNd,hDeltaB
520818,523807,116,EPG,PEG
45134,514180,116,ER3p_b,ER3p_b
14482,519347,116,ER4m,ER4m
523807,17419,116,PEG,ER6
76194,523786,116,PEN_a(PEN1),EPG
519347,14482,115,ER4m,ER4m
16440,515760,115,ER4m,ER4m
47186,38084,115,ER3m,ER3m
512793,516110,115,PEG,ER6
33325,19100,115,PFNd,hDeltaB
522973,17419,115,PEG,ER6
556347,51159,115,EPG,EL
30968,512362,114,PFNd,hDeltaB
13395,13985,114,ER4m,ER4m
11512,24314,114,hDeltaB,hDeltaK
519941,51555,114,EPG,EL
35912,25176,114,PFGs,hDeltaK
45134,53618,114,ER3p_b,ER3p_b
454614,14482,114,ER4m,ER4m
77090,520573,114,hDeltaM,PFL2
13985,13395,113,ER4m,ER4m
30653,24671,113,PFGs,hDeltaK
27618,19100,113,PFNd,hDeltaB
17402,12797,113,ER4m,ER4m
13395,515760,113,ER4m,ER4m
17816,515232,113,hDeltaB,hDeltaI
521813,39413,113,EPG,PEG
514045,20715,113,PEN_a(PEN1),EL
19100,18670,113,hDeltaB,PFR_b
512362,33552,113,hDeltaB,PFR_a
513463,522992,113,EPG,PEG
19602,61553,113,hDeltaB,PFR_a
22086,513518,113,hDeltaB,PFR_a
17402,14308,112,ER4m,ER4m
525062,14464,112,PEG,ER6
22086,18586,112,hDeltaB,PFR_a
42059,17419,112,PEG,ER6
19760,15616,112,PEN_b(PEN2),EPG
17402,13985,112,ER4m,ER4m
14308,13395,112,ER4m,ER4m
13395,454614,112,ER4m,ER4m
43127,27109,112,PFNd,hDeltaB
34226,19602,112,PFNd,hDeltaB
88342,522973,111,EPG,PEG
515130,513034,111,hDeltaA,PFL2
12797,14308,111,ER4m,ER4m
18504,11307,111,PEN_a(PEN1),EPG
31656,531009,111,hDeltaB,PFR_b
53043,22086,111,PFNd,hDeltaB
512928,46073,111,EPG,EL
515963,519346,111,hDeltaM,PFL3
100809,516110,111,PEG,ER6
515760,16440,110,ER4m,ER4m
14482,13985,110,ER4m,ER4m
21664,37817,110,ER3d_e,ER3d_e
30068,520811,110,hDeltaA,PFL3
17816,514184,110,hDeltaB,hDeltaK
42750,17816,110,PFNd,hDeltaB
18419,523786,110,PEN_a(PEN1),EPG
19100,527475,110,hDeltaB,PFR_a
19100,531009,110,hDeltaB,PFR_b
522973,516110,110,PEG,ER6
42267,17816,109,PFNd,hDeltaB
37751,31656,109,PFNd,hDeltaB
41849,513702,109,PFNd,hDeltaB
515760,14308,109,ER4m,ER4m
27460,11512,109,PFNd,hDeltaB
30781,17816,109,PFNd,hDeltaB
17820,524596,109,hDeltaB,hDeltaA
513283,14727,109,PEN_a(PEN1),EPG
513702,59969,109,hDeltaB,hDeltaA
15616,46073,108,EPG,EL
38334,22086,108,PFNd,hDeltaB
527653,23315,108,ER4d,ER4d
13985,519347,108,ER4m,ER4m
535347,14464,107,PEG,ER6
12449,61845,107,EPG,EL
19125,26443,107,EPG,PEG
42739,33598,107,hDeltaB,PFR_b
13217,39753,107,EPG,PEG
515192,515130,107,hDeltaB,hDeltaA
515464,34924,107,PFNd,hDeltaB
17820,35912,107,hDeltaB,PFGs
27618,20520,107,PFNd,hDeltaB
49869,514180,107,ER3p_b,ER3p_b
515234,15210,107,hDeltaA,PFL3
28248,27133,106,PFGs,hDeltaK
21932,519140,106,PEN_b(PEN2),EPG
18779,88342,106,PEN_a(PEN1),EPG
18744,513520,106,PEN_a(PEN1),EPG
11989,61845,105,EPG,EL
515234,79549,105,hDeltaA,PFL3
16440,13985,105,ER4m,ER4m
535347,512319,105,PEG,ER6
100809,17419,105,PEG,ER6
511844,516110,105,PEG,ER6
527199,21664,105,ER3d_e,ER3d_e
77090,15210,105,hDeltaM,PFL3
29493,19602,105,PFNv,hDeltaB
18504,520818,105,PEN_a(PEN1),EPG
37817,21664,104,ER3d_e,ER3d_e
19564,27425,104,PFGs,hDeltaK
520818,34188,104,EPG,EL
26913,27109,104,PFNd,hDeltaB
525062,512319,104,PEG,ER6
17801,567101,104,hDeltaA,PFL3
11503,20007,104,EPG,PEG
