type_pre,type_post,weight
FB2F_d,FB2G_a,13
SA3,FB9C,13
FB2C,FB4Y,13
FB1J,FB1B,13
FB2A,LNO2,13
PFR_b,hDeltaM,13
vDeltaJ,FB5H,13
FB4N,FB4F_c,13
hDeltaJ,FB2A,13
SLP019,FB8F_a,13
FS1B_a,FB1A,13
FB4D_c,hDeltaK,13
SMP007,FB5G_c,13
FS1A_c,SMP030,13
FB2K,FC1C_a,13
FB2F_b,FC3_a,13
SMP084,FB5D,13
FB5L,FB6S,13
hDeltaJ,FB4E_a,13
FB5S,FB6N,13
FC1F,PFGs,13
FB7B,FB6K,13
FC1C_a,SMP541,13
FB7H,FS3_d,13
FB2J_c,FB2I_a,13
CL172,FB1C,13
PFGs,hDeltaH,13
FB4O,FB4Z_b,13
LHAV9a1_c,FB6N,13
FB2A,FB4C,13
SMP180,FB5Q,13
FB7C,FB7J,13
hDeltaI,FC3_c,13
FB5A,FB5Z,13
FC1C_b,SIP065,13
hDeltaI,FC3_a,13
FB1A,FB1D,13
OA-VUMa4,FB4L,13
FB5AA,FB5B,13
FB6M,FB8F_a,13
FB4A_b,FB4M,13
PFNp_e,FS3_c,13
FC1E,hDeltaI,13
FB7M,FB7J,13
hDeltaI,FS3_d,13
SMP018,FB1G,13
CB1009,FB6C_b,13
FS4C,FB8A,13
FC2A,FB2F_c,13
ER3a_a,ExR3,13
vDeltaH,FC1C_a,13
PEN_b(PEN2),FB2A,13
FC1E,FB3D,13
FB5R,hDeltaJ,13
FR2,SMP568_a,13
LC33,FB4Y,13
ER2_c,ER3m,13
SMP408_d,FB5G_c,13
FB2C,FC1C_a,13
FC2B,LAL187,13
FB2F_d,FS2,13
PFNm_b,hDeltaL,13
DNge115,IbSpsP,13
FB6K,FB5AB,13
FC2B,FS3_c,13
LHPD2a4_a,FB2B_a,13
FB5J,FC2C,13
FC1C_b,CRE093,13
FB6T,FB6K,13
LHPV6f3_b,FB7A,13
FB5B,FB5AB,13
FB4R,FB4Q_a,13
FB8E,FB8G,13
FB4K,FB4Z_a,13
FB4B,FS4A,13
PLP044,ExR1,13
FB2G_a,PFNd,13
FB2G_a,FB2F_a,13
FB2G_a,FS2,13
AOTU046,ER5,13
FC2A,SMP007,13
ExR5,PFGs,13
ExR5,FB5N,13
FR2,FB1G,13
PS261,FB6M,13
EL,PFR_b,13
FC2B,FB2L,13
FS4B,SLP403,13
PEN_a(PEN1),PFNp_a,13
FB5Q,FB5M,13
hDeltaL,FB8G,13
FB4Z_a,FB5V_c,13
FS3_d,SMP183,13
vDeltaA_b,FB7G,13
vDeltaI_b,FB5A,13
FS2,PAM03,13
WED034,FB2G_b,13
FB6C_b,FB7L,13
FS4A,FB1G,13
PFGs,IbSpsP,13
SMP145,FB2D,13
SMP145,FS1A_c,13
CB1089,FB8F_b,13
FB4Z_a,FB5W_b,13
OA-VPM3,FS3_c,13
FB1A,FB1B,13
CB1617,FS4B,13
FB1E_a,hDeltaI,13
SMP160,FB4K,13
AVLP563,FB5N,13
ExR2,LAL190,13
ExR2,CB2037,13
FB4P_a,CB1062,13
FC1E,LAL100,13
FB2F_c,hDeltaM,13
SMP568_a,FB1H,13
FB6U,FB7E,13
FB5V_c,FB5V_c,13
FB6H,FB7C,13
CRE067,FB5W_a,13
FB6K,OA-VPM3,13
OA-VPM3,FB5Z,13
FC1A,SLP451,13
FB4G,FB4M,13
FB5P,FB5V_c,13
FB4M,FB5D,13
PLP042_a,ExR1,13
FB2B_a,FB2F_d,13
PPL108,PFR_b,13
CRE039,FB1C,13
FB2B_b,vDeltaH,13
FB2B_b,FC2A,13
SMP142,FB1C,13
SMP142,FB2A,13
FB5M,vDeltaJ,13
ExR3,FS3_a,13
FB4P_b,PFGs,13
ExR3,SMP461,13
FB5A,FB5N,13
FB1H,FC1C_a,13
FB6H,vDeltaB,13
EPG,ER3p_b,13
FB4Y,PFNp_c,13
FB4Y,FB1D,13
FB4Y,ER2_c,13
FB4X,FS2,13
FB1I,FS3_c,13
FC3_b,hDeltaB,13
PPL108,PFR_a,13
PFNa,PFL3,13
PFL3,hDeltaI,13
PFL2,PLP012,13
CSD,FS4B,13
PFNd,FS3_d,13
PFR_a,FB5Y_a,13
hDeltaH,hDeltaK,13
hDeltaG,FB7I,13
ExR2,ER2_b,13
FB4M,EL,13
FB6F,FS3_b,13
FS4B,SMP505,13
FB2I_a,FS1A_a,13
FB5F,hDeltaC,13
PFR_b,FS1A_a,13
FB6S,vDeltaF,13
PFNm_a,FB1A,13
PS233,IbSpsP,13
FB6V,FB6S,13
FC1E,FB5J,13
FB6M,hDeltaF,13
FB4L,FS2,13
OA-VPM3,PFNa,13
FS2,PPL107,13
FB8B,FS4B,13
FB6S,vDeltaE,13
FS1A_a,SMP144,13
FC2B,FB5AA,13
FS4B,SMP297,13
ER6,LC9,13
FB5L,PFL2,13
vDeltaM,ExR5,13
FS3_c,SMP181,13
FB6N,PFR_b,13
ER4d,TuBu08,13
vDeltaF,FB5G_c,13
FC2A,FB2F_b,13
PEN_a(PEN1),ER3w_b,13
FS2,FB5Y_b,13
FB4P_b,FS1A_b,13
FC1D,FB2F_c,13
vDeltaE,hDeltaK,13
vDeltaD,FS4C,13
vDeltaG,FB5I,13
CB2784,PFL3,13
PFNp_c,hDeltaI,13
FB4K,PFL3,13
FC1C_b,SMP377,13
FB2I_a,FB2F_b,13
FB5U,FC3_c,13
PFGs,FB5Y_b,13
FB4E_b,hDeltaK,13
FS1B_a,FB3C,13
FC2B,hDeltaL,13
vDeltaH,FC1E,13
FB4M,FS1B_a,13
FB2A,FB4M,13
FB5S,PFR_b,13
FB4A_a,FR1,13
FB8I,FS4C,13
FC2C,FC1F,13
FB4D_c,PFR_b,13
FB4D_c,PFR_a,13
FB8I,FB8H,13
FC2B,FB5I,13
FB4E_a,FB4O,13
hDeltaF,FB5G_b,13
FB5Y_a,hDeltaJ,13
FS2,SMP186,13
hDeltaK,FC2C,13
FB2C,FB2A,13
PFNa,FB4L,13
FB4R,FC2A,13
FB7E,FB7A,13
FC1A,FB1G,13
hDeltaB,FS1A_a,13
FC1D,FB4L,13
PFNv,LPsP,13
FB6U,hDeltaK,13
FB7B,FS3_b,13
FB2H_a,FS1B_a,13
FB2L,FC3_c,13
FB4O,FS1A_a,13
hDeltaE,FB6S,13
FC3_a,FB2B_a,13
FC2B,FB4P_a,13
FB2M_b,FR2,13
PEG,ER1_a,13
FB3C,PFNd,13
FC1E,OA-VPM3,13
FC1B,vDeltaD,13
PFR_b,FR2,13
hDeltaB,FC3_b,13
PFR_b,FB4Q_a,13
FB4P_a,hDeltaK,13
vDeltaI_b,FB5N,13
FB4J,PFR_a,13
PFGs,FB7L,13
EL,PFL3,13
FC3_b,ExR5,13
FC3_a,FB5L,13
FC2A,vDeltaI_b,13
PEN_b(PEN2),PFNd,13
FC2A,FC1C_b,13
FC3_c,PFNd,13
FC3_a,FB6J,13
FB5G_a,FS3_b,13
FB5M,FC2C,13
EL,FB3C,13
FB4M,hDeltaL,13
ER3w_b,ExR7,13
FC2C,FB2I_a,13
FB1C,PFNv,13
FC2C,FB6C_b,13
FB2B_b,FC2C,13
FS3_c,vDeltaC,13
FS3_a,FC2C,13
FB4Z_c,PFL3,13
PFNp_b,OA-VPM3,13
FB5H,hDeltaJ,13
AN19B017,FB4H,12
SMP011_a,FB5Y_b,12
VES109,FB4P_c,12
FB6D,SMP105_b,12
SMP560,FB6Z,12
FB2D,CB0683,12
LAL129,FB7E,12
SLP173,SA1_c,12
PLP026,FB5K,12
LAL138,FB4E_a,12
SMP188,FB6N,12
CB0380,ER1_b,12
CB0103,FB7B,12
LAL007,FB4R,12
SMP157,FB5C,12
FB5Q,MBON05,12
DNae007,LCNOpm,12
FB2B_b,OA-ASM1,12
LAL186,ExR6,12
FB5Q,FB8G,12
SIP073,FB5I,12
CRE048,FB5T,12
SMP015,ExR6,12
LAL002,FB5AB,12
PAM09,hDeltaM,12
FB5D,LAL190,12
SA2_b,FB1F,12
ATL001,ExR3,12
SLP252_b,FB9C,12
SMP257,FB5G_b,12
SMP187,FB7A,12
SMP026,FB6N,12
CRE026,FB2K,12
SMP183,FB7K,12
FB5Q,FB8E,12
CRE078,LNO2,12
LHAV3a1_b,FB1D,12
CRE020,FB4F_a,12
SMP555,FB5M,12
LHPD5f1,FB4D_c,12
FB6A_a,CB1871,12
CRE043_a2,FB4J,12
SMP116,ExR3,12
FB6A_c,FB6I,12
FB4G,ExR6,12
IB010,FB4M,12
AVLP520,FB4B,12
SIP006,FB2L,12
PVLP200m_a,LCNOpm,12
AVLP562,FB4R,12
CRE046,FB5Q,12
LAL024,LCNOpm,12
SMP252,FB1E_b,12
SLP359,FB8A,12
SIP074_a,FB5B,12
SLP057,FB2F_a,12
SMP147,LCNOp,12
FB6C_a,AN27X013,12
SMP096,FB6Z,12
CRE013,FB5Y_a,12
CB3173,SA1_b,12
CRE048,FB5C,12
CRE046,FB6X,12
FB4R,FB3D,12
FB1H,SMP204,12
FB5G_a,SMP386,12
LHAD2b1,FB2C,12
vDeltaG,vDeltaD,12
FB6D,hDeltaE,12
SMP011_b,FB4H,12
LHPV5e2,SA3,12
SMP572,FB5I,12
DNp104,FB4F_c,12
CL042,FB6H,12
SMP128,FB6V,12
SMP562,FB2F_b,12
SLP275,SA3,12
FB6Z,FB6E,12
FB6Z,PRW060,12
SMP543,FB5A,12
FB4B,FB4G,12
CB1457,FB5AB,12
CRE076,FB5O,12
hDeltaB,FB5S,12
CRE024,FB5T,12
CRE104,FB4F_b,12
LAL052,LNOa,12
ATL037,FB4H,12
LAL172,FB2K,12
LAL137,FB5F,12
FB6Q,FB6Z,12
SMP419,FB4P_c,12
VES056,ExR6,12
PPL107,FB5Y_a,12
FB1H,CRE040,12
LHPV5e1,FB7I,12
GNG660,LPsP,12
SMP593,FB4Q_a,12
SMP175,FB5T,12
LAL179,FB2K,12
ExR8,CB2935,12
CRE080_a,FB4C,12
FB4C,FB5AB,12
CB4183,FB4M,12
LHPD4e1_b,SA1_b,12
LHPD2c7,FB4C,12
CL129,FB4R,12
FB7A,CB1081,12
FB7A,SAF,12
LHPD2a4_a,FB5Y_a,12
CB2937,FB6Q,12
LoVP79,FB2C,12
FB5H,SMP178,12
FB5Q,PPL107,12
FB4L,LAL157,12
AVLP032,FB4P_c,12
SMP138,FB1H,12
FB7B,FB6C_a,12
SLP355,FB7C,12
CRE060,FB5N,12
FB6C_a,FB7F,12
CB1608,SAF,12
FB6V,FB5AA,12
FB1G,FB1I,12
ATL004,FB5AA,12
LHPV4m1,FB5J,12
SMP178,FB6B,12
oviIN,FB5J,12
SMP384,FB5AB,12
FB5L,FB5G_a,12
CB3076,FB6F,12
ER4d,TuBu06,12
CB4088,SA2_a,12
CB3469,FB4Y,12
FB6E,FB5Y_a,12
SMP238,FB6Y,12
FB6H,FB6Q,12
CB1895,FB6D,12
SLP392,FB6S,12
SMP015,FB5A,12
FB1J,FB8A,12
ExR8,PVLP030,12
LAL163,FB4E_a,12
LAL013,FB2B_a,12
CB1174,FB8F_a,12
SMP437,FB4M,12
ExR7,ER1_c,12
FB5G_a,CB1871,12
SMP555,FB1C,12
SMP507,FB6A_a,12
OA-VUMa1,FB2D,12
FB6I,FB6A_c,12
SMP234,FB5Y_b,12
SLP281,FB1E_a,12
SA2_a,SA1_c,12
ExR7,CRE001,12
FB4F_a,OA-VPM3,12
pC1_18a,FB7G,12
SMP583,FB6B,12
ATL019,FB2H_a,12
FB2F_a,FB4X,12
CB1387,SA2_c,12
SMP026,FB5P,12
FB5AA,FB5H,12
FB6A_b,CB4205,12
SIP029,FB7L,12
LAL186,LCNOpm,12
CB1392,FB9C,12
ExR1,vDeltaA_a,12
GNG121,FB5M,12
SIP069,FB5Q,12
FB4C,SMP384,12
CRE107,FB5M,12
GNG311,FB6M,12
SMP353,FB6U,12
vDeltaE,PFL2,12
SMP571,FB5I,12
SMP143,FB5A,12
AVLP494,FB4F_c,12
AVLP314,FB8B,12
SMP243,FB2J_a,12
CRE028,FB5T,12
FB1G,FB2G_b,12
LAL160,FB5A,12
FB4D_a,PFR_a,12
FB5C,SMP147,12
LAL037,FB2L,12
OA-VUMa4,LNO2,12
LHPV5b1,FB1G,12
ER3a_b,ExR5,12
CB4022,FB6H,12
PFNm_a,FS3,12
CB2638,FB5G_c,12
FB4I,FB5M,12
ExR3,LAL139,12
WED009,FB2A,12
ExR5,FB5M,12
FB4H,FB4H,12
FB4A_a,hDeltaM,12
CB2117,FB4N,12
CRE021,FB5T,12
CRE040,FB5P,12
M_spPN5t10,FB2C,12
SMP117_b,FB4G,12
FC,FB5G_c,12
SMP583,FB6R,12
FB4G,FB4G,12
FB6F,FB5Y_b,12
FB6F,FB6N,12
PVLP200m_a,FB4P_b,12
oviIN,FB5G_b,12
SMP405,FB5Z,12
LAL154,FB4R,12
LAL159,LCNOpm,12
OA-VUMa6,FB4C,12
ATL003,FB5F,12
SMP181,FB6Y,12
AN19B019,FB6X,12
FC2B,LAL129,12
WED007,FB2A,12
SMP142,FB5K,12
MBON27,FB5V_c,12
SIP005,FB6V,12
SMP108,FB5AB,12
FB6A_b,FB5AA,12
SMP598,FB4C,12
MeVP50,FB8B,12
SLP391,FB6T,12
SMP175,FB5C,12
PS197,GLNO,12
FB6Y,FB6I,12
PPL102,FB4C,12
FB6D,FC1C_a,12
SMP371_a,FB2B_b,12
CB2310,FB5H,12
M_lPNm13,ExR1,12
SMP012,FB4A_b,12
LAL110,LNO1,12
FB6M,SIP041,12
SMP178,FB2G_b,12
FB2D,LAL157,12
CL303,FB5W_a,12
MBON30,FB4P_a,12
CB1387,SA2_a,12
GNG595,FB5N,12
SMP187,FB8G,12
LHPV5l1,FB2J_a,12
SMP253,FB4K,12
CB2754,FB6Q,12
LAL124,ExR2,12
DNg100,ExR2,12
VES079,FB4Y,12
ExR3,DGI,12
SMP457,FB2A,12
LAL304m,LNO2,12
FB5D,FB5K,12
FC2B,CRE045,12
SMP254,FB1C,12
CB3614,FB5W_a,12
AN07B004,FB5G_c,12
WED018,ER1_c,12
SLP211,SA1_a,12
SMP347,FB6H,12
ExR3,LHPV10d1,12
DNg03,FB4M,12
FB2G_b,FB2B_a,12
FB2G_b,FB4D_b,12
FB8D,FB1J,12
FB1H,SMP133,12
SA2_b,FB1D,12
AN19B017,FB4M,12
FB6A_a,PAM09,12
SMP112,FB4Y,12
FB6P,FB5Y_b,12
FB6C_b,PFR_b,12
ExR6,CRE066,12
SIP015,FB6T,12
ExR4,ER4d,12
CRE056,FB4P_c,12
CB3873,FB5L,12
FB5I,SMP133,12
FB5I,FR1,12
CB4198,FB6C_b,12
LAL129,FB5A,12
MBON21,FB4F_b,12
CB2398,FB6Q,12
FB5K,PFR_b,12
LAL082,LNO1,12
CB4183,ExR3,12
CRE025,FB4A_b,12
SMP012,FS1A_b,12
SMP164,FB4Y,12
SMP242,ExR3,12
SLP109,SA2_a,12
AOTU020,FB5E,12
FB2D,PS191,12
FB1B,hDeltaE,12
WED018,ER1_b,12
SMP235,FB5Z,12
SMP507,FB2C,12
ExR5,FB6U,12
FB5K,SMP012,12
CRE043_b,FB5Z,12
SMP384,FB5N,12
CRE054,FB1H,12
ExR8,DNge115,12
vDeltaM,FB4B,12
FS1A_b,SMP542,12
FB4I,FB4M,12
CB3052,FB4O,12
vDeltaF,FB5F,12
FB4D_a,hDeltaH,12
FB6S,SMP408_a,12
LHPD2d2,FB8G,12
CB1009,FB7E,12
SLP385,SA2_a,12
FB5V_a,MBON35,12
ExR5,CRE105,12
CB1454,FB2G_b,12
MBON33,FB6R,12
oviIN,FB2C,12
LHAV2h1,FB6T,12
OA-VPM3,FB4X,12
OA-VPM3,FB7I,12
SMP476,FB5F,12
CB1897,FB7B,12
CB2950,FB4L,12
LPT31,ER3a_c,12
ATL034,FB5V_a,12
SMP326,FB2G_b,12
SMP181,FB6M,12
LAL002,FB5P,12
FB5M,FB5W_b,12
SMP352,FB6A_a,12
FB7L,FB6A_b,12
SMP183,ExR2,12
SIP054,FB7I,12
FC3_c,FB4D_c,12
FB6I,FS1A_a,12
PPM1205,FB3A,12
FB6F,FB7E,12
FB2H_a,FB2F_b,12
SMP404,FB6D,12
SMP381_a,FB4R,12
FB2M_b,FB1H,12
FB6A_a,FB9B_b,12
LHPV5g1_a,FB6W,12
LHAV1f1,FB1G,12
FS1A_b,SMP178,12
FB8E,FB7J,12
FB9C,FS4C,12
CB1617,FB1B,12
LAL147_a,FB4O,12
LAL141,FB5X,12
FB6C_b,SMP568_d,12
FB5V_c,FB4R,12
CB4112,ExR3,12
FB5Z,FR1,12
SMP277,FB5G_c,12
MBON19,FB6T,12
SMP026,FB4O,12
CB2194,FB6Q,12
SLP405,FB7F,12
VES040,FB5X,12
SMP186,FB6T,12
FB4B,hDeltaI,12
vDeltaH,FB5G_a,12
SMP507,FB6K,12
CB2208,SA2_a,12
FB8C,FB7D_a,12
SMP381_b,FB4G,12
FB5AB,FB6A_b,12
FB5O,FC3_b,12
FB5N,FB5M,12
hDeltaI,vDeltaI_a,12
CB2846,LCNOpm,12
FB4Z_b,FB5E,12
FC2C,FB2M_a,12
CB1062,FB5X,12
CB1493,ER1_a,12
FS2,FS4B,12
FB6A_b,FB5A,12
FB7B,SLP372,12
LAL139,ER1_a,12
LHPV5g1_b,FB5B,12
FB7G,FB6Z,12
FB5S,FB5P,12
FB4D_b,hDeltaH,12
CRE030_b,ExR6,12
FB5Y_a,FB6R,12
aMe12,FB8B,12
LAL022,FB5G_a,12
FC3_c,FB5AB,12
hDeltaG,FB7D_a,12
FS3_a,FB7L,12
CB1281,FB1J,12
SMP181,FB8I,12
FB2A,FC,12
FS4C,SLP457,12
FB8C,SMP368,12
LAL120_a,FB2K,12
FB5Z,FC3_c,12
SMP384,FB6S,12
FC,FC1E,12
CRE076,FB4O,12
CB2970,FB9C,12
FB4D_a,FB4L,12
ER2_d,ExR4,12
SMP471,FB4Y,12
FS3_a,pC1x_d,12
CB4198,FB8F_a,12
vDeltaI_a,FB4N,12
LHPV5e1,FB2J_a,12
FB4O,SMP450,12
LHPV10d1,FB2G_a,12
ExR3,FB4L,12
FB7D_a,FB6F,12
OA-VUMa1,ExR3,12
CRE018,FB5B,12
CRE010,FB5X,12
LoVP82,FB8H,12
FS1B_b,SLP322,12
CB0103,SA2_b,12
FB6C_b,SIP077,12
CB1946,FB6S,12
FB6G,FB6Q,12
SIP004,FB5X,12
CB3574,FB4K,12
FB5Y_b,FB6A_a,12
FB5I,FB5G_c,12
FB2J_c,hDeltaF,12
FS1B_a,ATL029,12
LHPD5d1,FB1H,12
FC1C_a,SMP012,12
SMP179,FB4P_c,12
FB2M_a,FB1E_a,12
FB2M_a,vDeltaE,12
FS3_a,CB4125,12
SMP048,FB5A,12
FB4R,FC1F,12
CB4023,FS4A,12
FB5A,FB4Z_b,12
PFL3,CB3523,12
FS1A_c,SMP069,12
SMP371_a,FB2B_a,12
LAL145,FB4E_a,12
MeVP14,FB8B,12
PFL1,LAL188_b,12
FB4M,FB4H,12
FB6N,OA-VPM3,12
FB8H,FB9C,12
FB5Q,FB5X,12
FB2K,FB2H_a,12
LAL155,FB4B,12
PS054,SpsP,12
LAL150,FB4F_a,12
SLP461,FB5B,12
CRE078,FB4E_c,12
FB1B,PFNp_b,12
CB1617,FB1E_a,12
FB6U,FB6Q,12
FB6M,FB5AB,12
WED102,FB2A,12
FB6A_b,SMP352,12
LAL100,FB4Q_c,12
M_lvPNm26,FB2F_d,12
FB5C,FB5B,12
FB6C_a,CB2539,12
SLP074,FB5Q,12
FB2G_a,FB2L,12
FB7E,DNp48,12
FB2G_b,FB2J_a,12
CB2869,vDeltaA_a,12
PEN_b(PEN2),PFL3,12
CB1617,FB9C,12
FB6U,FB6S,12
SMP371_a,FB3A,12
VES040,FB4P_a,12
CB3135,FB4F_c,12
CB4106,FB3A,12
CB3873,FB6N,12
AVLP703m,FB4F_c,12
FS1B_a,vDeltaF,12
FB4E_b,FB4A_b,12
FB5W_b,FB5N,12
SMP598,FB5G_a,12
SLP405_b,FB7F,12
SLP259,FB7A,12
FB1J,FB1C,12
SMP452,ExR3,12
LHAV9a1_b,FB5L,12
AVLP562,FB5P,12
FC2B,CRE099,12
LHPV6h2,SA3,12
FB6O,FB6K,12
PRW001,FB8F_a,12
FB5W_b,FB5M,12
FB7K,vDeltaD,12
SLP372,FB7L,12
FB5W_a,FB5W_b,12
FB9A,FB8H,12
FB2J_c,hDeltaG,12
FC3_c,FB6L,12
CRE040,FB5V_c,12
FB7A,SMP034,12
LHAV9a1_b,FB5K,12
FB6A_c,FB6X,12
FB4B,FS3_a,12
FC1E,FS1A_b,12
SMP385,FB4F_c,12
FB4E_c,FB4E_a,12
FB5X,FB4P_c,12
FB6S,SMP128,12
SMP075,FB5D,12
FB5AA,FC3_a,12
ExR3,FB4M,12
FB7C,FB1A,12
FB7D_a,FB6Z,12
FB7F,FB6K,12
FB5Y_b,FS1A_c,12
FB4O,FB5D,12
FB2C,PFL1,12
hDeltaH,OA-VPM3,12
SIP047,FB6R,12
FB6Z,FS1A_b,12
FS1A_c,SMP566,12
FB7G,FB6S,12
CB2814,FS1B_a,12
PFNv,FS1A_b,12
FB6S,SMP181,12
hDeltaJ,FC3_c,12
FB4C,FB2A,12
FS1B_a,CL007,12
CB2550,FB2K,12
PEG,ER3a_c,12
ExR5,ER3p_a,12
ExR5,FB6V,12
FB5N,vDeltaJ,12
vDeltaM,FB4P_c,12
FB5Z,FB7E,12
FB2F_b,PFL1,12
LHAV6c1,FB2F_c,12
FB2I_b,FB4F_c,12
FB4I,FB4Z_c,12
FB4D_a,FR2,12
CB2148,FB1J,12
FB5S,FB5J,12
SMP167,FB8H,12
SLP268,FB7L,12
FS1B_b,CRE003_a,12
hDeltaM,FB5G_b,12
FC1E,ATL029,12
FB6I,FS4B,12
FB6I,FB7L,12
FB2J_c,FB2G_b,12
vDeltaE,FB6B,12
FB5V_b,FB5W_b,12
FB1G,EPG,12
FS4C,CB1685,12
CRE078,FB1C,12
FB8F_b,SMP352,12
FB1E_b,FS4B,12
SMP151,FB5O,12
FB8H,FC2B,12
FB7J,FB7C,12
vDeltaH,PFL2,12
WED155,FB4M,12
CB2784,FB4M,12
FB2F_c,FS2,12
FB7D_a,FS4A,12
CRE066,FB4F_b,12
FB8D,FB8H,12
vDeltaH,FB4N,12
AN04B023,ExR5,12
AOTU016_b,FB6M,12
FS3_b,SLP074,12
FC,FS1A_b,12
PS233,FB2K,12
CB2208,FB9A,12
FB2I_a,vDeltaE,12
FB5C,ExR5,12
FB4A_b,PFR_b,12
FB4M,FS3_c,12
FB7M,FB7C,12
SMP006,FB2C,12
CB4112,FB2B_b,12
LHPD5d1,FB5F,12
FB2L,PFL2,12
FB5Z,hDeltaK,12
LAL022,FB1C,12
FB2F_b,PFL3,12
FB2F_b,FB2D,12
SMP166,FB6H,12
5-HTPMPD01,FB6C_b,12
CB1339,FB2A,12
SIP047,FB6M,12
FB8G,FS3_b,12
FB7J,FB7D_a,12
FB1B,FC3_c,12
FC2C,CB4242,12
CB0734,IbSpsP,12
LHAD1d2,FB6S,12
FB6K,FB6A_b,12
FB4F_c,FB4D_c,12
CB2535,FS4A,12
FB5J,FC3_b,12
FB6J,FC3_c,12
LoVP64,FS4C,12
FB6C_a,FB8G,12
FC1C_b,FB2J_b,12
FB6J,FB6K,12
ExR3,PFL3,12
ExR3,hDeltaB,12
CB2784,FB2C,12
SMP150,FS1B_b,12
FC1C_b,FS3_d,12
FB1E_a,FS1A_b,12
FC1C_a,FB2C,12
CB2469,FB5F,12
PFNm_b,FB1J,12
FB9A,FB9A,12
FS2,SMP183,12
FB5S,FB5B,12
FB5R,FB5P,12
FS2,SIP042_b,12
vDeltaK,FB5C,12
PFL1,LAL061,12
SMP408_c,FB7E,12
FC1D,SMP562,12
FB4P_a,SMP081,12
FB4P_a,FB5X,12
FB7M,FB7L,12
FB5G_a,vDeltaF,12
FR2,CRE093,12
FR2,CB2357,12
SMP138,FB4F_c,12
FS3_d,hDeltaD,12
vDeltaH,FB5C,12
FS3_b,FB7J,12
FS2,FB6W,12
FS1B_a,SMP009,12
FB4J,FB4K,12
FS3_b,SMP135,12
FS3_b,FB6K,12
FB7B,hDeltaL,12
FB7B,CB1897,12
FS1B_a,CRE040,12
FC2C,FB6E,12
FB6A_a,FS4C,12
hDeltaC,FS1B_b,12
SLP372,FB8E,12
SIP003_a,FB4Q_b,12
FB1H,FS3_c,12
FB8I,FB7F,12
FS4A,SLP359,12
FB1E_a,FC3_a,12
FB2G_a,vDeltaG,12
WED129,FB2A,12
FB2F_c,FB4D_a,12
FC2C,CRE014,12
FC3_c,FB4N,12
hDeltaI,FB5A,12
FB6A_b,FB6Y,12
FC2A,FB4C,12
FB3C,FB3A,12
FB3C,FB2I_b,12
FC1D,PFR_b,12
FB6V,vDeltaF,12
FC2A,vDeltaK,12
FB6F,FB5B,12
PFR_a,LAL149,12
FB2G_b,FS3_b,12
FB7E,FB5Y_b,12
PFR_a,FC1C_a,12
SMP095,FB7A,12
OA-VPM3,FB2M_a,12
hDeltaA,FB4N,12
ExR2,FB1C,12
FB5M,FB4E_b,12
FC3_a,FB1G,12
ExR2,ER3d_e,12
FB4Y,ER4m,12
FB4Y,FB4E_a,12
FB2B_a,FB2G_a,12
CSD,FB8F_b,12
vDeltaG,FB4N,12
SMP010,FS1B_a,12
PFL3,LAL102,12
WED007,ER1_a,12
PPL107,FB2F_a,12
aMe26,FB2J_c,12
FB4M,PEG,12
SMP183,FS4C,12
CB2018,FC2B,12
hDeltaE,FB6C_a,12
FC2C,FB4N,12
FB5W_a,FB4Z_a,12
ER3d_b,ER2_b,12
FB2J_c,hDeltaJ,12
FB5I,FS2,12
ExR3,FS3_d,12
ExR3,FS1B_b,12
PFR_b,PFL2,12
PFR_b,LAL040,12
FB5Q,vDeltaG,12
FB4Y,FS1B_a,12
FB4Y,FB5P,12
FB4X,FC2C,12
FB4X,vDeltaE,12
PFL3,LoVC9,12
SMP142,FS1A_c,12
FC2A,LAL040,12
SA1_a,SAF,12
AN27X013,Delta7,12
FB1C,ExR5,12
ER5,ER3m,12
hDeltaA,FC3_a,12
FB3A,FR1,12
hDeltaG,FB6C_b,12
FB4M,FB2C,12
FB4A_a,FS2,12
FB4G,hDeltaJ,12
FB3A,FC2C,12
PFNa,FB1A,12
CRE055,ExR7,12
FB6O,hDeltaG,12
FB4F_c,FB4R,12
FB3C,FB2G_b,12
FB4O,FB5V_b,12
5-HTPMPD01,FB8F_b,12
OA-VPM3,FS4C,12
ATL043,IbSpsP,12
FB5V_a,FR2,12
vDeltaK,FB5R,12
FS4B,CB1884,12
FB5J,PFGs,12
FB5L,hDeltaJ,12
CB1838,SA2_b,12
FS3_c,FB7C,12
FS3_d,CB4134,12
FS3_d,SMP036,12
hDeltaM,FB5M,12
FS3_b,SMP153_b,12
FS1B_a,LAL035,12
FS1B_a,CRE024,12
FS3_a,FS1A_b,12
vDeltaL,FB4Z_b,12
FS3_c,PAM03,12
FS2,LHPV5e1,12
FB6N,FR1,12
FS3_b,FB6V,12
FS1A_c,FB5Z,12
FS1A_c,FC,12
FB4Z_c,vDeltaL,12
vDeltaA_b,FB7F,12
FS2,FB8I,12
FS1A_c,SMP143,12
FB4P_b,vDeltaM,12
vDeltaI_a,FB5U,12
FC1D,CRE100,12
FC,FS1A_a,12
EPGt,ER6,12
FS1A_c,SMP577,12
SIP015,FB8F_b,12
CB1406,FS4A,12
FB4Z_a,vDeltaM,12
FB6G,FS3_d,12
FB2D,FB2G_a,12
FS1B_b,FS1A_c,12
vDeltaJ,FB5P,12
vDeltaI_b,FC1C_a,12
FS1A_c,FB5F,12
