type_pre,type_post,weight
ExR4,PEN_b(PEN2),5030
ER3d_b,(untyped),4968
ER1_b,(untyped),4954
ER3d_d,ER3d_d,4895
FB6F,(untyped),4828
PEN_a(PEN1),EL,4799
PFGs,hDeltaK,4790
vDeltaG,(untyped),4790
FB5AA,(untyped),4764
ExR1,EL,4754
ER6,(untyped),4742
Delta7,PFL1,4732
hDeltaB,hDeltaK,4672
FB8I,(untyped),4637
FB6A_b,hDeltaF,4628
ER3w_b,(untyped),4620
FB6V,(untyped),4602
vDeltaF,(untyped),4589
EPG,ER6,4580
FB2I_a,FB2I_a,4554
FB2J_b,(untyped),4537
FB5G_c,(untyped),4531
FB8F_a,(untyped),4520
FB2H_b,(untyped),4519
FB8F_b,(untyped),4510
FB5Y_a,(untyped),4496
EL,(untyped),4493
PFNp_e,(untyped),4489
EPG,ER4m,4487
Delta7,PFNd,4470
FB6G,(untyped),4468
vDeltaM,(untyped),4437
PEG,ER6,4431
FB1C,(untyped),4409
FB4C,PFNd,4366
PFNv,hDeltaB,4344
FB2M_b,(untyped),4325
FB6S,(untyped),4314
Delta7,EPG,4294
ER1_a,EPG,4292
FB1B,(untyped),4287
FB5Z,(untyped),4274
FB1E_b,(untyped),4265
FB2G_a,(untyped),4249
hDeltaB,hDeltaJ,4232
FB2C,(untyped),4211
FB5A,FC2C,4190
EL,ER4d,4178
FS3_b,(untyped),4178
PFNa,FC1B,4151
(untyped),EPG,4144
ER2_a,ER2_a,4121
PFL1,LAL047,4086
ER3m,EPG,4085
ER3m,(untyped),4076
ER4m,EL,4052
ER3w_a,EPG,4034
vDeltaE,(untyped),4034
PFNd,FB3A,4020
hDeltaB,vDeltaM,4009
LNO1,PFNv,3989
PFNp_b,PFNp_b,3968
Delta7,PEG,3926
ER4d,EL,3917
FB6C_a,(untyped),3915
hDeltaA,PFL3,3881
LPsP,EPG,3870
FB2J_c,(untyped),3825
ExR2,(untyped),3819
FB6A_a,hDeltaF,3787
LCNOpm,(untyped),3756
vDeltaD,(untyped),3756
ExR6,EL,3750
vDeltaC,(untyped),3749
vDeltaB,(untyped),3735
FB4Q_a,(untyped),3724
FB7A,hDeltaE,3720
EL,EPG,3709
ER2_c,EL,3691
FB5Y_b,(untyped),3686
ER3d_b,EPG,3673
ER1_a,(untyped),3665
vDeltaA_b,(untyped),3655
FB4R,hDeltaB,3647
LCNOpm,PFNp_c,3638
AOTU046,ExR1,3608
FB2H_a,(untyped),3604
FB5E,(untyped),3604
ER6,PEG,3602
hDeltaB,hDeltaI,3575
vDeltaI_a,(untyped),3574
PFNd,LNO2,3542
FB4F_c,hDeltaI,3538
PFNp_d,(untyped),3523
FB2D,FC1B,3516
ER3w_c,EPG,3513
FB6A_c,hDeltaC,3485
hDeltaI,PFL3,3468
EPG,ExR4,3464
PFNd,PFR_a,3430
FB4E_a,(untyped),3418
FB4M,hDeltaB,3391
P6-8P9,(untyped),3372
PEN_b(PEN2),EL,3365
FB8G,hDeltaE,3349
FB5O,(untyped),3342
FB6W,(untyped),3325
ER2_d,EPG,3295
vDeltaA_a,hDeltaD,3285
FB6B,(untyped),3284
Delta7,PFL2,3269
vDeltaA_a,vDeltaA_a,3266
FB2I_b,(untyped),3256
ER3m,ExR1,3255
EL,ER3p_a,3253
FB5P,(untyped),3233
ER5,EPG,3222
FB5V_c,(untyped),3196
hDeltaL,FC2C,3187
PEN_a(PEN1),PEN_b(PEN2),3179
FB4A_a,(untyped),3177
FB7K,(untyped),3171
hDeltaB,FR1,3168
vDeltaK,hDeltaA,3168
ER3w_c,ER3w_b,3156
FB8E,(untyped),3149
FB6X,(untyped),3138
hDeltaB,PFGs,3125
ER3m,ER3a_a,3119
LCNOp,PFNp_a,3115
ER2_a,(untyped),3114
FB4Q_b,(untyped),3111
vDeltaB,hDeltaE,3102
IbSpsP,PFNa,3101
FB6Z,(untyped),3095
FB5B,(untyped),3069
PEN_b(PEN2),PEN_a(PEN1),3067
hDeltaJ,FC2A,3062
vDeltaM,vDeltaK,3058
ER3a_a,ExR1,3053
ER3d_b,ER3d_d,3023
PFL1,LAL048,3015
FB6C_b,hDeltaF,2989
LNO1,PFNd,2982
FB6T,(untyped),2981
ER3d_c,ER3d_c,2963
FB2J_a,(untyped),2955
FB4H,vDeltaK,2935
PFNa,FC1A,2914
LPsP,PEG,2894
FC2C,FB5A,2889
FB5A,FC2B,2887
LNO2,(untyped),2887
ER3d_e,ER3d_e,2884
vDeltaD,hDeltaL,2858
LNOa,(untyped),2856
FB4J,(untyped),2849
PFNp_c,PFNp_b,2847
hDeltaK,PFGs,2846
hDeltaB,FB4B,2835
FB4P_b,hDeltaA,2833
PFNp_c,PFNp_c,2822
PFNp_b,LCNOpm,2820
FC2B,FB5A,2810
FB2D,FC1A,2789
FB6F,hDeltaL,2764
PFNv,LNO1,2764
FB4K,hDeltaA,2754
FB2A,(untyped),2753
FB4D_c,(untyped),2753
EL,ER3d_b,2733
FB7C,(untyped),2717
FB5H,(untyped),2710
EPG,ER2_c,2701
FC2C,PFL3,2700
PFR_b,LAL002,2699
hDeltaA,FB4Z_a,2692
(untyped),ER4d,2677
FB3A,(untyped),2677
FB5M,(untyped),2676
FB5G_b,(untyped),2672
PFL3,LAL121,2671
PFR_a,hDeltaA,2666
FB5I,hDeltaC,2654
SAF,(untyped),2647
FB4D_a,(untyped),2646
PFNa,LNOa,2642
FB4D_b,(untyped),2628
FB1F,(untyped),2607
PFNa,FC1F,2604
ER2_c,ER4d,2601
EPG,ER4d,2598
LPsP,PEN_a(PEN1),2583
hDeltaJ,FC2B,2573
hDeltaJ,FB4X,2571
vDeltaL,(untyped),2556
FC2A,PFL3,2512
FB3E,(untyped),2509
FB9C,(untyped),2482
FB6R,(untyped),2479
FC2B,PFL3,2478
ER2_b,EPG,2474
FB5K,(untyped),2464
hDeltaH,FC2B,2437
hDeltaM,PFL3,2428
ER3d_d,ER3d_c,2421
hDeltaC,FC2B,2414
vDeltaL,hDeltaA,2406
vDeltaE,hDeltaG,2405
PEN_a(PEN1),GLNO,2397
SpsP,PFNd,2384
FB8B,(untyped),2384
vDeltaI_b,(untyped),2382
GLNO,(untyped),2374
FB6I,hDeltaF,2368
FB6C_b,hDeltaL,2367
EPGt,(untyped),2361
ER3d_c,ER3d_a,2360
hDeltaB,FB4N,2331
ER3d_d,ER3d_b,2316
PFL3,AOTU042,2287
SA1_b,(untyped),2255
PFL1,LAL087,2252
vDeltaM,hDeltaA,2250
FB2D,FC1F,2248
EPG,ExR1,2248
ExR3,ER3d_b,2245
PEG,PEN_b(PEN2),2238
PFNm_b,PFNm_b,2231
hDeltaF,FC2C,2223
ER6,PEN_b(PEN2),2223
PFNp_b,PFNp_c,2218
hDeltaB,hDeltaA,2216
IbSpsP,PFNd,2215
hDeltaE,FC2C,2207
ER4m,ER2_c,2202
ER3d_b,ExR1,2201
PFR_b,PFR_a,2199
hDeltaA,PFR_a,2195
Delta7,PFNv,2195
Delta7,PFNp_b,2188
ER3w_b,ER3w_c,2186
ER1_b,PEN_a(PEN1),2174
SA2_b,(untyped),2172
FB7F,(untyped),2159
ER1_a,ER1_b,2143
ER3d_c,EPG,2139
FB7I,hDeltaL,2130
ER3p_b,(untyped),2101
hDeltaB,vDeltaL,2094
ExR4,PEN_a(PEN1),2092
ExR3,hDeltaK,2092
EPG,LPsP,2088
FB7B,(untyped),2074
ER2_a,EL,2069
vDeltaH,(untyped),2067
LCNOpm,PFNm_b,2060
FB8A,(untyped),2058
PFNa,FC1D,2057
LCNOpm,PFNm_a,2056
FB6D,hDeltaF,2047
FB6C_b,hDeltaC,2032
(untyped),hDeltaA,2028
FC1D,FB2D,2019
FC2C,PFL2,2013
ER3d_a,ER3d_c,2012
