post,pre,modulator,syn,share,pre_in_cx,hb_syn
FB5A,FB4Y,serotonin,37,0.002,True,123
FB5G_b,ExR3,serotonin,36,0.029,True,0
ExR4,FB4Y,serotonin,35,0.002,True,76
FC2C,ExR3,serotonin,34,0.001,True,49
hDeltaC,FB4Y,serotonin,33,0.001,True,47
FB8F_a,5-HTPMPD01,serotonin,32,0.007,False,47
IbSpsP,5-HTPMPV03,serotonin,32,0.002,False,47
FB5X,FB4Y,serotonin,31,0.003,True,75
FB6K,ExR3,serotonin,31,0.006,True,25
FC2C,FB4Y,serotonin,30,0.001,True,52
