body_pre,body_post,weight
514689,287884,14
10187,31656,14
10187,32718,14
10187,15325,14
10187,25808,14
10997,21519,14
10187,20231,14
10187,20951,14
18422,287884,14
113565,14225,14
12091,522992,14
517726,10187,14
12055,15919,14
16908,287884,14
11618,48421,14
10110,10537,14
188519,519616,14
10041,517512,14
10041,38706,14
168481,519616,14
536057,287884,14
31336,10187,14
19974,287884,14
10514,544359,14
287884,15768,14
287884,13417,14
10479,11053,14
287884,102689,14
287884,27195,14
287884,30313,14
287884,28767,14
15310,581422,14
287884,29493,14
287884,29701,14
287884,39465,14
12902,581422,14
12091,16008,13
24291,287884,13
529808,11516,13
24291,10187,13
24291,11752,13
287884,59983,13
287884,60086,13
10187,539328,13
10187,517726,13
10187,525061,13
287884,16158,13
10187,512362,13
287884,25773,13
287884,27179,13
287884,511842,13
287884,512362,13
10187,11083,13
10187,28146,13
10187,27109,13
10187,15919,13
10187,15768,13
10187,17816,13
10187,32122,13
10187,34924,13
25549,10168,13
10744,287884,13
10041,10537,13
57935,11618,13
515221,11618,13
10041,515933,13
10110,18156,13
10110,11497,13
13428,48421,13
21519,287884,13
18156,12055,13
38706,12055,13
15929,10187,13
12333,10187,13
15310,108860,13
155194,14705,13
162733,515048,13
10187,527427,12
10187,518831,12
10187,515192,12
10187,22291,12
10187,22683,12
10187,25713,12
287884,11497,12
287884,10514,12
10187,20520,12
287884,10537,12
10187,42739,12
10187,28767,12
10187,29493,12
10187,29701,12
10187,15888,12
10187,13417,12
287884,516919,12
287884,522993,12
287884,77090,12
287884,23630,12
10997,11053,12
287884,20781,12
287884,30653,12
287884,28190,12
12248,200973,12
56350,287884,12
529808,11497,12
11083,544359,12
16214,10168,12
12333,287884,12
532800,10168,12
21519,10187,12
15310,63122,12
104220,13428,12
12055,10537,12
12858,10537,12
11497,10187,12
94433,11618,12
43756,287884,12
517726,287884,12
10110,91633,12
15929,287884,12
10110,15674,12
10110,10969,12
517512,12055,12
10041,520817,12
10041,515463,12
13142,10187,12
68268,10187,12
10072,15409,12
11197,10187,12
10568,287884,12
171780,519616,12
117040,14225,12
522790,12688,12
12674,287884,11
10041,517726,11
10041,15768,11
29582,287884,11
287884,43881,11
287884,28254,11
287884,27191,11
287884,24683,11
287884,26065,11
287884,35912,11
287884,80750,11
287884,11673,11
287884,13033,11
287884,22291,11
287884,23779,11
287884,20231,11
287884,20951,11
287884,533946,11
523807,12055,11
287884,525224,11
287884,513518,11
13428,48335,11
12763,10187,11
38835,11618,11
68268,287884,11
10072,533725,11
521635,10168,11
10545,25529,11
10110,12359,11
12311,10187,11
10110,25939,11
10110,517726,11
10110,520817,11
518604,13428,11
18156,12091,11
25371,520403,11
14705,31073,11
11618,33919,11
524655,13428,11
66695,287884,11
12091,26443,11
85527,13428,11
10187,75614,11
10187,75688,11
28286,287884,11
515933,12091,11
10187,42118,11
10187,44256,11
10187,44669,11
10187,529127,11
10187,513702,11
10187,511846,11
10187,515960,11
10187,521637,11
10187,20565,11
10187,24436,11
10187,22884,11
10187,19367,11
10187,30329,11
10187,13033,11
10187,30068,11
28286,14182,10
10011,434891,10
13862,287884,10
14521,549508,10
46571,200973,10
18670,10168,10
519616,521584,10
287884,524654,10
287884,529127,10
287884,525061,10
287884,515298,10
287884,521637,10
287884,72430,10
287884,69064,10
287884,16303,10
287884,15919,10
287884,44256,10
287884,46209,10
287884,36423,10
287884,59108,10
287884,48667,10
287884,19564,10
287884,23281,10
287884,17728,10
287884,30329,10
287884,27430,10
287884,27655,10
10997,23800,10
10041,11497,10
10041,12221,10
150034,41743,10
150034,17874,10
12311,287884,10
22884,10187,10
512793,12055,10
10011,543506,10
10185,12506,10
10168,12333,10
10168,13559,10
10185,105436,10
15924,11618,10
10110,99346,10
10110,518220,10
10072,40768,10
49618,14225,10
10072,131313,10
519947,11497,10
18436,10537,10
18436,549508,10
11618,36785,10
15344,43866,10
15344,42515,10
10187,13418,10
10187,13559,10
34011,10187,10
10187,518779,10
10187,515298,10
10187,531755,10
10187,541755,10
10187,526085,10
10187,33293,10
10187,43756,10
10187,39465,10
10187,39091,10
10187,19564,10
10187,28559,10
10187,53837,10
10187,51611,10
10187,47546,10
10187,49288,10
10187,59288,10
12055,523807,10
13428,108860,10
39753,12055,10
517012,66934,10
10453,143120,10
10453,520403,10
56350,14182,10
524067,287884,10
12055,17419,10
17874,10187,10
21053,287884,10
12902,23473,10
14705,525448,9
14705,515810,9
38832,10187,9
14705,46809,9
15310,532124,9
15310,536058,9
15310,15924,9
25045,11618,9
15325,287884,9
59929,11752,9
46209,287884,9
62443,287884,9
12248,17155,9
35293,10187,9
553201,518704,9
553201,34750,9
553201,19564,9
547298,14705,9
10187,58561,9
10187,59983,9
10187,46571,9
10187,41277,9
10187,52041,9
10187,49839,9
10187,69954,9
10187,513518,9
10187,542590,9
10187,529128,9
10187,527475,9
524351,10187,9
10187,16303,9
10187,18586,9
10187,17728,9
10187,12083,9
10187,32432,9
10187,30927,9
13033,287884,9
10187,26962,9
10187,30781,9
10187,27326,9
10187,28254,9
10187,26666,9
10187,27213,9
10187,28248,9
519616,25131,9
519616,36785,9
18437,11618,9
11618,22521,9
11618,87121,9
522790,287884,9
536443,287884,9
556502,287884,9
11618,581422,9
75789,287884,9
18899,36624,9
10011,16540,9
10011,16180,9
12083,287884,9
53755,10187,9
104220,91391,9
61398,11618,9
11083,200973,9
13428,36785,9
287884,12333,9
287884,11326,9
287884,14677,9
287884,521644,9
287884,526085,9
287884,90574,9
287884,84873,9
287884,542590,9
287884,30541,9
287884,32451,9
287884,27106,9
287884,33307,9
287884,16800,9
287884,57278,9
287884,57384,9
287884,72957,9
287884,80130,9
287884,68268,9
287884,52649,9
10997,555342,9
12902,105436,9
12902,63122,9
51891,512326,9
10110,14881,9
10110,15919,9
10110,109669,9
22083,287884,9
10110,74917,9
10110,82342,9
529707,533727,9
529707,123377,9
513376,10187,9
39091,10187,9
16430,287884,9
15344,71991,9
524067,10187,9
287884,67741,8
287884,67167,8
287884,88014,8
287884,35429,8
287884,34909,8
287884,28258,8
287884,27422,8
287884,34011,8
287884,32122,8
287884,43161,8
287884,44669,8
287884,42440,8
287884,46358,8
287884,47528,8
287884,149469,8
287884,529129,8
287884,514184,8
287884,520468,8
10050,12706,8
10011,13217,8
10011,11184,8
24436,10187,8
10011,16553,8
10011,15839,8
10537,287884,8
10041,99346,8
10041,556502,8
10041,34900,8
10041,11516,8
12674,200973,8
287884,14975,8
287884,24436,8
287884,22657,8
287884,22884,8
287884,17991,8
287884,20565,8
287884,23180,8
287884,13490,8
287884,11557,8
568155,10072,8
520727,287884,8
14705,80415,8
11618,52728,8
31911,10187,8
19651,19011,8
10545,23800,8
30927,287884,8
14521,59425,8
14521,533727,8
23846,10187,8
520210,10041,8
517548,10187,8
36227,287884,8
159401,515048,8
12902,15924,8
17720,287884,8
150034,27326,8
13862,10187,8
10110,98136,8
10110,15768,8
10110,12104,8
10110,33293,8
10110,28146,8
10110,23325,8
55161,10187,8
18899,544359,8
117521,21145,8
188519,518137,8
535072,515048,8
526638,10187,8
71363,515048,8
515933,12055,8
12055,520818,8
12055,524073,8
27195,287884,8
15888,10187,8
36423,287884,8
33598,10168,8
29152,287884,8
513354,25529,8
516663,10168,8
516663,10175,8
18065,544359,8
522790,10187,8
163929,515048,8
514997,10479,8
514997,10545,8
28286,10187,8
536443,10187,8
519616,24436,8
519616,33191,8
519616,24821,8
519616,79273,8
519616,520338,8
10185,108860,8
514689,10187,8
10072,15495,8
10072,16553,8
525224,10187,8
10072,52903,8
23601,10187,8
10187,11326,8
10187,14975,8
10187,14120,8
10187,33410,8
10187,34011,8
10187,38832,8
10187,23231,8
10187,23779,8
10187,20781,8
10187,28258,8
10187,27191,8
10187,28190,8
10187,27492,8
