type,dimorphism,fruDsx,superclass,syn_to_cx,syn_from_cx,top_cx_targets,top_cx_sources
SMP555,sexually dimorphic,fru_high,cb_intrinsic,151,7,"[('FB5N', 39), ('FB4F_c', 23), ('FB5A', 15), ('FB5W_a', 14)]","[('FB4G', 3), ('FB1H', 2), ('FB5N', 2)]"
SMP556,sexually dimorphic,fru_high,cb_intrinsic,214,2,"[('FB5N', 42), ('FB4F_c', 33), ('FB5W_a', 32), ('FB5A', 25)]","[('FB4F_a', 1), ('FB4P_c', 1)]"
SMP577,,fru_low,cb_intrinsic,627,220,"[('FB5Q', 103), ('FB4O', 69), ('FB4N', 68), ('FB5P', 59)]","[('FC1C_a', 63), ('FS1B_a', 53), ('FC1C_b', 49), ('FC', 13)]"
SMP598,sexually dimorphic,,cb_intrinsic,316,17,"[('FB1C', 68), ('FB8I', 51), ('FB5G_b', 32), ('FB7G', 23)]","[('FS3_d', 10), ('FS3_b', 2), ('FB6G', 1), ('FB6C_b', 1)]"
SMP712m,male-specific,fru_high,cb_intrinsic,306,33,"[('FC2B', 75), ('FB4G', 51), ('FB4K', 40), ('FC2A', 37)]","[('FC2A', 9), ('FC2B', 8), ('FB4O', 3), ('FB4E_a', 2)]"
SMP714m,male-specific,fru_high,cb_intrinsic,180,36,"[('FB4Y', 117), ('FB1H', 16), ('FB4G', 8), ('FB5AB', 7)]","[('FB4K', 8), ('FB4P_a', 8), ('FB4H', 3), ('FB1H', 2)]"
SMP728m,male-specific,,cb_intrinsic,121,1,"[('FB4N', 115), ('FB5A', 2), ('FB4F_c', 2), ('FB6S', 1)]","[('FB5A', 1)]"
SMP743,,fru_low,cb_intrinsic,876,31,"[('FB6H', 186), ('FB8I', 142), ('FB7G', 135), ('FB7A', 87)]","[('FS4A', 8), ('FS3_b', 5), ('FB6C_b', 5), ('FB8I', 4)]"
aIPg1,sexually dimorphic,fru_high,cb_intrinsic,169,5,"[('FB1C', 115), ('FB5A', 19), ('FB4H', 10), ('FB4Y', 9)]","[('FB2B_b', 2), ('FB2B_a', 1), ('FB4G', 1), ('FB5D', 1)]"
aIPg5,sexually dimorphic,fru_high,cb_intrinsic,283,8,"[('FB1H', 73), ('FB4Y', 43), ('FB4E_a', 34), ('FB5V_a', 26)]","[('FB1H', 4), ('FB5D', 2), ('FB4H', 1), ('FB5L', 1)]"
aIPg9,,fru_low,cb_intrinsic,119,8,"[('FB4Y', 36), ('FB4H', 35), ('FB4M', 8), ('FB4N', 7)]","[('FB5A', 3), ('FB4R', 2), ('FS1A_c', 1), ('FB1H', 1)]"
aIPg_m1,male-specific,fru_high,cb_intrinsic,281,2,"[('FB5A', 115), ('FB4Y', 62), ('FB1C', 38), ('FB1H', 35)]","[('FB4R', 1), ('FB4P_a', 1)]"
aIPg_m2,male-specific,fru_high,cb_intrinsic,270,3,"[('FB5A', 98), ('FB1C', 95), ('FB4Y', 23), ('FB4H', 19)]","[('FB1C', 1), ('FB4R', 1), ('FB4Y', 1)]"
hDeltaA,,fru_low,cb_intrinsic,19793,47380,"[('PFL3', 3881), ('FB4Z_a', 2692), ('PFR_a', 2195), ('FB4Z_c', 1544)]","[('vDeltaK', 3168), ('FB4P_b', 2833), ('FB4K', 2754), ('PFR_a', 2666)]"
hDeltaB,,fru_low,cb_intrinsic,62791,45236,"[('PFR_a', 6717), ('PFR_b', 5787), ('hDeltaK', 4672), ('hDeltaJ', 4232)]","[('PFNd', 20165), ('FB4B', 5373), ('PFNv', 4344), ('FB4R', 3647)]"
hDeltaI,,fru_low,cb_intrinsic,14914,35228,"[('PFL3', 3468), ('PFL2', 1942), ('FB4P_a', 988), ('FB4E_a', 933)]","[('hDeltaB', 3575), ('FB4F_c', 3538), ('FB2G_b', 1856), ('FB4E_a', 1730)]"
hDeltaJ,,fru_low,cb_intrinsic,21935,36445,"[('FC2A', 3062), ('FC2B', 2573), ('FB4X', 2571), ('FB5I', 1370)]","[('hDeltaB', 4232), ('FB4A_a', 1854), ('PFNp_c', 1705), ('FB4X', 1651)]"
hDeltaL,,fru_low,cb_intrinsic,16907,35240,"[('FC2C', 3187), ('FS2', 1885), ('FB6J', 1061), ('vDeltaD', 844)]","[('vDeltaD', 2858), ('FB6F', 2764), ('FB6C_b', 2367), ('FB7I', 2130)]"
hDeltaM,,fru_low,cb_intrinsic,11964,24485,"[('PFL3', 2428), ('PFL2', 1555), ('FC2B', 958), ('FB5A', 888)]","[('FB5A', 1611), ('FB2M_a', 1540), ('FB5N', 1357), ('FB5Q', 1256)]"
oviIN,sexually dimorphic,,cb_intrinsic,3089,4035,"[('FC2C', 418), ('FB5Z', 263), ('FB5Q', 261), ('FB5P', 207)]","[('FS1A_a', 780), ('FC2C', 682), ('FS1A_b', 633), ('FC2B', 631)]"
