type,dimorphism,fruDsx,superclass,syn_to_cx,syn_from_cx,top_cx_targets,top_cx_sources
FC1A,,fru_low,cb_intrinsic,10714,10584,"[('FB2B_a', 1359), ('FB2D', 966), ('PFL1', 672), ('FC1E', 666)]","[('PFNa', 2914), ('FB2D', 2789), ('FB2B_a', 945), ('FB2I_b', 357)]"
FC1B,,fru_low,cb_intrinsic,11746,13812,"[('FB2B_a', 1696), ('FB2A', 730), ('FB2D', 677), ('hDeltaC', 665)]","[('PFNa', 4151), ('FB2D', 3516), ('FB2B_a', 1269), ('FB1G', 872)]"
FC1C_a,,fru_low,cb_intrinsic,2568,5788,"[('FB2D', 511), ('PFL1', 280), ('FB3C', 226), ('FB2B_b', 132)]","[('FB2F_a', 579), ('FB2B_a', 468), ('FB2B_b', 448), ('FC1A', 377)]"
FC1C_b,,fru_low,cb_intrinsic,4616,8295,"[('FB2D', 1055), ('PFL1', 554), ('FB3C', 412), ('FB2B_b', 287)]","[('FB2B_b', 749), ('FB2F_a', 719), ('FB2B_a', 670), ('FC1D', 668)]"
FC1D,,fru_low,cb_intrinsic,11419,11181,"[('FB2D', 2019), ('PFL1', 1349), ('FB2B_b', 743), ('FC1C_b', 668)]","[('PFNa', 2057), ('FB2D', 1994), ('FC1A', 649), ('FB2B_a', 566)]"
FC1E,,fru_low,cb_intrinsic,7856,9223,"[('FB2D', 1789), ('PFL1', 849), ('FB2B_b', 502), ('FR2', 336)]","[('PFNa', 790), ('FB2B_b', 682), ('FC1A', 666), ('FB2D', 630)]"
FC1F,,fru_low,cb_intrinsic,7564,9344,"[('FB2B_a', 936), ('FB2D', 439), ('hDeltaC', 421), ('FC1C_b', 366)]","[('PFNa', 2604), ('FB2D', 2248), ('FB2B_a', 844), ('FB1G', 797)]"
FC3_b,,fru_low,cb_intrinsic,13425,9693,"[('PFR_a', 1211), ('vDeltaG', 852), ('hDeltaH', 745), ('PFGs', 695)]","[('FB3C', 1031), ('PFNa', 909), ('FB1G', 833), ('ExR5', 535)]"
FC3_c,,fru_low,cb_intrinsic,10061,9308,"[('PFR_a', 678), ('FR1', 512), ('hDeltaJ', 474), ('FB3C', 473)]","[('PFNa', 1171), ('FB2D', 1090), ('FB3C', 739), ('FB1G', 579)]"
IPC,,fru_high,cb_endocrine,18,415,"[('hDeltaE', 6), ('hDeltaD', 4), ('vDeltaA_b', 2), ('FB8A', 2)]","[('vDeltaA_b', 103), ('FB8B', 96), ('hDeltaD', 52), ('FB7L', 45)]"
LAL003,,fru_high,cb_intrinsic,198,49,"[('FB5A', 104), ('ExR6', 27), ('FB2K', 19), ('PFL3', 11)]","[('PFL3', 35), ('PFL2', 8), ('ExR4', 1), ('ExR6', 1)]"
LAL023,,fru_low,cb_intrinsic,108,44,"[('PFL3', 33), ('FB2K', 33), ('FB5A', 30), ('FB4E_c', 2)]","[('PFL3', 36), ('PFL2', 3), ('PFL1', 1), ('FS1A_a', 1)]"
LAL024,,fru_low,cb_intrinsic,139,58,"[('LNO2', 81), ('LCNOpm', 12), ('LNO1', 10), ('ExR6', 9)]","[('PFL1', 20), ('FS1A_c', 7), ('FS1A_b', 6), ('FR2', 5)]"
LAL032,,fru_low,cb_intrinsic,268,88,"[('FB2G_b', 58), ('FB4N', 56), ('LCNOpm', 52), ('LNO1', 39)]","[('FB6M', 29), ('FC1E', 19), ('FC1D', 14), ('FC1C_b', 10)]"
LAL034,,fru_low,cb_intrinsic,871,67,"[('LCNOpm', 506), ('LNO1', 104), ('FB1C', 37), ('FB4X', 32)]","[('FB6M', 34), ('ExR6', 7), ('FC1D', 5), ('FB5K', 5)]"
LAL035,,fru_low,cb_intrinsic,385,140,"[('LCNOpm', 182), ('LNO2', 98), ('LNO1', 65), ('LCNOp', 8)]","[('ExR7', 37), ('FS1A_c', 23), ('FC', 16), ('FS1B_a', 12)]"
LAL037,,fru_low,cb_intrinsic,405,0,"[('LCNOpm', 201), ('LNO1', 54), ('LNOa', 35), ('FB5AB', 21)]",[]
LAL045,,fru_low,cb_intrinsic,255,365,"[('FB4I', 64), ('FB4K', 44), ('FB4F_b', 38), ('FB4F_a', 28)]","[('PFL3', 244), ('FC2B', 80), ('FC2C', 23), ('FB4G', 3)]"
LAL050,,fru_low,cb_intrinsic,819,67,"[('LCNOpm', 573), ('LNO1', 100), ('ExR6', 55), ('ExR4', 47)]","[('ExR7', 40), ('ExR8', 5), ('LCNOpm', 4), ('FB5L', 4)]"
LAL059,,fru_high,cb_intrinsic,363,3,"[('FB3A', 152), ('FB4B', 66), ('LNO2', 53), ('ExR4', 38)]","[('ExR2', 2), ('PFL1', 1)]"
LAL063,,fru_high,cb_intrinsic,131,20,"[('FB2D', 33), ('ExR6', 31), ('FB2G_b', 16), ('FB4C', 14)]","[('PFR_b', 2), ('PEG', 2), ('ExR3', 2), ('ER1_b', 2)]"
LAL071,,fru_low,cb_intrinsic,164,136,"[('FB2L', 31), ('FB2D', 20), ('FB3C', 14), ('FB4H', 11)]","[('PFL1', 82), ('FC2A', 15), ('FC1D', 6), ('ExR5', 5)]"
LAL073,,fru_low,cb_intrinsic,333,1284,"[('ExR4', 108), ('ExR6', 87), ('FB2K', 66), ('ER5', 29)]","[('PFL2', 1190), ('PFL3', 57), ('ER5', 17), ('PFL1', 6)]"
LAL074,,fru_high,cb_intrinsic,20,124,"[('FC2C', 6), ('FS3_d', 2), ('FS1B_b', 2), ('FB4B', 2)]","[('PFL2', 105), ('PFL3', 10), ('PFL1', 4), ('LNO2', 2)]"
LAL075,,fru_high,cb_intrinsic,239,418,"[('FB2K', 142), ('FB2L', 19), ('FB5Z', 13), ('FB2C', 13)]","[('PFL2', 255), ('PFL3', 84), ('FC1D', 38), ('FC1E', 14)]"
LAL120_a,,fru_low,cb_intrinsic,78,118,"[('FB4E_a', 20), ('FB2K', 12), ('FB4E_b', 11), ('FB4I', 8)]","[('PFL2', 39), ('ExR6', 19), ('PFL3', 16), ('ExR8', 15)]"
LAL120_b,,fru_high,cb_intrinsic,51,654,"[('FB2K', 27), ('FB3A', 5), ('PFL2', 4), ('ExR4', 3)]","[('PFL2', 498), ('PFL3', 128), ('ExR6', 5), ('LNO1', 4)]"
LAL126,,fru_low,cb_intrinsic,16,1338,"[('PFL3', 8), ('LNO2', 6), ('LPsP', 1), ('FB2K', 1)]","[('PFL3', 1321), ('PFL1', 8), ('PFL2', 3), ('ExR8', 2)]"
LAL138,,fru_low,cb_intrinsic,771,44,"[('ER1_b', 548), ('ER3a_b', 86), ('FB2A', 30), ('ExR6', 22)]","[('PFL1', 19), ('FB4L', 7), ('FR2', 6), ('ER1_b', 3)]"
LAL144,,dsx_low,cb_intrinsic,768,7,"[('LCNOpm', 528), ('LNO2', 89), ('LNO1', 65), ('LNOa', 33)]","[('LCNOpm', 1), ('LNO2', 1), ('LNO1', 1), ('GLNO', 1)]"
LAL153,,fru_low,cb_intrinsic,412,18,"[('LCNOp', 330), ('FB5A', 26), ('FB5V_a', 14), ('LNO1', 7)]","[('ExR2', 3), ('LNO2', 3), ('PFL2', 2), ('PFL3', 2)]"
LAL166,,fru_low,cb_intrinsic,292,24,"[('FB6M', 163), ('FB3A', 52), ('SpsP', 32), ('LNO2', 31)]","[('ExR8', 19), ('ExR2', 3), ('ExR3', 1), ('FB2D', 1)]"
LAL167,,fru_low,cb_intrinsic,253,9,"[('FB3A', 148), ('LNO2', 81), ('FB6M', 9), ('SpsP', 8)]","[('LNO2', 2), ('ExR6', 2), ('FB4B', 2), ('LNOa', 1)]"
LAL168,,fru_low,cb_intrinsic,867,146,"[('LNO2', 355), ('SpsP', 170), ('FB3A', 165), ('FB6M', 75)]","[('ExR8', 121), ('ExR2', 10), ('ExR7', 7), ('LNO2', 3)]"
LAL180,,fru_low,cb_intrinsic,139,69,"[('SpsP', 104), ('FB6M', 27), ('FB1C', 5), ('FB3A', 2)]","[('ExR7', 56), ('ExR6', 5), ('FB1C', 2), ('FB1H', 2)]"
LAL186,,fru_high,cb_intrinsic,140,26,"[('FB4Y', 47), ('FB4P_a', 16), ('FB5D', 14), ('LCNOpm', 12)]","[('ExR6', 22), ('LCNOpm', 1), ('LPsP', 1), ('FB1H', 1)]"
LAL195,,fru_low,cb_intrinsic,0,321,[],"[('PEG', 192), ('PFL3', 38), ('ER1_b', 23), ('PFR_b', 19)]"
LAL300m,male-specific,dsx_high,cb_intrinsic,427,4,"[('LCNOpm', 284), ('LNO2', 93), ('ExR4', 22), ('FB5V_c', 11)]","[('ExR6', 2), ('LCNOpm', 1), ('LNO2', 1)]"
LAL303m,male-specific,dsx_high,cb_intrinsic,686,11,"[('LCNOpm', 251), ('LNO2', 171), ('ExR6', 92), ('LCNOp', 63)]","[('LCNOpm', 3), ('ExR4', 2), ('ExR2', 2), ('LNO2', 1)]"
LC33,,fru_low,visual_projection,828,698,"[('FB5A', 241), ('ExR6', 94), ('PFL3', 73), ('FB2D', 67)]","[('PFL3', 550), ('PFL2', 39), ('FC2C', 28), ('ExR5', 24)]"
LHPV6q1,,fru_high,cb_intrinsic,1784,68,"[('FB2A', 356), ('ER3a_b', 341), ('EPG', 308), ('ER1_b', 169)]","[('PFL1', 18), ('FS1B_b', 10), ('EPG', 8), ('ExR3', 7)]"
