pre,post,male_syn,female_syn,male_share,female_share,log2_ratio,pre_dimorphic,post_dimorphic
EL,ER3a_c,293,642,0.068,0.1981,-1.54,False,False
ER3d_d,ER3d_a,917,431,0.0855,0.0295,1.53,False,False
SLP247,FB4X,314,102,0.0356,0.0123,1.52,False,False
FB4F_a,hDeltaI,1536,3556,0.0416,0.1184,-1.51,False,True
PFNm_a,LCNOpm,397,579,0.0226,0.0647,-1.51,False,False
ER2_d,ER4m,364,602,0.013,0.0373,-1.51,False,False
ER3d_b,ER3p_b,681,319,0.153,0.054,1.5,False,False
FB1C,FC2A,105,343,0.0033,0.0094,-1.5,False,False
hDeltaE,FS4B,81,380,0.0158,0.0448,-1.5,False,False
PFNp_c,PFNm_b,908,199,0.0722,0.0258,1.48,False,False
