type,n_cells,total_in,total_out
AN07B035,4,3602,29386
AN07B036,2,4968,16806
AN07B037_a,4,3198,46748
AN07B037_b,2,2355,34937
AN07B040,2,727,14908
AN07B041,4,1926,14310
AN07B042,4,2953,15974
AN07B043,2,688,13126
AN07B045,7,6303,27356
AN07B046_a,4,3206,15918
AN07B046_b,2,1611,7348
AN07B046_c,2,3998,21093
AN07B049,8,5747,30793
AN07B050,4,2293,11649
AN07B052,6,6011,26232
AN07B056,7,4078,13620
AN07B057,2,419,7360
AN07B060,6,3941,14675
AN07B062,9,7409,28381
AN07B063,2,1489,3682
AN07B069_a,4,1914,6148
AN07B069_b,10,4077,14379
AN07B070,6,3072,14789
AN07B071_a,2,1050,3599
AN07B071_b,2,689,4722
AN07B071_c,4,1084,8163
AN07B071_d,4,1606,8487
AN07B072_a,3,977,5579
AN07B072_b,3,1032,4885
AN07B072_c,2,726,3244
AN07B072_d,3,1032,5709
AN07B072_e,6,2255,21071
AN07B072_f,2,776,2857
AN07B076,5,4141,11409
AN07B078_a,2,482,4224
AN07B078_b,2,665,4596
AN07B082_a,2,591,5839
AN07B082_b,2,520,6526
AN07B082_c,2,674,6800
AN07B082_d,2,880,6539
AN07B085,9,3195,16393
AN07B089,12,3364,23563
AN07B091,5,1990,6756
AN07B097,1,281,1677
AN07B100,2,292,1580
AN07B101_a,2,465,3270
AN07B101_b,3,515,5384
AN07B101_c,2,337,3682
AN07B106,2,1413,19840
AN07B110,6,959,6276
AN07B116,1,758,2955
AN08B005,2,7924,31582
AN08B007,2,10352,22899
AN08B009,4,18792,55072
AN08B010,4,16026,47977
AN08B012,4,51047,54670
AN08B013,2,6303,32341
AN08B014,2,4555,24543
AN08B015,2,5417,16560
AN08B016,2,6345,18729
AN08B018,14,49098,155407
AN08B020,2,4862,33926
AN08B022,6,11257,69214
AN08B023,6,23581,51028
AN08B024,6,14921,58512
AN08B025,2,4442,16987
AN08B026,6,10390,64508
AN08B027,2,3227,24537
AN08B028,4,11119,30301
AN08B031,6,13907,27681
AN08B032,2,4663,21050
AN08B034,6,21575,52381
AN08B035,1,1460,984
AN08B041,2,4588,11268
AN08B043,2,4294,6442
AN08B047,5,6456,4587
AN08B048,2,2753,15138
AN08B049,4,9236,22116
AN08B050,2,2914,12733
AN08B053,2,3654,11449
AN08B057,2,1214,12905
AN08B059,5,9189,17337
AN08B061,7,11279,9730
AN08B066,2,2083,9504
AN08B069,2,2980,9859
AN08B074,6,5161,28353
AN08B079_a,7,5282,21318
AN08B079_b,8,8587,22967
AN08B081,4,5547,14313
AN08B084,4,4044,14269
AN08B086,2,2489,9105
AN08B089,2,1563,5203
AN08B094,3,2578,7153
AN08B095,2,1749,6285
AN08B096,3,930,4341
AN08B097,5,3164,10587
AN08B098,10,7166,11580
AN08B099_a,4,1877,9275
AN08B099_b,2,1774,3490
AN08B099_c,2,2058,3784
