ascending,relay,cx_target,path_min,an_to_relay,relay_to_cx,relay_share_of_cx_input
ANXXX254,oviIN,FB5Q,135,135,261,0.038
ANXXX254,oviIN,FB5P,135,135,207,0.059
ANXXX254,oviIN,FB7E,135,135,205,0.031
ANXXX254,oviIN,FB5X,135,135,191,0.02
AN19B019,SIP064,FB4M,134,134,468,0.023
AN19B019,SIP064,FB4L,134,134,394,0.041
AN19B019,SIP064,FB6M,134,134,213,0.032
AN04B051,oviIN,FB5F,133,358,133,0.038
AN05B097,oviIN,FB5F,133,253,133,0.038
ANXXX254,oviIN,FB5F,133,135,133,0.038
AN18B023,OLVC5,IbSpsP,130,130,831,0.049
AN08B014,DNpe053,FB8B,130,130,251,0.057
AN08B014,DNpe053,FB8C,130,130,186,0.039
AN19A018,OLVC5,IbSpsP,128,128,831,0.049
AN08B014,CRE004,FB4G,128,195,128,0.021
AN05B101,SMP347,FB6A_c,128,128,343,0.036
AN05B101,SMP347,FB6A_b,128,128,265,0.04
AN05B101,SMP347,FB6A_a,128,128,239,0.028
ANXXX136,PRW009,FB6D,126,568,126,0.02
AN19A018,mALB5,FB4L,126,126,339,0.035
AN08B027,GNG311,IbSpsP,121,121,1913,0.113
ANXXX152,oviIN,FB5Z,120,120,263,0.071
ANXXX152,oviIN,FB5Q,120,120,261,0.038
ANXXX152,oviIN,FB5P,120,120,207,0.059
ANXXX152,oviIN,FB7E,120,120,205,0.031
ANXXX152,oviIN,FB5X,120,120,191,0.02
ANXXX152,oviIN,FB5F,120,120,133,0.038
AN04B051,oviIN,FB6X,118,358,118,0.047
AN05B097,oviIN,FB6X,118,253,118,0.047
ANXXX254,oviIN,FB6X,118,135,118,0.047
ANXXX152,oviIN,FB6X,118,120,118,0.047
AN19B019,PLP032,ExR3,116,116,325,0.022
AN07B037_a,LAL145,LCNOpm,114,114,430,0.025
AN17A012,AstA1,FB8H,113,444,113,0.025
AN05B101,AstA1,FB8H,113,368,113,0.025
AN05B097,AstA1,FB8H,113,168,113,0.025
ANXXX116,AstA1,FB8H,113,115,113,0.025
AN05B025,AstA1,FB8H,113,115,113,0.025
AN07B004,LAL157,LNO1,113,113,664,0.061
AN05B107,DNpe053,FB8B,109,109,251,0.057
AN05B107,DNpe053,FB8C,109,109,186,0.039
AN10B005,DNpe027,LCNOp,107,107,162,0.024
AN04B023,AOTU046,ExR1,107,107,3608,0.066
AN17A026,DNpe053,FB8B,105,105,251,0.057
AN17A026,DNpe053,FB8C,105,105,186,0.039
AN19B019,SMP122,FB4E_b,105,152,105,0.033
AN19B025,OLVC5,IbSpsP,104,104,831,0.049
AN07B035,LAL180,SpsP,104,134,104,0.029
AN03B011,AN06B009,FB3A,103,103,319,0.027
AN08B013,DNpe053,FB8B,103,103,251,0.057
AN08B013,DNpe053,FB8C,103,103,186,0.039
AN07B004,LAL203,ER3a_c,103,197,103,0.024
AN06B009,WED002,ER1_c,103,155,103,0.034
AN19B019,SMP238,FB5H,102,102,202,0.024
ANXXX136,PRW009,FB6I,101,568,101,0.028
