type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
hDeltaM,FS1B_b,131,198.9,0.901,8,9
vDeltaB,hDeltaL,131,171.4,0.813,9,12
hDeltaF,FS4A,131,202.3,0.902,6,9
vDeltaM,vDeltaI_a,131,352.1,0.895,9,9
PFNm_b,hDeltaC,131,349.5,0.905,9,12
FC3_b,FC1B,130,0.6,0.897,9,9
FC1C_a,FC1C_b,130,15.9,0.221,9,9
FS4C,FS4B,130,138.8,0.083,9,9
FC3_c,FC1C_a,129,1.9,0.886,9,9
FC3_b,FC1C_a,128,355.8,0.931,9,9
hDeltaL,FS3_d,128,187.0,0.866,12,9
vDeltaL,vDeltaJ,128,6.5,0.832,9,8
FC2B,hDeltaH,128,128.6,0.111,9,8
PFR_a,FR1,128,359.3,0.922,9,9
vDeltaG,PFL3,127,0.4,0.857,9,9
vDeltaK,vDeltaJ,127,350.4,0.878,9,8
FC1B,hDeltaJ,126,336.6,0.866,9,12
FC3_a,vDeltaD,125,1.6,0.836,9,9
PFR_b,vDeltaI_b,125,1.1,0.867,9,9
FS1A_a,FS1A_b,124,247.6,0.127,9,9
FS1A_b,FS1A_b,123,6.9,0.068,9,9
hDeltaG,PFR_b,122,207.0,0.887,8,9
FC2A,FC2B,122,356.6,0.454,9,9
FC1C_a,FC1E,121,351.3,0.694,9,9
FC3_c,FC1B,121,11.4,0.846,9,9
vDeltaC,FC2C,120,358.9,0.843,9,9
FS3_a,hDeltaE,119,329.4,0.238,9,8
vDeltaA_a,hDeltaE,118,337.1,0.695,9,8
FC1E,FS4B,118,358.5,0.911,9,9
PFR_a,vDeltaG,118,3.4,0.9,9,9
PFNm_b,FS3_d,118,358.0,0.849,9,9
PFNd,FS2,118,26.2,0.912,8,9
FC2A,hDeltaJ,118,173.9,0.398,9,12
FC1D,FS4C,117,360.0,0.95,9,9
FC2B,hDeltaJ,117,173.2,0.464,9,12
PFNm_a,vDeltaF,116,4.0,0.849,9,9
FS4B,FS4A,116,271.7,0.071,9,9
hDeltaG,FS3_c,115,205.2,0.915,8,8
FC1B,FS1B_a,115,356.8,0.879,9,9
FC1C_b,FR2,115,0.8,0.913,9,9
FC3_b,hDeltaG,114,146.1,0.42,9,8
vDeltaI_b,PFR_b,114,354.0,0.843,9,9
FC2C,FS2,114,355.3,0.861,9,9
hDeltaG,FS1B_a,113,197.6,0.89,8,9
hDeltaG,PFGs,113,201.6,0.919,8,9
hDeltaG,FS1A_a,113,199.1,0.749,8,9
vDeltaL,PFL2,112,358.5,0.943,9,9
vDeltaI_b,vDeltaJ,111,349.8,0.854,9,8
FR1,FR2,111,11.4,0.237,9,9
hDeltaI,FS1A_b,110,192.5,0.943,12,9
FC3_b,FC3_c,110,352.8,0.865,9,9
FC2C,hDeltaG,110,352.0,0.33,9,8
vDeltaK,vDeltaL,110,4.7,0.903,9,9
PFNv,vDeltaE,109,6.2,0.88,9,9
FC3_c,FC1D,109,3.7,0.83,9,9
FC1E,FC2C,109,1.6,0.93,9,9
FC2C,hDeltaC,109,315.6,0.359,9,12
hDeltaC,FS2,108,192.3,0.849,12,9
PFGs,PFGs,107,357.6,0.788,9,9
FC1D,FC1F,107,355.0,0.832,9,8
PFNv,PFR_a,106,1.3,0.915,9,9
FC3_a,FC1C_a,106,3.5,0.929,9,9
FC2C,FS3_b,106,1.7,0.926,9,9
FC3_a,FC1C_b,106,8.3,0.89,9,9
PFR_b,FR1,105,1.2,0.817,9,9
hDeltaI,vDeltaK,105,192.0,0.905,12,9
FS3_a,hDeltaL,104,156.4,0.501,9,12
FC2C,FS3_a,104,1.3,0.899,9,9
hDeltaE,vDeltaD,103,201.8,0.903,8,9
FC3_b,FC2A,103,0.8,0.875,9,9
FC2C,hDeltaL,103,352.5,0.313,9,12
vDeltaE,PFR_b,102,5.7,0.86,9,9
vDeltaE,vDeltaE,102,3.6,0.787,9,9
hDeltaM,FR2,101,206.0,0.926,8,9
vDeltaI_b,hDeltaG,101,343.1,0.901,9,8
hDeltaA,vDeltaL,101,199.9,0.636,12,9
hDeltaM,hDeltaJ,101,192.7,0.63,8,12
FC1C_a,FC1C_a,100,173.8,0.109,9,9
FC1A,FS4C,99,359.6,0.914,9,9
PFNm_a,vDeltaI_b,97,358.4,0.927,9,9
PFNd,vDeltaM,97,31.3,0.839,8,9
vDeltaI_b,PFL3,97,2.3,0.887,9,9
PFR_a,PFL2,97,0.5,0.898,9,9
hDeltaJ,FC2C,97,200.4,0.923,12,9
vDeltaC,vDeltaD,97,1.4,0.813,9,9
FS2,FS3_c,97,12.9,0.375,9,8
PFNv,FS1A_a,96,358.1,0.855,9,9
FC2C,FS3_c,96,355.2,0.888,9,8
vDeltaF,FR1,96,0.9,0.854,9,9
PFNm_b,vDeltaE,96,2.1,0.941,9,9
FC1D,FC2C,96,359.5,0.893,9,9
vDeltaI_b,vDeltaG,96,2.9,0.827,9,9
FC1F,FS1B_a,95,6.0,0.928,8,9
vDeltaK,PFR_b,95,356.1,0.866,9,9
vDeltaK,vDeltaM,95,357.7,0.9,9,9
hDeltaG,FS3_a,94,206.1,0.903,8,9
hDeltaA,FC2A,94,191.7,0.833,12,9
FC3_a,FC2B,94,0.6,0.865,9,9
vDeltaH,vDeltaI_b,93,336.8,0.814,7,9
FC3_b,FC1F,93,357.8,0.88,9,8
vDeltaF,PFGs,92,5.8,0.839,9,9
hDeltaH,FS1A_a,90,212.0,0.885,8,9
FC3_c,FC1F,90,0.7,0.865,9,8
FS1A_c,FS1A_a,90,38.9,0.166,9,9
FC1B,vDeltaG,89,356.6,0.862,9,9
hDeltaJ,PFNv,89,191.7,0.815,12,9
hDeltaL,FR1,88,189.3,0.934,12,9
hDeltaH,FS1A_b,88,201.4,0.903,8,9
hDeltaH,FC2C,88,205.9,0.919,8,9
FC3_c,FS1B_b,88,358.5,0.95,9,9
hDeltaL,hDeltaC,88,295.1,0.063,12,12
PFGs,hDeltaB,88,302.7,0.055,9,12
vDeltaG,vDeltaG,88,358.9,0.785,9,9
hDeltaI,hDeltaJ,88,328.1,0.067,12,12
FC1D,FC,87,360.0,0.886,9,8
hDeltaM,vDeltaG,87,203.3,0.859,8,9
hDeltaH,vDeltaI_b,87,203.2,0.905,8,9
FS4A,vDeltaA_a,87,15.2,0.596,9,9
hDeltaI,vDeltaJ,86,184.5,0.898,12,8
FC1D,FS4B,86,2.7,0.928,9,9
hDeltaJ,PFL3,85,192.9,0.822,12,9
vDeltaF,hDeltaC,85,355.7,0.177,9,12
vDeltaC,vDeltaB,85,353.8,0.788,9,9
PFNm_b,FC2B,84,0.5,0.878,9,9
FC3_b,hDeltaI,84,352.8,0.791,9,12
hDeltaC,hDeltaK,84,0.7,0.984,12,12
hDeltaJ,hDeltaB,84,176.9,0.193,12,12
PFNd,PFR_b,83,20.1,0.879,8,9
vDeltaK,vDeltaI_a,83,358.7,0.823,9,9
vDeltaD,vDeltaD,83,1.4,0.819,9,9
vDeltaI_b,FC2C,83,4.7,0.885,9,9
FS3_c,hDeltaE,82,353.7,0.144,8,8
vDeltaC,FS3_a,82,4.9,0.87,9,9
vDeltaB,FC2C,82,0.6,0.826,9,9
hDeltaH,hDeltaG,81,171.7,0.845,8,8
hDeltaE,FS4B,81,204.8,0.895,8,9
FC2B,hDeltaG,81,238.6,0.031,9,8
FC2A,FS1B_b,80,0.5,0.938,9,9
vDeltaF,FC2C,80,14.1,0.866,9,9
PFNm_b,PFNa,80,352.8,0.709,9,9
FS3_a,FS2,80,7.8,0.244,9,9
hDeltaA,FS1A_a,79,196.6,0.939,12,9
hDeltaH,vDeltaH,79,224.2,0.821,8,7
hDeltaC,vDeltaB,79,188.4,0.879,12,9
FC3_b,vDeltaJ,79,350.0,0.876,9,8
PFNm_b,FS3_c,79,7.5,0.893,9,8
FC1E,FC1B,79,6.7,0.872,9,9
hDeltaB,FS3_b,78,190.9,0.926,12,9
FC1F,FS1B_b,78,3.9,0.931,8,9
vDeltaJ,hDeltaI,78,355.9,0.605,8,12
vDeltaJ,vDeltaK,78,358.0,0.883,8,9
vDeltaA_b,vDeltaA_a,78,358.8,0.792,9,9
vDeltaI_b,PFL2,77,4.1,0.907,9,9
FC3_b,FC1E,77,356.9,0.857,9,9
hDeltaJ,PFGs,77,193.2,0.929,12,9
hDeltaJ,FS2,77,189.9,0.899,12,9
PFNv,FC3_b,76,10.8,0.842,9,9
hDeltaG,vDeltaD,76,210.5,0.855,8,9
FC1F,vDeltaG,76,3.6,0.835,8,9
vDeltaI_b,hDeltaM,76,142.9,0.566,9,8
PFNm_a,vDeltaG,76,0.6,0.927,9,9
FC1A,FS1B_b,76,1.2,0.915,9,9
vDeltaH,vDeltaG,76,345.4,0.804,7,9
FC1C_b,FS4C,76,354.8,0.923,9,9
FR2,FR2,76,154.6,0.139,9,9
hDeltaI,hDeltaK,76,197.0,0.27,12,12
vDeltaG,vDeltaI_a,76,5.4,0.774,9,9
PFNa,FS4C,76,358.2,0.904,9,9
PFNm_a,FS3_a,75,1.9,0.88,9,9
hDeltaG,hDeltaL,75,180.6,0.749,8,12
vDeltaA_b,vDeltaB,75,5.0,0.815,9,9
vDeltaG,vDeltaI_b,75,0.2,0.782,9,9
hDeltaJ,hDeltaI,75,184.6,0.516,12,12
vDeltaD,hDeltaF,75,154.8,0.16,9,6
FS2,hDeltaB,75,176.9,0.17,9,12
PFNm_a,FC2A,74,359.4,0.901,9,9
FC1C_a,FC1D,74,1.8,0.906,9,9
FC1D,FC3_c,74,354.1,0.865,9,9
vDeltaL,PFL3,74,357.0,0.926,9,9
hDeltaB,FC2C,73,195.0,0.952,12,9
FS3_b,FS3_b,73,163.3,0.168,9,9
FC1B,PFNa,73,356.1,0.858,9,9
PFNm_a,FS3_c,72,358.8,0.935,9,8
hDeltaM,PFR_a,72,198.6,0.926,8,9
PFNm_b,FS3_a,72,4.5,0.885,9,9
FC3_a,FC2A,72,6.3,0.892,9,9
PFR_a,FS1A_a,72,0.4,0.844,9,9
PFNv,hDeltaM,71,333.3,0.919,9,8
PFL1,PFL3,71,348.5,0.278,9,9
vDeltaI_a,hDeltaM,71,164.6,0.481,9,8
FC1C_b,FS4B,71,2.2,0.941,9,9
hDeltaC,FS3_c,71,190.3,0.855,12,8
FS2,hDeltaE,71,340.6,0.775,9,8
hDeltaJ,PFR_b,71,193.5,0.874,12,9
vDeltaF,vDeltaF,71,358.8,0.726,9,9
FS1B_a,FS1A_c,71,30.5,0.248,9,9
vDeltaD,vDeltaC,71,2.0,0.812,9,9
hDeltaD,FS3_b,70,206.1,0.825,8,9
FC2C,FS4A,70,359.4,0.979,9,9
vDeltaJ,vDeltaI_a,70,12.2,0.837,8,9
vDeltaC,FS3_c,70,356.8,0.798,9,8
PFR_a,FS1A_c,70,359.6,0.894,9,9
FS3_a,hDeltaF,69,322.4,0.785,9,6
FC2B,FS4C,69,358.2,0.962,9,9
PFR_a,FC3_c,69,358.9,0.856,9,9
hDeltaI,vDeltaI_b,69,191.9,0.814,12,9
hDeltaL,FS1A_c,68,204.3,0.935,12,9
hDeltaF,FS1B_b,68,215.9,0.905,6,9
FC3_a,vDeltaJ,68,354.5,0.908,9,8
vDeltaI_a,FC1C_a,68,2.0,0.884,9,9
FC3_b,FC2B,68,359.1,0.899,9,9
hDeltaC,FS1A_b,68,201.6,0.86,12,9
vDeltaH,PFL3,67,338.5,0.798,7,9
FS3_a,FS3_a,67,265.4,0.229,9,9
FC1A,FS1B_a,66,348.4,0.899,9,9
vDeltaI_a,hDeltaG,66,340.2,0.892,9,8
FC3_b,FS1B_b,66,1.3,0.938,9,9
hDeltaI,FS1B_b,66,194.8,0.928,12,9
PFNa,hDeltaL,66,347.2,0.886,9,12
FS1A_a,FS1A_c,66,15.6,0.04,9,9
FC1A,FC,65,352.6,0.777,9,8
hDeltaA,FS1B_b,65,201.1,0.943,12,9
FC3_a,FC1F,65,359.0,0.873,9,8
hDeltaH,vDeltaI_a,65,211.3,0.814,8,9
PFNm_b,FS3_b,64,4.5,0.923,9,9
hDeltaF,hDeltaK,64,18.8,0.873,6,12
PFNm_a,FS4C,64,356.0,0.947,9,9
FC2A,FS2,64,359.3,0.922,9,9
vDeltaB,FS3_c,64,3.7,0.79,9,8
FC1B,FS4C,64,360.0,0.89,9,9
vDeltaE,hDeltaC,64,175.4,0.516,9,12
FC3_c,hDeltaL,63,179.8,0.225,9,12
FS2,FS3_d,63,352.5,0.38,9,9
FC3_c,FC1A,63,10.4,0.885,9,9
vDeltaF,hDeltaL,63,339.8,0.694,9,12
FC3_a,FC3_c,63,356.9,0.822,9,9
FS3_a,FS3_c,63,10.1,0.165,9,8
FC3_c,vDeltaH,62,44.5,0.88,9,7
FC3_b,PFNv,62,354.8,0.886,9,9
hDeltaA,hDeltaM,62,21.7,0.076,12,8
FC3_c,vDeltaC,62,8.8,0.756,9,9
PFNd,vDeltaI_b,61,31.7,0.927,8,9
PFNm_a,vDeltaA_b,61,4.2,0.917,9,9
FC1D,FS1A_c,61,358.5,0.9,9,9
FS3_c,hDeltaL,61,180.9,0.442,8,12
vDeltaA_a,vDeltaK,61,3.6,0.858,9,9
vDeltaG,vDeltaH,60,23.8,0.816,9,7
hDeltaI,FS1B_a,60,191.4,0.908,12,9
vDeltaF,vDeltaG,60,14.9,0.837,9,9
FC1C_b,FS4A,60,360.0,0.971,9,9
FS1A_c,FS1B_a,60,321.8,0.181,9,9
vDeltaB,FS3_a,60,4.9,0.768,9,9
hDeltaK,hDeltaC,60,185.4,0.089,12,12
hDeltaI,FC2A,59,195.6,0.932,12,9
FC1B,vDeltaH,59,34.8,0.893,9,7
FC3_a,FC1B,59,5.1,0.939,9,9
FS2,hDeltaF,59,336.3,0.586,9,6
FC2B,vDeltaG,59,12.1,0.814,9,9
hDeltaA,vDeltaI_b,58,2.0,0.432,12,9
hDeltaG,hDeltaC,58,190.3,0.203,8,12
PFNm_a,FS3_b,58,2.7,0.938,9,9
hDeltaJ,FS1A_b,58,195.4,0.917,12,9
hDeltaA,hDeltaK,57,176.4,0.418,12,12
vDeltaI_b,hDeltaA,57,338.5,0.811,9,12
FC1B,FS2,57,357.7,0.944,9,9
hDeltaB,vDeltaE,57,198.4,0.951,12,9
PFR_a,FC2C,57,3.1,0.909,9,9
FC3_c,FS1B_a,56,358.4,0.844,9,9
FS2,FS3_b,56,7.3,0.38,9,9
FC1B,FC,56,353.9,0.808,9,8
FC1F,PFL1,56,357.6,0.848,8,9
FC1B,FR2,56,357.6,0.901,9,9
hDeltaA,hDeltaB,56,330.0,0.067,12,12
FC1F,FS2,56,356.8,0.918,8,9
FC3_b,FC1D,56,1.9,0.925,9,9
FC1E,FC1F,56,359.1,0.84,9,8
FS3_c,FS2,56,26.0,0.13,8,9
FS4A,hDeltaD,56,357.7,0.265,9,8
hDeltaF,FS4B,55,211.6,0.884,6,9
vDeltaD,hDeltaC,55,208.0,0.16,9,12
PFNm_b,FS4B,55,360.0,0.915,9,9
FC1B,vDeltaF,55,355.1,0.841,9,9
FS1B_a,FS1B_a,55,305.6,0.092,9,9
hDeltaC,hDeltaM,54,175.8,0.806,12,8
vDeltaK,hDeltaH,54,356.8,0.275,9,8
PFNd,hDeltaK,54,4.1,0.865,8,12
FS4C,FS1B_b,54,345.4,0.061,9,9
PFGs,hDeltaF,54,144.2,0.461,9,6
FC2B,vDeltaF,54,357.8,0.863,9,9
FC2C,FC2A,54,1.2,0.917,9,9
FS1B_b,FS4C,54,281.0,0.08,9,9
PFNv,FC3_a,53,351.3,0.878,9,9
PFNv,hDeltaL,53,350.9,0.885,9,12
PFGs,FC3_b,53,6.5,0.94,9,9
FC1F,FC1F,53,359.1,0.829,8,8
PFR_a,FR2,53,6.0,0.895,9,9
FC2C,FS4B,53,2.7,0.971,9,9
PFR_a,vDeltaI_b,53,3.4,0.891,9,9
PFR_b,hDeltaI,53,287.8,0.07,9,12
FS4A,hDeltaE,52,348.8,0.548,9,8
hDeltaB,FC2B,52,203.2,0.849,12,9
vDeltaD,hDeltaE,52,229.5,0.298,9,8
FC1C_a,FR2,52,360.0,0.944,9,9
hDeltaA,FS1A_b,52,202.9,0.898,12,9
hDeltaJ,hDeltaA,52,190.7,0.415,12,12
FR1,PFR_b,52,60.8,0.141,9,9
hDeltaJ,hDeltaK,52,354.2,0.164,12,12
PFR_a,FS1B_a,52,0.1,0.9,9,9
FC1D,FC3_b,52,1.9,0.74,9,9
PFR_b,vDeltaL,51,0.9,0.914,9,9
FC3_a,FC3_a,51,6.2,0.896,9,9
vDeltaA_b,FC2C,51,7.5,0.89,9,9
vDeltaF,FC2A,51,359.1,0.88,9,9
FC1E,FS4A,51,10.5,0.912,9,9
FS3_d,FS3_b,51,291.0,0.048,9,9
FC1F,FS1A_c,50,358.2,0.907,8,9
vDeltaA_a,vDeltaJ,50,357.4,0.92,9,8
FS1B_b,FS2,50,8.0,0.094,9,9
vDeltaI_a,vDeltaJ,50,354.2,0.795,9,8
FC3_b,vDeltaD,50,355.2,0.845,9,9
FC2C,hDeltaI,50,351.3,0.599,9,12
FC1F,hDeltaH,49,332.8,0.284,8,8
vDeltaG,FS1A_c,49,3.7,0.773,9,9
PFR_a,vDeltaJ,49,358.2,0.917,9,8
FC3_a,FS1B_b,48,353.2,0.925,9,9
vDeltaM,PFR_b,48,358.1,0.903,9,9
FS3_c,hDeltaF,48,326.3,0.773,8,6
hDeltaH,hDeltaC,48,202.5,0.214,8,12
vDeltaH,vDeltaH,48,2.8,0.664,7,7
FC3_b,vDeltaK,48,358.1,0.878,9,9
hDeltaI,FS1A_a,48,189.2,0.853,12,9
FC2B,PFR_a,48,7.5,0.887,9,9
vDeltaD,FC2B,48,346.0,0.809,9,9
FC2A,hDeltaI,48,353.3,0.384,9,12
PFNa,FC1C_b,48,4.7,0.899,9,9
FS1A_b,FC2C,48,333.0,0.202,9,9
PFL3,hDeltaA,47,55.4,0.114,9,12
PFNm_b,vDeltaF,47,3.3,0.905,9,9
hDeltaM,FS2,47,207.9,0.893,8,9
PFNd,hDeltaI,47,28.5,0.223,8,12
FC1A,hDeltaI,47,348.7,0.883,9,12
PFNm_a,FS4B,47,356.1,0.877,9,9
FC2C,hDeltaF,47,296.6,0.158,9,6
hDeltaE,FS1B_b,46,202.5,0.924,8,9
PFNm_b,vDeltaI_a,46,6.7,0.924,9,9
hDeltaC,FS3_a,46,196.8,0.869,12,9
PFNa,vDeltaG,46,0.9,0.956,9,9
vDeltaA_a,FS4C,46,14.3,0.874,9,9
PFR_b,FC3_b,46,356.6,0.878,9,9
FC1F,vDeltaH,45,24.9,0.899,8,7
hDeltaC,FC2A,45,187.1,0.937,12,9
PFR_b,FC3_a,45,4.7,0.846,9,9
vDeltaF,FS1A_c,45,351.3,0.768,9,9
FC1D,hDeltaC,45,338.7,0.878,9,12
FC1B,vDeltaI_a,45,358.0,0.922,9,9
FC3_c,FC2C,45,1.3,0.807,9,9
PFR_b,vDeltaM,45,360.0,0.857,9,9
hDeltaD,FS2,44,197.4,0.903,8,9
FC3_b,FC1A,44,356.7,0.843,9,9
hDeltaI,hDeltaM,44,156.1,0.073,12,8
hDeltaA,PFGs,44,192.6,0.904,12,9
vDeltaB,vDeltaA_b,44,353.4,0.758,9,9
FS2,FC2C,44,0.9,0.848,9,9
FS3_c,FS3_a,44,87.0,0.178,8,9
FC1C_b,FC,43,349.5,0.774,9,8
hDeltaJ,hDeltaG,43,169.6,0.863,12,8
FC1F,PFR_b,43,3.1,0.926,8,9
FC1A,vDeltaG,43,354.8,0.915,9,9
FC1B,PFR_b,43,352.7,0.905,9,9
vDeltaL,PFR_b,43,351.2,0.86,9,9
FC1F,FS4C,43,2.0,0.946,8,9
FC1C_b,FC1A,43,359.4,0.895,9,9
vDeltaA_b,hDeltaF,42,331.3,0.74,9,6
hDeltaB,vDeltaI_b,42,195.5,0.948,12,9
FC1D,FS1B_a,42,0.7,0.865,9,9
FC2C,FC,42,356.8,0.897,9,8
FC3_a,FC1E,42,359.0,0.923,9,9
FC1D,PFNa,42,11.1,0.877,9,9
hDeltaL,hDeltaK,42,358.8,0.95,12,12
PFNd,PFGs,42,25.9,0.925,8,9
vDeltaD,FS3_c,42,351.2,0.885,9,8
FS2,vDeltaC,42,2.8,0.825,9,9
FC1A,PFNa,42,4.9,0.875,9,9
hDeltaA,hDeltaH,41,162.8,0.167,12,8
hDeltaL,FS1A_a,41,188.9,0.956,12,9
hDeltaA,vDeltaJ,41,134.6,0.114,12,8
vDeltaM,vDeltaA_b,41,358.7,0.88,9,9
hDeltaM,FR1,41,199.9,0.912,8,9
hDeltaL,hDeltaE,41,167.6,0.835,12,8
hDeltaC,FS3_b,41,200.1,0.906,12,9
FC3_a,hDeltaL,41,168.3,0.155,9,12
FS3_c,FS3_c,41,4.5,0.383,8,8
PFR_b,vDeltaI_a,41,356.7,0.894,9,9
FS4A,FS4C,41,13.6,0.353,9,9
FC1C_a,FS4B,41,2.2,0.901,9,9
vDeltaL,PFR_a,41,356.7,0.909,9,9
FC1A,FR1,40,360.0,0.862,9,9
FC1B,hDeltaI,40,343.2,0.891,9,12
hDeltaI,FS2,40,195.0,0.872,12,9
vDeltaJ,FR1,40,9.1,0.894,8,9
hDeltaA,vDeltaM,40,199.2,0.337,12,9
vDeltaJ,PFR_b,40,1.6,0.873,8,9
hDeltaI,FR1,40,195.9,0.937,12,9
vDeltaG,vDeltaF,40,359.5,0.83,9,9
FS2,vDeltaE,40,6.0,0.851,9,9
PFR_a,vDeltaI_a,40,1.2,0.861,9,9
PFR_b,vDeltaF,40,1.9,0.851,9,9
PFNv,PFGs,39,357.6,0.866,9,9
PFGs,hDeltaL,39,196.5,0.074,9,12
vDeltaB,FS2,39,354.3,0.683,9,9
vDeltaM,PFR_a,39,1.9,0.862,9,9
FS2,vDeltaD,39,356.3,0.838,9,9
FC2C,PFGs,39,360.0,0.895,9,9
hDeltaH,hDeltaJ,38,9.6,0.522,8,12
hDeltaI,FC2B,38,189.7,0.902,12,9
FC2C,vDeltaF,38,359.5,0.843,9,9
vDeltaD,vDeltaE,38,7.4,0.862,9,9
FC3_c,FC2B,38,357.6,0.893,9,9
hDeltaI,hDeltaB,38,3.2,0.221,12,12
FS1A_a,FC2C,38,161.1,0.134,9,9
vDeltaE,hDeltaH,37,148.2,0.704,9,8
FC1B,FC2B,37,1.2,0.929,9,9
FC1E,FS1A_c,37,3.4,0.962,9,9
PFNv,FS3_a,37,360.0,0.889,9,9
hDeltaI,hDeltaH,37,150.5,0.248,12,8
FC3_a,hDeltaK,37,224.9,0.112,9,12
FS1B_b,FS1B_a,37,143.8,0.116,9,9
PFNd,FC2C,37,28.7,0.915,8,9
vDeltaI_b,vDeltaK,37,5.5,0.874,9,9
vDeltaA_b,FS3_d,37,354.5,0.748,9,9
hDeltaF,vDeltaB,36,197.7,0.863,6,9
hDeltaH,PFGs,36,202.5,0.565,8,9
FC1B,hDeltaH,36,340.5,0.411,9,8
hDeltaA,FR1,36,185.0,0.876,12,9
FC1D,hDeltaI,36,357.3,0.709,9,12
vDeltaD,FS3_a,36,1.9,0.82,9,9
vDeltaI_a,FC1C_b,36,2.4,0.919,9,9
PFGs,FC3_a,36,5.8,0.964,9,9
vDeltaG,hDeltaC,36,346.3,0.591,9,12
FS4B,vDeltaA_a,36,357.3,0.597,9,9
vDeltaF,PFR_a,36,352.1,0.862,9,9
PFNa,PFNd,36,342.9,0.84,9,8
PFL2,PFL3,36,344.9,0.213,9,9
PFL3,PFL2,36,12.3,0.276,9,9
FC3_b,hDeltaK,36,26.4,0.111,9,12
FC3_b,hDeltaA,35,21.8,0.256,9,12
FC1A,FS1A_c,35,355.0,0.92,9,9
hDeltaJ,PFL2,35,195.5,0.94,12,9
PFNm_a,vDeltaH,35,25.9,0.915,9,7
vDeltaG,FS1B_a,35,357.5,0.917,9,9
vDeltaM,PFGs,35,1.3,0.875,9,9
FC1D,FC3_a,35,360.0,0.893,9,9
FC2A,hDeltaH,35,345.4,0.24,9,8
vDeltaG,FS1A_a,35,3.9,0.759,9,9
FS4C,FS4A,35,313.1,0.251,9,9
vDeltaB,FS3_d,35,346.2,0.731,9,9
hDeltaM,FS4C,34,201.1,0.924,8,9
hDeltaF,FS1A_a,34,187.8,0.944,6,9
hDeltaF,hDeltaG,34,186.6,0.726,6,8
hDeltaE,hDeltaL,34,38.8,0.132,8,12
hDeltaA,vDeltaF,34,193.8,0.91,12,9
PFR_b,vDeltaK,34,353.2,0.877,9,9
hDeltaM,vDeltaI_b,34,207.4,0.895,8,9
FC1B,FS1A_c,34,353.0,0.926,9,9
PFNm_b,FS4C,34,360.0,0.879,9,9
vDeltaF,vDeltaE,34,11.0,0.806,9,9
FS3_d,FS2,34,340.0,0.279,9,9
vDeltaF,FS1A_a,34,352.3,0.84,9,9
hDeltaI,vDeltaM,34,195.1,0.867,12,9
FS2,PFR_a,34,1.3,0.94,9,9
hDeltaH,hDeltaA,33,186.1,0.684,8,12
hDeltaM,hDeltaG,33,180.0,0.939,8,8
hDeltaA,vDeltaI_a,33,26.2,0.645,12,9
hDeltaG,vDeltaG,33,200.5,0.796,8,9
FC3_a,FS3_a,33,1.3,0.92,9,9
hDeltaD,PFGs,33,201.3,0.908,8,9
FC1C_a,FS4C,33,360.0,0.982,9,9
hDeltaC,FC3_a,33,194.9,0.864,12,9
hDeltaA,FC2B,33,185.6,0.873,12,9
PFNv,FC3_c,33,357.3,0.912,9,9
vDeltaK,PFR_a,33,357.3,0.912,9,9
FC1A,hDeltaJ,33,339.0,0.691,9,12
FC3_a,FS1B_a,33,359.8,0.86,9,9
PFNv,FS3_c,33,1.4,0.885,9,8
hDeltaD,FS3_c,33,201.8,0.924,8,8
PFR_a,vDeltaE,33,1.4,0.86,9,9
FC1F,hDeltaI,33,358.5,0.886,8,12
FC1F,PFNa,33,358.6,0.885,8,9
FC2C,hDeltaE,33,175.2,0.105,9,8
PFNd,PFNv,33,17.6,0.326,8,9
FS3_b,FS3_a,33,354.6,0.095,9,9
vDeltaF,FC3_a,33,7.6,0.745,9,9
hDeltaB,PFL3,32,194.3,0.899,12,9
FC3_a,FC,32,11.0,0.926,9,8
PFNm_a,PFNa,32,355.9,0.877,9,9
FC3_a,PFL3,32,2.6,0.964,9,9
FC3_c,FC3_c,32,359.4,0.85,9,9
FC1A,hDeltaA,32,346.0,0.937,9,12
PFNa,PFNv,32,356.3,0.836,9,9
hDeltaI,FS4C,32,194.1,0.96,12,9
hDeltaH,FC3_b,32,208.4,0.464,8,9
FC1C_b,FS1A_c,32,358.1,0.545,9,9
FS3_a,FS3_b,32,1.1,0.289,9,9
FS2,hDeltaJ,32,354.6,0.508,9,12
FC1D,FS4A,32,358.7,0.973,9,9
vDeltaI_a,PFL3,32,8.6,0.882,9,9
FC3_b,hDeltaM,31,154.1,0.209,9,8
PFNm_a,vDeltaJ,31,358.7,0.991,9,8
FC3_a,hDeltaI,31,351.6,0.691,9,12
hDeltaM,vDeltaH,31,221.7,0.816,8,7
PFNa,FC2C,31,9.7,0.947,9,9
PFL3,PFL1,31,21.1,0.517,9,9
vDeltaJ,FC2B,31,13.0,0.795,8,9
FS1B_a,FS2,31,20.3,0.328,9,9
vDeltaE,vDeltaD,31,348.3,0.834,9,9
FC3_a,FC1D,31,352.9,0.922,9,9
PFNa,FC,30,339.4,0.87,9,8
vDeltaI_b,vDeltaF,30,357.9,0.889,9,9
vDeltaM,vDeltaA_a,30,356.1,0.842,9,9
FC1E,FC,30,355.2,0.837,9,8
PFNm_b,hDeltaD,30,333.3,0.89,9,8
FC3_c,vDeltaI_a,30,1.4,0.932,9,9
hDeltaJ,FS1B_a,30,190.0,0.765,12,9
vDeltaE,vDeltaF,30,353.8,0.831,9,9
