type_pre,type_post,total,mean_offset_deg,resultant_length,ncol_pre,ncol_post
vDeltaG,FC2B,835,0.1,0.814,9,9
vDeltaI_b,vDeltaI_b,831,1.5,0.817,9,9
vDeltaE,hDeltaL,829,343.7,0.426,9,12
PFNm_b,FC2C,814,0.7,0.913,9,9
FC3_a,vDeltaG,808,2.4,0.866,9,9
hDeltaF,vDeltaD,797,208.7,0.823,6,9
PFR_b,hDeltaG,795,336.7,0.38,9,8
hDeltaH,FS2,786,202.1,0.874,8,9
hDeltaD,vDeltaA_b,786,197.8,0.865,8,9
PFNv,hDeltaC,780,341.5,0.866,9,12
PFNa,FC1E,774,2.5,0.886,9,9
PFR_a,hDeltaJ,769,163.9,0.458,9,12
PFR_a,hDeltaB,763,166.5,0.225,9,12
FC3_a,hDeltaH,762,159.1,0.267,9,8
hDeltaF,hDeltaL,756,190.9,0.796,6,12
FS2,FS2,753,335.8,0.062,9,9
PFNm_a,FC2C,749,357.9,0.948,9,9
FC3_b,hDeltaH,745,155.8,0.175,9,8
FC3_a,vDeltaF,744,357.3,0.834,9,9
vDeltaI_b,vDeltaI_a,740,356.6,0.829,9,9
hDeltaB,hDeltaG,736,353.3,0.453,12,8
hDeltaF,PFGs,726,210.7,0.888,6,9
vDeltaI_a,vDeltaI_a,708,358.3,0.74,9,9
FS4A,FS4A,706,195.1,0.03,9,9
vDeltaH,hDeltaH,701,317.0,0.689,7,8
hDeltaC,vDeltaC,701,196.2,0.881,12,9
vDeltaM,vDeltaI_b,700,0.9,0.885,9,9
FC3_b,PFGs,695,359.9,0.923,9,9
FC2C,FS1A_c,681,2.3,0.832,9,9
vDeltaK,PFL2,679,358.9,0.919,9,9
FC3_c,PFR_a,678,3.2,0.913,9,9
hDeltaF,vDeltaC,678,209.9,0.826,6,9
FC1A,PFL1,672,355.0,0.849,9,9
FC1D,FC1C_b,668,4.4,0.866,9,9
FC1A,FC1E,666,358.2,0.86,9,9
FC2C,hDeltaM,665,333.9,0.869,9,8
FC1B,hDeltaC,665,338.6,0.894,9,12
hDeltaG,FR1,657,200.8,0.895,8,9
PFNv,PFNa,657,1.3,0.908,9,9
hDeltaG,vDeltaE,653,202.0,0.869,8,9
FC1A,FC1D,649,0.1,0.813,9,9
hDeltaE,PFGs,640,199.9,0.907,8,9
vDeltaH,FC2A,631,340.2,0.779,7,9
vDeltaG,FC2A,631,359.6,0.83,9,9
hDeltaD,vDeltaA_a,630,198.5,0.845,8,9
vDeltaI_a,vDeltaI_b,628,2.5,0.815,9,9
hDeltaE,FS3_d,624,199.5,0.837,8,9
PFR_a,hDeltaH,619,131.5,0.034,9,8
FC2C,FC2C,607,359.9,0.417,9,9
PFL2,PFL2,606,125.6,0.067,9,9
hDeltaH,FR1,602,202.1,0.893,8,9
hDeltaL,FC2B,594,188.9,0.887,12,9
FC3_b,vDeltaI_a,593,0.5,0.844,9,9
hDeltaH,vDeltaG,587,202.4,0.878,8,9
hDeltaJ,PFR_a,584,194.5,0.916,12,9
hDeltaG,PFL3,582,204.2,0.909,8,9
hDeltaD,FS4B,579,204.6,0.855,8,9
PFR_a,PFR_b,579,1.6,0.455,9,9
FC3_b,vDeltaF,577,354.9,0.828,9,9
FC3_b,hDeltaJ,575,341.1,0.837,9,12
FC1B,FC3_c,568,347.4,0.845,9,9
vDeltaL,vDeltaK,557,0.9,0.909,9,9
FC1C_b,PFL1,554,357.3,0.845,9,9
hDeltaI,hDeltaI,548,179.4,0.845,12,12
PFNa,FC3_a,545,2.1,0.879,9,9
FC2B,FS1A_a,545,358.5,0.919,9,9
FC3_a,hDeltaJ,544,345.0,0.856,9,12
FC3_b,PFR_b,543,1.7,0.887,9,9
FC2C,FS1A_b,540,358.1,0.851,9,9
hDeltaE,hDeltaF,537,172.0,0.873,8,6
vDeltaK,PFL3,536,0.1,0.928,9,9
FC3_a,PFR_b,535,3.0,0.895,9,9
FC1B,FC1C_b,531,1.4,0.85,9,9
FC1D,FC1E,531,357.9,0.81,9,9
hDeltaG,vDeltaF,528,204.4,0.863,8,9
hDeltaL,FS3_a,523,203.4,0.854,12,9
FC3_a,FS2,520,1.4,0.887,9,9
hDeltaM,hDeltaH,516,182.1,0.895,8,8
FC3_c,FR1,512,4.7,0.893,9,9
FC1A,FC1C_b,510,4.4,0.863,9,9
FC1B,FC1E,508,353.4,0.857,9,9
FC3_a,PFGs,502,1.3,0.917,9,9
hDeltaE,hDeltaE,498,179.4,0.917,8,8
hDeltaL,FS3_c,498,190.7,0.856,12,8
hDeltaJ,vDeltaF,496,196.9,0.854,12,9
hDeltaM,hDeltaM,493,181.0,0.943,8,8
FC1B,FC1D,491,357.4,0.85,9,9
FC2A,FC2A,491,11.4,0.235,9,9
vDeltaB,vDeltaB,490,0.2,0.758,9,9
FC2B,FS1A_c,484,1.3,0.913,9,9
PFL1,PFL1,481,161.0,0.174,9,9
hDeltaD,FS3_d,478,207.2,0.876,8,9
vDeltaB,hDeltaD,475,154.9,0.55,9,8
hDeltaL,vDeltaC,474,197.0,0.862,12,9
FC3_c,hDeltaJ,474,352.9,0.849,9,12
hDeltaF,hDeltaF,468,181.0,0.937,6,6
vDeltaI_a,FR1,462,358.6,0.845,9,9
vDeltaE,FS2,459,360.0,0.834,9,9
FC1D,FR2,455,1.5,0.916,9,9
FC1B,FC3_a,455,358.8,0.905,9,9
vDeltaJ,hDeltaA,454,349.7,0.713,8,12
vDeltaF,FS2,454,359.4,0.853,9,9
FC2A,hDeltaM,452,334.9,0.198,9,8
FC2C,FS1B_b,448,359.6,0.939,9,9
hDeltaL,FS1A_b,444,198.7,0.852,12,9
vDeltaK,hDeltaI,442,346.6,0.777,9,12
FC3_b,FS2,440,358.5,0.919,9,9
hDeltaJ,hDeltaJ,440,163.4,0.068,12,12
PFNm_a,vDeltaC,439,356.8,0.907,9,9
FC3_a,FR1,432,358.1,0.896,9,9
hDeltaE,FS3_b,431,202.0,0.834,8,9
vDeltaD,FS2,431,358.7,0.859,9,9
hDeltaD,vDeltaC,429,202.5,0.888,8,9
hDeltaE,vDeltaC,429,204.4,0.861,8,9
hDeltaH,PFL2,427,204.0,0.905,8,9
hDeltaB,PFNd,427,171.9,0.922,12,8
FC3_b,vDeltaH,426,20.3,0.81,9,7
FC2A,FS1A_c,423,358.7,0.925,9,9
hDeltaF,FS3_a,421,217.4,0.82,6,9
FC1F,hDeltaC,421,349.5,0.89,8,12
hDeltaL,hDeltaL,413,178.2,0.934,12,12
PFNa,PFL1,410,358.4,0.912,9,9
hDeltaE,FS4C,409,199.1,0.9,8,9
hDeltaJ,hDeltaC,408,182.5,0.334,12,12
FC3_a,hDeltaG,400,159.2,0.274,9,8
PFR_a,hDeltaI,394,341.8,0.288,9,12
FC2C,FS4C,389,1.7,0.914,9,9
vDeltaA_b,vDeltaA_b,388,1.1,0.765,9,9
PFNm_b,vDeltaD,387,359.4,0.898,9,9
PFNv,hDeltaJ,387,350.4,0.634,9,12
PFR_a,PFR_a,387,43.4,0.118,9,9
hDeltaM,FC2A,383,201.9,0.897,8,9
FC1A,FC1C_a,377,359.9,0.877,9,9
hDeltaJ,FR2,374,193.8,0.906,12,9
FC3_a,vDeltaI_a,372,4.7,0.876,9,9
vDeltaC,PFGs,372,0.5,0.893,9,9
hDeltaK,hDeltaK,372,359.5,0.928,12,12
hDeltaH,vDeltaF,371,199.7,0.859,8,9
hDeltaM,FS1A_c,370,206.0,0.914,8,9
vDeltaA_a,FS4B,370,7.0,0.65,9,9
FC3_a,vDeltaE,367,0.2,0.823,9,9
FC1F,FC1C_b,366,5.1,0.852,8,9
hDeltaF,FS3_b,365,208.6,0.837,6,9
FC1F,FC3_a,365,5.4,0.881,8,9
FC2C,FS1A_a,363,355.2,0.843,9,9
FC3_c,hDeltaG,362,161.8,0.396,9,8
hDeltaG,hDeltaG,361,179.9,0.97,8,8
vDeltaG,PFR_b,359,359.6,0.858,9,9
FC3_b,FR1,358,357.5,0.891,9,9
FC3_c,FS2,357,359.9,0.879,9,9
hDeltaB,hDeltaL,356,353.4,0.72,12,12
hDeltaC,hDeltaC,355,183.2,0.399,12,12
hDeltaI,PFGs,352,191.2,0.928,12,9
FC1B,FC3_b,352,1.8,0.827,9,9
FC3_c,hDeltaH,351,177.5,0.172,9,8
FC1D,FC1C_a,351,359.3,0.871,9,9
PFNm_b,vDeltaA_b,349,358.3,0.822,9,9
