type_pre,type_post,weight,edge_rows
PFL3,hDeltaA,47,18
PFNd,hDeltaI,47,33
FC1A,hDeltaI,47,26
FC2C,hDeltaF,47,40
ER2_a,ER3m,47,35
ER3m,ER3w_b,47,39
ER3a_c,ER1_a,46,9
ER2_b,ER3d_c,46,22
ER3d_c,ER2_d,46,31
PFR_b,FC3_b,46,28
FC1A,PFNa,46,35
PFNm_b,PFNp_a,45,31
PFNv,PFNp_d,45,22
ER2_d,ER3d_d,45,25
hDeltaC,FC2A,45,21
PFR_b,FC3_a,45,28
FC1D,hDeltaC,45,36
ER3m,ER2_b,45,31
FC3_c,FC2C,45,33
EPGt,EPGt,44,4
PEG,EPGt,44,11
PEN_b(PEN2),PFGs,44,13
FC3_b,FC1A,44,33
FC1C_b,ER1_b,44,20
hDeltaI,hDeltaM,44,28
hDeltaA,PFGs,44,23
FC1C_b,FC,43,15
hDeltaJ,hDeltaG,43,25
FC1F,PFR_b,43,22
PFNv,PEN_a(PEN1),43,20
FC1B,PFR_b,43,23
PFNm_a,PFNp_d,43,27
FC1C_b,FC1A,43,29
EPGt,PFNp_e,42,8
FC2C,FC,42,14
ER3d_b,ER3a_c,42,22
FC3_a,FC1E,42,24
ER3m,ER1_a,42,31
ER2_d,ER3m,42,26
FC1D,PFNa,42,32
hDeltaL,hDeltaK,42,27
PFNd,PFGs,42,31
EPG,ER3d_b,42,35
hDeltaA,hDeltaH,41,11
EPGt,EPG,41,17
ER2_d,ER3w_b,41,23
ER3w_a,ER3m,41,24
hDeltaL,hDeltaE,41,17
EPGt,PFNp_b,41,20
FC3_a,hDeltaL,41,22
ER2_b,ER3m,41,22
PFNp_d,FC2C,41,25
ER4m,PEG,41,29
ER5,ER3a_c,41,25
ER3d_b,ER2_d,41,29
FC1B,hDeltaI,40,28
ER3d_c,ER3w_a,40,22
ER3d_e,ER2_b,40,21
PFNv,PFGs,39,25
PFGs,hDeltaL,39,24
ER3w_a,ER3p_a,39,28
PFNp_a,PFNa,39,27
FC2C,PFGs,39,33
hDeltaH,hDeltaJ,38,23
ER4d,ER3d_b,38,16
ER1_a,EPGt,38,22
hDeltaI,FC2B,38,27
FC3_c,FC2B,38,26
hDeltaI,hDeltaB,38,33
FC1B,FC2B,37,21
PEN_b(PEN2),FC3_b,37,15
hDeltaI,hDeltaH,37,24
ER3m,ER3d_d,37,26
PFR_b,EPG,37,29
FC3_a,hDeltaK,37,27
PFNd,FC2C,37,29
ER3w_c,ER2_d,36,19
hDeltaH,PFGs,36,18
FC1B,hDeltaH,36,20
ER3m,ER2_d,36,22
FC1D,hDeltaI,36,24
PFNp_a,PFNd,36,22
PFGs,FC3_a,36,25
PFNa,PFNd,36,31
PFL2,PFL3,36,30
PFL3,PFL2,36,30
FC3_b,hDeltaK,36,31
FC3_b,hDeltaA,35,22
hDeltaJ,PFL2,35,24
ER3w_b,ER2_b,35,26
FC1D,FC3_a,35,25
FC2A,hDeltaH,35,22
PFNm_a,PFNa,34,23
hDeltaF,hDeltaG,34,15
PEN_b(PEN2),FC3_a,34,10
hDeltaE,hDeltaL,34,16
PFNp_b,hDeltaC,34,26
FC1F,PFNa,34,29
hDeltaH,hDeltaA,33,9
hDeltaM,hDeltaG,33,7
hDeltaD,PFGs,33,13
ER3a_c,PEN_a(PEN1),33,15
hDeltaC,FC3_a,33,23
hDeltaA,FC2B,33,17
ER1_a,ER3p_a,33,20
PFNv,FC3_c,33,22
FC1A,hDeltaJ,33,25
hDeltaB,EPG,33,23
FC1F,hDeltaI,33,23
FC2C,hDeltaE,33,27
PFNd,PFNv,33,26
hDeltaB,PFL3,32,10
FC3_a,FC,32,8
FC3_a,PFL3,32,18
FC3_c,FC3_c,32,16
ER4m,ER3d_e,32,19
FC1A,hDeltaA,32,16
PFNa,FC2C,32,23
hDeltaH,FC3_b,32,18
PFNv,PEN_b(PEN2),32,21
PFGs,EPG,32,26
FC1C_a,ER1_b,31,12
FC3_b,hDeltaM,31,20
FC3_a,hDeltaI,31,18
PFNm_b,PFNp_e,31,17
PFL3,PFL1,31,25
PEG,ER3p_a,31,14
ER3d_e,ER3a_a,31,26
FC3_a,FC1D,31,22
PEN_a(PEN1),ER2_c,31,24
PFNa,FC,30,14
PFL1,ER1_a,30,19
FC1E,FC,30,12
PFNm_b,hDeltaD,30,14
ER3p_a,ER3d_b,30,21
ER3a_b,ER2_a,30,23
ER1_b,EPGt,30,19
ER3a_d,EPG,30,23
FC2A,PFR_a,30,23
PFNa,PFNm_b,30,27
ER1_a,ER3w_b,29,17
ER1_a,PEN_b(PEN2),29,20
ER3p_b,ER3w_a,29,15
ER3w_a,ER3d_b,29,21
ER3w_c,ER1_a,29,21
PFNm_b,hDeltaJ,29,18
ER5,ER2_a,29,19
ER3a_c,ER3d_a,29,15
ER3a_c,ER2_a,29,21
FC3_b,PFL3,29,21
ER2_a,ER3w_c,29,19
PFR_b,hDeltaK,29,24
FC1E,FC3_b,29,22
hDeltaM,FC2C,29,21
FC3_a,FC2C,29,26
PFGs,hDeltaJ,29,23
FC3_c,PFNa,29,26
ER3p_a,ER3a_c,28,16
FC3_b,FC,28,12
hDeltaI,FC2C,28,22
FC2C,hDeltaH,28,22
EL,hDeltaK,28,21
PFGs,PFNd,28,25
PFNp_d,PFNm_b,28,22
PFGs,FC2C,28,27
hDeltaB,FC3_c,27,8
FC1C_a,PFR_b,27,13
FC1B,PFR_a,27,13
ER3d_e,ER3a_c,27,14
FC1C_b,PFR_b,27,18
hDeltaA,FC3_b,27,18
PFR_b,FC3_c,27,14
PFNv,FC2C,27,20
PFNp_a,FC2B,27,16
hDeltaI,FC1C_a,27,14
FC2A,FC2C,27,23
FC2A,hDeltaC,27,20
FC1A,FC2C,27,22
FC1E,FC3_c,27,23
FC1D,hDeltaJ,27,23
ER2_d,ER4d,26,14
FC1F,FC,26,11
PFGs,FC3_c,26,13
PFNa,hDeltaI,26,17
PEN_a(PEN1),PFNa,26,15
PFNa,hDeltaF,26,20
ER4d,FC3_a,26,15
FC3_a,FC1A,26,17
ER2_a,ER5,26,22
PFGs,PFR_b,26,20
hDeltaL,hDeltaG,26,16
FC2C,hDeltaK,26,22
hDeltaC,FC3_c,26,18
PFNa,FC1C_a,26,20
FC3_a,hDeltaM,26,19
EL,hDeltaB,26,19
FC2C,hDeltaJ,26,23
FC2C,FC3_a,26,24
PFNv,FC1F,26,21
ER3m,ER2_a,26,26
hDeltaI,FC,25,7
FC2B,FC,25,9
ER3p_b,ER3a_c,25,12
hDeltaH,hDeltaI,25,16
PFNp_b,PFL1,25,12
ER2_d,ER3a_c,25,14
PFR_b,FC2B,25,17
FC3_a,hDeltaA,25,19
EPG,ER3d_a,25,24
FC1E,FC3_a,25,21
FC,PFL1,24,8
hDeltaG,FC3_c,24,14
FC1E,ER1_b,24,11
hDeltaK,hDeltaF,24,17
FC2B,hDeltaA,24,20
FC1B,FC2A,24,19
hDeltaC,hDeltaH,24,16
ER5,ER4m,24,19
ER3w_b,ER3m,24,21
ER3p_a,ER1_b,24,20
FC1C_b,FC1B,24,20
FC2B,PFR_b,24,21
PFNp_c,FC,23,5
PEG,PFR_a,23,16
PFNv,FC1B,23,14
FC1F,PFR_a,23,13
PFNp_a,FC1A,23,9
ER4m,ER5,23,13
FC1C_b,FC2C,23,16
FC2A,PFR_b,23,17
ER3a_c,ER3d_c,23,16
PFNa,hDeltaG,23,15
FC2C,FC3_b,23,18
FC3_c,PFL3,23,17
ER3d_d,ER2_d,23,16
hDeltaJ,FC3_b,23,20
FC1C_a,FC1A,23,14
PFNp_b,PFNv,23,17
PFNd,hDeltaC,23,18
ER3p_a,ER1_c,23,17
ER6,hDeltaK,23,17
hDeltaC,PFL3,23,20
PFNm_b,hDeltaE,22,5
hDeltaH,hDeltaM,22,11
FC3_c,FC,22,10
ER4d,ER2_d,22,14
FC2C,FC1E,22,14
hDeltaG,FC3_a,22,13
ER3w_b,EPGt,22,17
PEN_b(PEN2),ER3w_c,22,13
FC2C,FC1C_b,22,17
ER3p_b,ER1_a,22,14
ER3w_a,ER3a_c,22,13
PFNv,PFR_b,22,13
PEN_a(PEN1),PFNd,22,18
ER3d_c,ER2_b,22,16
ER2_a,ER3a_c,22,20
FC2B,hDeltaK,22,18
hDeltaI,PFL1,21,12
PEN_b(PEN2),PFNv,21,15
hDeltaB,FC2A,21,15
ER1_a,ER3m,21,15
PFNp_e,FC2C,21,14
FC1C_b,FC1F,21,17
ER3a_c,ER5,21,14
PFNp_c,PFNa,21,19
FC1D,hDeltaA,21,16
FC3_c,FC2A,21,14
FC3_c,hDeltaK,21,17
ER3a_b,ER3d_e,21,14
PFNa,hDeltaM,21,16
ER3w_b,ER1_b,21,14
PFGs,hDeltaE,21,19
hDeltaC,PFL2,21,16
PFR_b,hDeltaC,21,19
ER3a_a,ER3d_b,21,19
hDeltaJ,PFNd,21,18
FC2B,FC3_a,21,18
PFNp_b,hDeltaF,20,4
EPGt,PFGs,20,5
PFL1,EPG,20,12
PFL3,EPG,20,16
hDeltaJ,FC1E,20,14
ER3a_d,ER3d_e,20,12
FC1C_a,hDeltaH,20,11
ER3w_a,ER3d_d,20,13
hDeltaI,hDeltaC,20,16
PFNv,PFNm_b,20,14
FC3_c,PFL1,20,15
hDeltaI,EPG,20,16
hDeltaI,FC3_b,20,15
FC1D,FC2B,20,16
PFGs,PFR_a,20,16
PFNp_d,PFNm_a,20,19
ER3a_c,ER3p_a,20,14
FC3_a,PFL2,19,11
FC1A,FC2A,19,14
PFNp_a,PEN_a(PEN1),19,11
FC2B,hDeltaI,19,16
ER3d_b,ER4d,19,13
hDeltaG,hDeltaK,19,16
PFR_b,PFL3,19,15
PFR_b,FC2C,19,17
FC1B,hDeltaM,19,15
FC2C,PFR_b,19,18
FC1D,PFL3,19,16
FC1E,hDeltaJ,19,18
PFNd,PEN_a(PEN1),18,10
FC3_a,PFNv,18,11
PFNp_e,FC2B,18,12
FC1C_b,FC3_b,18,13
hDeltaJ,FC1C_b,18,14
hDeltaI,FC1C_b,18,13
FC1C_a,FC,18,11
PFNv,PFNm_a,18,10
ER2_c,ER3d_a,18,12
ER2_c,ER3a_c,18,12
PFNp_b,hDeltaI,18,12
PFNd,FC3_b,18,14
ER3d_d,ER3m,18,14
ER2_b,ER3a_c,18,12
FC2A,FC1E,18,12
ER3w_b,ER3p_b,18,15
EPG,ER3d_c,18,17
FC2C,FC1D,18,16
FC2C,FC3_c,18,16
FC1F,PFNd,18,15
FC1B,FC2C,18,14
FC2B,FC3_b,18,16
PFNd,EPG,18,17
PFR_a,FC1B,18,16
ER3a_a,ER2_a,18,17
hDeltaJ,FC3_a,18,17
PFNa,PFNp_b,18,18
EPGt,EL,17,7
ER3d_b,ER3w_a,17,11
FC1E,PFR_b,17,11
FC1F,hDeltaG,17,10
PFL1,ER1_c,17,9
ER5,ER3d_b,17,8
EPG,ER3m,17,12
PFNp_e,PFNa,17,12
FC2A,FC1D,17,11
PFR_a,PFL1,17,13
ER3d_c,ER3a_c,17,13
FC3_c,PFNv,17,12
FC3_c,hDeltaM,17,12
EPG,ER5,17,15
ER3d_a,ER3a_c,17,13
EPG,FC2C,17,13
PFR_b,hDeltaL,17,14
hDeltaH,FC3_a,17,13
FC2B,FC1D,17,14
FC1A,PFL3,17,14
FC1D,FC2A,17,15
FC1E,PFNa,17,16
FC3_b,PFNa,17,17
FC2C,PFNp_b,17,17
EPGt,PFNm_a,16,4
ER3a_b,ER4d,16,4
PFL3,FC2A,16,9
ER3a_c,ER4d,16,7
ER3p_b,ER2_b,16,9
FC1D,hDeltaH,16,11
FC1C_a,FC1F,16,12
hDeltaG,hDeltaM,16,7
ER3p_b,ER3d_e,16,9
ER3w_a,ER1_a,16,9
hDeltaA,FC1C_a,16,10
PFNp_c,PFL2,16,12
ER1_a,ER3a_b,16,9
ER3a_c,ER3d_b,16,12
FC3_b,PFL1,16,13
PFR_a,hDeltaL,16,13
FC3_c,hDeltaI,16,13
FC1B,PFNd,16,13
FC2A,hDeltaK,16,14
ER2_c,PEN_a(PEN1),16,14
FC1F,FC2A,16,15
PFR_a,FC1D,16,16
EPGt,PFNm_b,15,5
FC1C_a,FC3_a,15,8
FC1E,hDeltaH,15,9
PFNp_d,FC,15,6
ER2_b,ER3p_b,15,9
PFNd,PEN_b(PEN2),15,11
FC,FC1C_b,15,10
FC1C_a,FC2C,15,11
PFNd,FC3_c,15,10
PFNp_c,FC3_a,15,9
PFNv,hDeltaG,15,10
ER3a_b,ER1_a,15,9
hDeltaC,FC3_b,15,13
PFNv,PEG,15,11
hDeltaA,PFNd,15,10
ER3p_b,ER2_d,15,11
ER3d_b,ER5,15,12
PEN_a(PEN1),Delta7,15,12
ER2_d,PEN_b(PEN2),15,13
PFR_b,PFNd,15,13
PEN_a(PEN1),ER3w_a,15,12
FC1C_b,FC3_c,15,12
FC1C_a,FC1B,15,13
PFNv,FC2B,15,13
FC1A,PFL2,15,11
PEG,ER1_b,15,13
FC3_c,hDeltaB,15,14
FC1C_b,hDeltaC,15,14
ER3d_a,ER3a_a,15,15
hDeltaB,PFL2,14,4
hDeltaA,FC,14,4
ER3a_b,ER2_c,14,8
FC1C_b,FC3_a,14,11
ER3w_c,EPGt,14,9
ER4d,ER3a_c,14,7
FC2B,FC3_c,14,9
FC2C,EPG,14,10
FC1F,FC2C,14,12
PFGs,hDeltaG,14,10
PFR_b,FC1C_a,14,11
FC1E,FC2A,14,11
ER1_a,ER3w_a,14,10
PFR_a,FC1C_b,14,12
FC2C,FC1B,14,11
FC2A,PFL1,14,9
FC3_b,FC2C,14,12
PFNd,PFNa,14,11
PFNd,FC3_a,14,11
ER3d_d,ER3a_c,14,10
ER3w_a,ER3p_b,14,12
FC3_a,hDeltaB,14,13
PEN_a(PEN1),ER6,14,12
ER2_c,ER3d_c,14,10
FC1D,hDeltaM,14,10
FC1E,hDeltaC,14,11
FC1C_a,FC3_c,14,10
ER3a_c,ER2_c,14,11
FC3_a,PFNd,14,13
ER3a_b,ER3d_b,14,12
ER3d_c,ER3a_a,14,12
ER3a_a,ER3d_a,14,12
PEN_b(PEN2),Delta7,14,14
EPG,ER3d_e,14,14
hDeltaE,FC2B,13,3
hDeltaF,FC3_c,13,4
PFNp_c,FC1A,13,3
PEG,ER3p_b,13,4
PFNm_b,FC2A,13,7
PFNp_b,FC,13,8
PFNv,EPGt,13,4
PEN_a(PEN1),ER3a_c,13,6
FC2A,FC3_b,13,9
PFR_b,hDeltaM,13,11
FC1F,PFGs,13,8
PFGs,hDeltaH,13,10
hDeltaI,FC3_c,13,10
hDeltaI,FC3_a,13,10
FC1E,hDeltaI,13,10
ER2_c,ER3m,13,11
PFNm_b,hDeltaL,13,9
EL,PFR_b,13,9
PEN_a(PEN1),PFNp_a,13,8
EPG,ER3p_b,13,10
FC3_b,hDeltaB,13,12
PFNa,PFL3,13,9
PFL3,hDeltaI,13,10
hDeltaH,hDeltaK,13,12
PEN_a(PEN1),ER3w_b,13,11
PFNp_c,hDeltaI,13,10
FC2B,hDeltaL,13,11
FC2C,FC1F,13,11
hDeltaK,FC2C,13,12
PEG,ER1_a,13,12
hDeltaB,FC3_b,13,12
EL,PFL3,13,11
PEN_b(PEN2),PFNd,13,12
FC2A,FC1C_b,13,12
FC3_c,PFNd,13,12
FC,FC1E,12,7
PEN_b(PEN2),PFL3,12,8
hDeltaJ,FC3_c,12,9
PEG,ER3a_c,12,6
FC1D,PFR_b,12,9
PFR_a,FC1C_a,12,9
ER3d_b,ER2_b,12,9
PFR_b,PFL2,12,10
ER5,ER3m,12,10
hDeltaA,FC3_a,12,11
EPGt,ER6,12,8
FC1F,FC2B,12,10
PFNm_b,PFNd,12,10
PFNv,FC1E,12,11
FC1F,PFNv,12,10
PFR_b,FC2A,12,10
hDeltaA,hDeltaC,12,10
FC1C_b,PFNa,12,11
ER3d_b,ER3a_a,12,10
FC1F,PFL3,12,11
FC3_b,PFNd,12,12
PFNp_a,Delta7,12,12
PFL2,hDeltaH,11,3
hDeltaF,FC1C_a,11,4
PFGs,ER3a_a,11,4
ER3w_a,EPGt,11,4
PEG,PFL3,11,7
FC2C,PFNa,11,9
hDeltaI,FC1E,11,7
FC2C,FC1C_a,11,8
ER3a_d,ER2_a,11,8
hDeltaH,FC3_c,11,8
ER2_d,ER3p_b,11,8
ER2_a,ER3a_a,11,9
PFR_b,PEG,11,9
ER2_b,ER1_a,11,7
EPG,hDeltaB,11,9
hDeltaA,PFL1,11,9
FC1A,hDeltaH,11,9
ER3a_c,ER2_b,11,7
ER2_c,ER3d_e,11,9
ER3w_b,ER4m,11,10
PFNv,FC1D,11,9
PFNv,EPG,11,9
FC1A,hDeltaM,11,9
FC,FC1C_a,11,10
FC1D,PFNd,11,10
FC3_c,PFL2,11,10
PFR_a,FC1E,11,10
PFNv,FC2A,11,10
PFGs,EL,11,11
EPG,ER3d_d,11,11
hDeltaH,hDeltaB,11,11
EPGt,FC2B,10,3
FC2B,FC1B,10,5
PFNp_e,FC1A,10,2
PFNd,PFNp_e,10,5
hDeltaE,hDeltaK,10,2
PFNp_b,FC1A,10,6
hDeltaB,EPGt,10,3
EL,hDeltaA,10,5
hDeltaG,hDeltaA,10,5
ER2_b,PEN_b(PEN2),10,8
PFGs,PEN_a(PEN1),10,7
hDeltaF,PFL3,10,5
FC1C_b,FC2A,10,8
hDeltaL,PFL3,10,7
PEN_a(PEN1),ER2_b,10,6
FC2B,PFGs,10,8
ER6,ER4m,10,6
PFL3,PFR_a,10,8
EPG,hDeltaI,10,8
ER3p_a,PEG,10,8
PEN_a(PEN1),ER2_a,10,9
PFNp_a,FC2C,10,7
hDeltaI,FC1D,10,8
PFNp_d,PFNa,10,9
FC3_c,hDeltaA,10,8
PFNp_b,PFNd,10,9
ER2_c,ER3a_a,10,8
ER2_c,ER3a_b,10,7
FC1C_b,hDeltaI,10,8
hDeltaM,FC3_b,10,9
PFNa,FC2A,10,9
ER2_b,ER3d_b,10,9
FC1A,FC2B,10,7
PFR_b,PFL1,10,9
ER3a_a,ER1_a,10,9
ER1_a,ER3p_b,10,8
hDeltaJ,FC1B,10,9
hDeltaB,FC1B,10,8
hDeltaJ,FC1C_a,10,8
ER3d_e,ER3a_d,10,9
ER3d_e,ER3p_b,10,8
ER3m,ER3w_c,10,9
FC1E,FC2B,10,9
PFGs,hDeltaI,10,10
PFNd,Delta7,10,10
ER3a_c,ER3w_a,10,10
PEN_a(PEN1),ER3p_a,10,10
PEN_b(PEN2),FC1C_b,9,5
PFNp_a,PFNv,9,5
PFGs,PFL2,9,7
hDeltaG,hDeltaH,9,6
ER3a_c,ER3p_b,9,6
FC2A,FC3_a,9,5
FC2B,hDeltaB,9,7
PFNm_a,PFNv,9,7
ER4d,ER3d_a,9,7
FC2B,EPG,9,5
ER3p_a,ER3d_d,9,6
FC2C,PFNm_b,9,5
FC1B,PFL3,9,6
ER3d_c,ER4m,9,8
PFNa,hDeltaH,9,7
hDeltaB,FC3_a,9,7
FC3_a,PFNa,9,8
hDeltaI,hDeltaG,9,7
ER1_c,PEN_b(PEN2),9,7
hDeltaM,FC1C_a,9,5
ER4d,ER3d_e,9,6
PFNm_a,PFL3,9,8
FC2C,PFL1,9,8
PFNv,hDeltaK,9,8
FC2B,FC1F,9,7
FC1C_a,FC2A,9,7
PFR_a,ER6,9,6
PFNp_e,PEN_a(PEN1),9,8
FC1E,PFL3,9,8
FC2C,hDeltaA,9,8
FC1D,PFL2,9,8
FC3_a,PFL1,9,8
PEN_b(PEN2),ER1_c,9,8
ER3p_a,PEN_a(PEN1),9,8
ER3p_a,ER2_b,9,8
ER3a_c,ER2_d,9,8
PFNd,PFL3,9,8
ER3d_e,ER3a_b,9,9
hDeltaG,hDeltaB,9,9
PFNd,FC2B,9,9
FC1E,hDeltaA,9,9
PFNa,PFNp_c,9,9
PEN_a(PEN1),PFNp_b,9,9
FC2A,PFNp_b,9,9
PFR_a,FC1F,9,9
FC1C_b,hDeltaJ,9,9
ER3a_b,ER3d_a,9,9
PFR_b,PFNv,9,9
ER2_d,ER3a_a,9,9
hDeltaE,hDeltaC,8,4
hDeltaH,FC1C_a,8,3
PFNv,hDeltaH,8,4
hDeltaE,hDeltaG,8,4
FC2B,FC1E,8,6
PFNv,PFL2,8,4
hDeltaJ,FC1D,8,6
ER3a_b,PEG,8,5
hDeltaM,hDeltaB,8,5
FC2A,FC,8,5
ER4m,ER3a_c,8,5
FC1C_b,PFGs,8,5
PFNm_a,PFNd,8,5
hDeltaM,PFL1,8,5
hDeltaI,PFNp_d,8,6
FC3_b,EL,8,5
ER3p_b,EPGt,8,4
hDeltaG,hDeltaF,8,5
ER3p_b,ER2_a,8,6
ER3d_a,ER2_c,8,6
ER3a_d,ER3d_c,8,7
PFL3,FC2C,8,6
ER2_d,ER3p_a,8,7
ER3p_b,ER3w_c,8,6
FC1A,PFNv,8,6
ER2_c,ER3d_d,8,7
PFL1,ER6,8,7
FC1E,hDeltaG,8,7
ER3d_a,ER3a_b,8,6
PFNp_c,FC3_b,8,7
ER1_b,ER3w_b,8,7
FC1C_b,hDeltaG,8,7
ER3a_a,ER2_c,8,6
hDeltaJ,hDeltaL,8,7
FC1C_a,hDeltaA,8,7
ER3d_a,ER4d,8,5
ER3d_e,ER2_c,8,7
ER3d_e,ER3p_a,8,6
PFNd,PFNp_c,8,7
hDeltaJ,PFL1,8,7
PFNv,hDeltaI,8,7
ER3d_b,ER1_a,8,8
EL,hDeltaJ,8,8
PFNa,FC2B,8,8
FC1F,hDeltaA,8,8
hDeltaA,FC2C,8,8
hDeltaB,FC1A,8,8
FC2C,FC1A,8,8
hDeltaK,FC3_a,8,8
PFNa,PFNm_a,8,8
FC2C,hDeltaB,8,8
FC2A,PFNp_d,8,8
FC2C,PFR_a,8,8
ER3a_a,ER3d_c,8,8
PFGs,PFNv,8,8
PFR_a,Delta7,8,8
PFGs,PFL3,8,8
hDeltaL,PFL2,7,3
PEN_a(PEN1),PFNp_c,7,3
EPGt,FC2A,7,2
PFNm_a,hDeltaE,7,4
ER3d_d,ER3w_a,7,5
hDeltaF,PFL2,7,3
ER3a_c,ER3d_d,7,5
PFNp_b,Delta7,7,5
ER3p_b,ER3d_c,7,4
hDeltaK,PFNd,7,5
FC2C,PFNp_c,7,5
ER3p_b,PEN_a(PEN1),7,3
PFNd,PFL1,7,5
PFR_b,FC1F,7,6
FC3_b,EPG,7,5
hDeltaB,FC1E,7,6
PFGs,PEN_b(PEN2),7,6
FC2C,PFNm_a,7,6
ER3a_b,ER3d_d,7,6
PFNp_a,EPG,7,5
FC1E,PFL2,7,5
FC1C_a,PFNa,7,6
FC1C_a,PFNd,7,6
ER2_a,ER3a_b,7,6
PFNa,Delta7,7,6
hDeltaB,PEN_b(PEN2),7,4
PFNp_e,hDeltaC,7,5
PFNa,hDeltaE,7,5
PFNp_c,PFNv,7,5
ER3a_a,ER4d,7,5
FC3_a,EL,7,5
PEG,ER3m,7,5
PFNa,hDeltaD,7,5
FC2B,PFL1,7,6
FC1C_a,FC3_b,7,6
EPGt,FC3_a,7,5
PFNd,FC1D,7,6
hDeltaC,PFR_b,7,6
FC3_b,PFL2,7,6
EL,EPGt,7,7
ER3m,PEG,7,7
PFNd,hDeltaM,7,7
PFNa,PFL2,7,7
FC1A,PFNd,7,7
FC2B,FC1C_a,7,7
FC1E,PFNd,7,7
FC2C,PFNv,7,7
PFNm_b,PFNv,7,7
PFGs,PEG,7,7
ER3m,ER2_c,7,7
ER1_b,ER3m,7,7
FC1C_b,FC2B,7,7
ER2_a,PEG,7,7
ER3a_a,ER3d_d,7,7
EPG,ER3a_b,7,7
ER2_a,PEN_a(PEN1),7,7
PFNp_c,hDeltaE,6,2
PFNm_a,PEN_b(PEN2),6,2
hDeltaI,FC1A,6,3
ER3a_d,ER4d,6,2
PFL3,PEG,6,3
PFL1,hDeltaC,6,3
ER3a_c,ER1_b,6,3
hDeltaF,hDeltaM,6,3
PEG,ER3w_b,6,4
PEG,ER3d_a,6,4
hDeltaC,PEN_a(PEN1),6,4
PFL1,FC2A,6,2
ER4d,ER3m,6,3
PFNp_d,hDeltaB,6,4
hDeltaC,hDeltaB,6,4
hDeltaB,hDeltaF,6,3
PFL1,PEG,6,4
PFL1,PFNv,6,4
PFL1,Delta7,6,5
PFL2,hDeltaM,6,5
ER3d_c,ER5,6,4
PEN_b(PEN2),ER1_a,6,5
ER3p_b,ER3a_a,6,5
ER3p_a,ER3d_e,6,4
ER3w_c,ER2_a,6,5
FC2A,PFNd,6,5
hDeltaA,EPG,6,5
PEG,ER3a_b,6,4
hDeltaJ,FC,6,4
ER4d,ER3a_a,6,5
EPGt,ER1_b,6,5
PEN_a(PEN1),ER3w_c,6,5
FC1C_a,FC2B,6,5
FC2A,PFNp_a,6,3
ER2_a,ER3a_d,6,5
FC1B,hDeltaG,6,4
FC1B,hDeltaA,6,5
hDeltaM,hDeltaL,6,5
PEN_b(PEN2),PFL1,6,5
FC1B,PFL2,6,4
PFNm_a,hDeltaL,6,4
hDeltaK,FC3_b,6,5
ER3d_c,ER2_c,6,5
PFNd,FC1B,6,5
PFNd,FC1F,6,5
hDeltaA,FC1C_b,6,5
FC1B,PFGs,6,5
hDeltaB,FC1D,6,5
hDeltaD,hDeltaL,6,5
PFNa,hDeltaB,6,5
hDeltaK,hDeltaJ,6,5
FC1F,PFL2,6,5
FC3_c,hDeltaF,6,5
PEN_b(PEN2),PFNp_b,6,5
hDeltaG,FC3_b,6,5
FC3_a,EPG,6,5
ER3w_a,PEN_b(PEN2),6,6
PEG,Delta7,6,6
ER3d_a,ER4m,6,6
ER3m,ER1_b,6,6
ER3m,ER5,6,6
PFNv,PFL1,6,6
PEG,PFGs,6,6
hDeltaK,hDeltaL,6,6
PEN_b(PEN2),PFNa,6,6
FC1B,hDeltaB,6,6
ER3d_e,ER1_a,6,6
FC1B,PFNv,6,6
FC1C_b,hDeltaH,6,6
FC2A,FC1C_a,6,6
hDeltaM,FC1E,6,6
PFNp_e,Delta7,6,6
ER6,ER5,6,6
ER4m,hDeltaK,6,6
EL,Delta7,6,6
EPGt,PFR_b,5,1
PFNp_a,EPGt,5,2
PFL3,hDeltaG,5,2
hDeltaK,hDeltaE,5,2
ER3p_a,ER5,5,3
ER1_a,ER2_b,5,3
ER1_a,ER3a_d,5,2
FC,FC,5,3
hDeltaI,EPGt,5,3
PEN_a(PEN1),ER3p_b,5,4
PFL1,PFR_a,5,4
hDeltaC,hDeltaE,5,3
ER3w_a,ER3a_b,5,3
hDeltaI,PFNd,5,4
hDeltaB,hDeltaD,5,3
EPG,FC2B,5,4
EPG,FC3_a,5,4
PEN_a(PEN1),PFGs,5,4
hDeltaI,FC1F,5,3
ER1_c,EPGt,5,3
PFNp_d,hDeltaA,5,3
PFNp_b,hDeltaH,5,4
PFNp_a,hDeltaJ,5,4
PFNm_a,PFL2,5,4
hDeltaC,hDeltaI,5,4
PFNm_a,FC,5,4
hDeltaI,hDeltaL,5,4
hDeltaC,hDeltaD,5,3
PFNa,hDeltaK,5,4
FC1F,hDeltaM,5,4
PFR_a,FC,5,4
ER3w_b,ER3a_c,5,4
hDeltaI,FC1B,5,3
ER3a_b,ER3d_c,5,4
ER3d_b,ER3a_b,5,4
PEN_b(PEN2),FC1E,5,4
FC1A,hDeltaG,5,4
FC3_c,PEG,5,4
hDeltaB,FC,5,4
hDeltaC,PFNd,5,4
hDeltaL,PFR_b,5,4
PFNd,FC1E,5,4
PFNd,FC1A,5,4
PFNp_c,PFL1,5,4
PFNd,FC2A,5,4
ER3p_b,PEG,5,4
ER3a_c,PEG,5,4
hDeltaL,FC3_c,5,4
EL,PFL1,5,4
hDeltaG,hDeltaJ,5,4
ER3d_d,ER3a_a,5,4
