bodyId,type,instance,class,superclass,somaSide,rootSide,status,hemibrainType,flywireType
129790,FC1F,FC1F_C5_L,CX,cb_intrinsic,L,,Traced,FC1F,"FC1A,FC1B,FC1F"
129971,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
130007,FC1B,FC1B_C2_L,CX,cb_intrinsic,L,,Traced,FC1B,"FC1A,FC1B,FC1F"
130104,FC1E,FC1E_C5_R,CX,cb_intrinsic,R,,Traced,FC1E,FC1C
130835,FC1C_b,FC1C_C4_L,CX,cb_intrinsic,L,,Traced,FC1C,FC1C
130971,hDeltaI,hDeltaI_12_C10,CX,cb_intrinsic,L,,Traced,hDeltaI,hDeltaI
131142,PFNp_c,PFNp_c,CX,cb_intrinsic,R,,Traced,PFNp_c,PFNp
131273,FC2A,FC2A_C5_R,CX,cb_intrinsic,R,,Traced,FC2A,FC2A
131313,EPG,EPG(PB08)_R6,CX,cb_intrinsic,R,,Traced,EPG,EPG
131537,PFNp_c,PFNp_c,CX,cb_intrinsic,R,,Traced,PFNp_c,PFNp
131984,FC1C_b,FC1C_C5_L,CX,cb_intrinsic,L,,Traced,FC1C,FC1C
132382,PFNp_e,PFNp_e,CX,cb_intrinsic,L,,Traced,PFNp_e,PFNp
132482,FC2C,FC2C_C9_L,CX,cb_intrinsic,L,,Traced,FC2C,FC2C
132828,PFNp_c,PFNp_c,CX,cb_intrinsic,R,,Traced,PFNp_c,PFNp
132898,PFNp_c,PFNp_c,CX,cb_intrinsic,L,,Traced,PFNp_c,PFNp
133002,PFNp_e,PFNp_e,CX,cb_intrinsic,L,,Traced,PFNp_e,PFNp
133079,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
133645,PFNp_c,PFNp_c,CX,cb_intrinsic,L,,Traced,PFNp_c,PFNp
133953,FC1C_b,FC1C_C4_R,CX,cb_intrinsic,R,,Traced,FC1C,FC1C
134390,PFNp_c,PFNp_c,CX,cb_intrinsic,L,,Traced,PFNp_c,PFNp
135084,FC1C_b,FC1C_C9_L,CX,cb_intrinsic,L,,Traced,FC1C,FC1C
135201,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
135453,PFNm_a,PFNm_a_L4_C3,CX,cb_intrinsic,L,,Traced,PFNm_a,PFNm
137299,FC2A,FC2A_C5_L,CX,cb_intrinsic,L,,Traced,FC2A,FC2A
137990,FC2B,FC2B_C3_L,CX,cb_intrinsic,L,,Traced,FC2B,FC2B
138121,FC1A,FC1A_C2_R,CX,cb_intrinsic,R,,Traced,FC1A,"FC1A,FC1B,FC1F"
138785,PFNp_e,PFNp_e,CX,cb_intrinsic,R,,Traced,PFNp_e,PFNp
139612,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
139763,FC2C,FC2C_C2_R,CX,cb_intrinsic,R,,Traced,FC2C,FC2C
140308,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
140609,PFNp_c,PFNp_c,CX,cb_intrinsic,L,,Traced,PFNp_c,PFNp
140688,PFNp_e,PFNp_e,CX,cb_intrinsic,R,,Traced,PFNp_e,PFNp
140787,FC2B,FC2B_C1_L,CX,cb_intrinsic,L,,Traced,FC2B,FC2B
140794,FC2C,FC2C_C3_R,CX,cb_intrinsic,R,,Traced,FC2C,FC2C
140831,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
141295,PFNm_b,PFNm_b_R3_C8,CX,cb_intrinsic,R,,Traced,PFNm_b,PFNm
141430,FC2C,FC2C_C3_R,CX,cb_intrinsic,R,,Traced,FC2C,FC2C
142689,hDeltaI,hDeltaI_11_C9,CX,cb_intrinsic,L,,Traced,hDeltaI,hDeltaI
144052,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
144110,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
144163,PFNp_e,PFNp_e,CX,cb_intrinsic,L,,Traced,PFNp_e,PFNp
144164,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
144251,PFNp_c,PFNp_c,CX,cb_intrinsic,R,,Traced,PFNp_c,PFNp
144488,FC1C_a,FC1C_a_C2_L,CX,cb_intrinsic,L,,Traced,FC1C,FC1C
144997,FC1C_a,FC1C_a_C6_L,CX,cb_intrinsic,L,,Traced,FC1C,FC1C
145039,PFNa,PFNa(PB03)_L9_C9,CX,cb_intrinsic,L,,Traced,PFNa,PFNa
145234,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
145547,PFNa,PFNa(PB03)_L6_C5,CX,cb_intrinsic,L,,Traced,PFNa,PFNa
146988,PFNp_b,PFNp_b,CX,cb_intrinsic,R,,Traced,PFNp_b,PFNp
147036,PFNp_a,PFNp_a,CX,cb_intrinsic,R,,Traced,PFNp_a,PFNp
147142,PFNm_b,PFNm_b_R4_C7,CX,cb_intrinsic,R,,Traced,PFNm_b,PFNm
147211,PFNp_a,PFNp_a,CX,cb_intrinsic,L,,Traced,PFNp_a,PFNp
147399,FC1C_b,FC1C_C9_L,CX,cb_intrinsic,L,,Traced,FC1C,FC1C
147832,PFNa,PFNa(PB03)_L7_C6,CX,cb_intrinsic,L,,Traced,PFNa,PFNa
147909,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
148295,PFNp_e,PFNp_e,CX,cb_intrinsic,L,,Traced,PFNp_e,PFNp
148473,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
148713,PFNp_c,PFNp_c,CX,cb_intrinsic,L,,Traced,PFNp_c,PFNp
148830,FC2C,FC2C_C5_R,CX,cb_intrinsic,R,,Traced,FC2C,FC2C
149160,FC1C_a,FC1C_a_C7_L,CX,cb_intrinsic,L,,Traced,FC1C,FC1C
149200,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
149414,PFNm_a,PFNm_a_R4_C7,CX,cb_intrinsic,R,,Traced,PFNm_a,PFNm
149501,PFNm_b,PFNm_b_R3_C8,CX,cb_intrinsic,R,,Traced,PFNm_b,PFNm
149740,FC2B,FC2B_C9_L,CX,cb_intrinsic,L,,Traced,FC2B,FC2B
150112,PFNp_b,PFNp_b,CX,cb_intrinsic,L,,Traced,PFNp_b,PFNp
150364,PFNm_b,PFNm_b_L5_C4,CX,cb_intrinsic,L,,Traced,PFNm_b,PFNm
150382,PFNp_d,PFNp_d,CX,cb_intrinsic,L,,Traced,PFNp_d,PFNp
150450,PFNp_e,PFNp_e,CX,cb_intrinsic,R,,Traced,PFNp_e,PFNp
