intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
519944,LAL124,cb_intrinsic,21,0,0,14264,DNde003,DNde003(LAL107)_R,206
51658,PS018_a,cb_intrinsic,24,61,0,10884,DNa15,DNa15(PS017)_L,202
11636,LAL126,cb_intrinsic,383,2,2,11563,DNae001,DNae001(DNa01)_R,201
13201,LAL015,cb_intrinsic,2,1,1,10975,DNa03,DNa03_R,200
524483,LAL126,cb_intrinsic,335,0,5,512071,DNae001,DNae001(DNa01)_L,199
29860,PS049,cb_intrinsic,1,2,0,11563,DNae001,DNae001(DNa01)_R,199
11182,DNp101,descending_neuron,0,0,1,242405,DNge046,DNge046_R,199
38847,LAL046,cb_intrinsic,73,105,0,523769,DNa02,DNa02_L,198
10868,LAL083,cb_intrinsic,302,0,0,10884,DNa15,DNa15(PS017)_L,198
10070,AOTU019,cb_intrinsic,1016,1,3,11961,DNp57,DNp57(PS195)_L,197
10975,DNa03,descending_neuron,217,741,0,10543,DNa16,DNa16(PS014)_R,197
14200,PS018_a,cb_intrinsic,14,29,0,14569,DNg04,DNg04_R,197
10975,DNa03,descending_neuron,217,741,0,10837,DNa15,DNa15(PS017)_R,195
230783,DNg97,descending_neuron,127,0,0,11078,DNg96,DNg96_L,195
14137,LAL195,cb_intrinsic,21,1,1,13442,DNg33,DNg33_R,195
521525,LAL126,cb_intrinsic,270,1,0,512071,DNae001,DNae001(DNa01)_L,193
44739,PS018_b,cb_intrinsic,221,1,0,10759,DNb01,DNb01_R,193
11495,PS059,cb_intrinsic,1,0,0,10837,DNa15,DNa15(PS017)_R,193
